id,SMILES_input,fingerprints_input_ECFP4
1,OCCCCN1CCCC1,80 222 473 541 653 807 893 926 935 1028 1130 1145 1422 1480 1482 1791 1911 1998
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 73 80 140 165 212 216 281 352 353 378 561 609 650 674 790 807 816 843 866 875 881 889 907 980 1043 1088 1164 1171 1190 1334 1367 1380 1384 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 2018
3,Cc1cc[n+](C)cc1-c1ccccc1,222 263 350 352 389 463 482 673 691 736 1003 1057 1088 1160 1199 1299 1380 1391 1530 1717 1722 1750 1860 1873
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 194 369 387 433 526 650 652 678 695 739 760 807 814 841 926 935 996 1009 1019 1028 1057 1152 1168 1267 1325 1480 1564 1634 1758 1911 1917 1923 1998 2009
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 261 263 314 317 319 322 350 359 414 486 502 535 562 575 627 650 658 662 664 680 694 695 707 718 727 781 798 807 835 841 843 875 926 935 993 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1182 1249 1380 1386 1440 1452 1476 1480 1497 1536 1567 1626 1738 1750 1766 1816 1832 1873 1917 1972 1978
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 76 80 102 212 283 294 305 307 366 460 561 591 650 667 674 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1380 1384 1683 1750 1873 1911 1917 1954 1975 2016 2018
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 216 219 233 295 314 371 464 531 547 650 699 732 811 872 875 926 935 985 1028 1089 1101 1145 1380 1395 1422 1441 1457 1480 1482 1539 1548 1701 1750 1755 1791 1825 1840 1873 1874 1928 1998
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 114 117 147 350 354 389 428 486 496 650 692 759 807 825 849 881 926 935 962 966 1019 1057 1088 1092 1102 1152 1183 1199 1257 1325 1380 1385 1417 1423 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1985 2005 2011 2017
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,48 80 193 197 255 314 322 374 389 486 504 562 638 650 695 805 807 813 875 903 926 935 1066 1088 1152 1199 1236 1317 1380 1489 1496 1555 1573 1617 1670 1750 1754 1820 1873 1887 1917 1946 1991
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 218 222 314 369 562 639 650 656 695 750 764 782 802 807 845 926 935 941 1019 1028 1049 1088 1119 1126 1152 1380 1468 1480 1565 1722 1748 1758 1819 1917 1923 1950 1982 1998 2009
11,c1ccc(-c2ccnc(NC3CCC4CCC3C4)n2)cc1,130 155 300 378 389 585 712 736 787 926 980 1019 1085 1088 1152 1160 1199 1292 1325 1380 1403 1423 1446 1452 1568 1582 1589 1671 1750 1819 1855 1866 1873 1952 1964 1971 2036 2047
12,CN1C(=O)C2=CC=C(Br)CC(CC2)C1=O,5 118 231 296 314 358 406 425 456 650 690 728 762 798 879 926 935 936 987 1019 1057 1145 1249 1325 1380 1631 1737 1738 1873 1953 1963 2000
13,CC(=O)Nc1ccc(N(C)C(=O)c2ccccc2)c(Nc2ccccc2O)n1,46 54 245 378 389 491 587 650 708 807 843 849 881 967 1017 1057 1088 1099 1152 1163 1199 1220 1221 1224 1380 1385 1602 1607 1696 1726 1750 1758 1801 1816 1831 1855 1873 1905 1917 1929 1982 1985 2014 2018 2029
14,Nc1cccc2c(=O)n(CCCCCCN3CCCCC3)ncc12,2 43 80 90 158 275 313 314 378 494 504 650 653 804 893 910 926 935 1028 1039 1088 1109 1143 1145 1171 1357 1367 1380 1422 1457 1480 1482 1535 1573 1750 1791 1873 1911 1927 1998 2016
15,O=C(NCCc1cc2ccc1cc2)N1CCN(CCN2CCCC2)C1=O,80 92 197 198 203 218 295 302 314 358 371 650 667 772 807 828 875 926 935 961 1028 1089 1112 1145 1152 1243 1349 1380 1387 1422 1441 1480 1482 1538 1548 1635 1750 1762 1772 1791 1845 1855 1873 1917 1998 2008
16,O=C(c1cccc(Cl)c1)N1CCCC(c2cccs2)CC1,14 165 177 216 241 369 383 446 497 561 592 618 649 650 652 675 677 802 807 875 926 935 942 1019 1028 1039 1088 1325 1380 1385 1480 1504 1567 1683 1750 1858 1873 1911 1917 1943 1985 2000 2009
17,CC(=CCCn1c(C)nc2ccccc2c1=O)c1ccc(C)cc1,47 65 80 107 235 289 314 378 389 401 479 485 504 650 694 802 807 917 935 1017 1029 1057 1088 1097 1145 1158 1199 1357 1380 1385 1519 1573 1696 1697 1722 1750 1784 1823 1855 1873 1920 1932 1975
18,CC(=O)OCC(=O)NCCCN(CCN1C(=O)C2=Nc3nc2c(s3)C1=O)c1ccc(C)cc1,41 80 147 155 162 197 219 235 314 323 373 378 473 493 588 597 602 624 647 650 667 675 695 724 807 846 863 879 881 885 927 935 960 977 1017 1035 1057 1077 1096 1145 1152 1326 1380 1487 1499 1528 1610 1632 1687 1722 1750 1823 1855 1873 1876 1878 1911 1917 1920 1951 1977 2004 2041
19,Cn1c(=O)[nH]c(=O)c2ccc3c(c2)c2ccc(c1c2)C(O)=C3,45 84 129 197 203 265 314 352 496 564 650 680 750 758 798 807 836 875 935 1057 1114 1145 1196 1259 1298 1357 1362 1380 1448 1469 1527 1602 1745 1750 1785 1848 1855 1873 1914
20,CC(C)(C)OC1OC2C3CCC(C)(C)C3C3C2OC1C3(C)C,21 114 205 221 392 460 497 549 559 564 622 656 695 831 926 946 1009 1019 1035 1044 1057 1060 1162 1232 1274 1323 1325 1373 1391 1423 1435 1474 1545 1859 1896 1921
21,COc1ccccc1-c1cc(NC(=O)N2CCCC2)ccc1C,184 191 218 249 288 352 369 385 650 695 710 807 841 843 875 926 935 984 1028 1057 1088 1152 1199 1380 1381 1391 1399 1410 1468 1480 1530 1536 1691 1722 1750 1797 1816 1873 1917 1970 1998 2009
22,O=C(c1ccccc1)c1ccc(CCCCCCCC(=O)N2CCCCC2)cc1,2 9 80 105 310 369 389 526 650 760 807 926 935 978 996 1009 1028 1045 1088 1143 1184 1199 1243 1267 1380 1385 1480 1564 1697 1750 1754 1775 1873 1911 1917 1985 1998 2009
23,C=CC=C(Br)C(=O)N1C(=O)NC(=O)C(O)C1CC,24 80 153 164 256 294 300 314 370 650 666 694 728 750 784 807 935 1019 1022 1034 1057 1060 1077 1110 1114 1126 1254 1257 1319 1366 1380 1397 1454 1535 1645 1847 1917 1929
24,CN(CCN(c1ccccc1)S(=O)(=O)c1ccccc1)c1nn2c(nc3ccccc32)s1,45 64 66 80 162 254 288 289 319 350 357 378 389 412 483 531 552 565 575 650 657 675 815 881 935 964 1057 1088 1096 1097 1101 1163 1199 1260 1285 1333 1380 1462 1476 1684 1750 1855 1873 1917 1946 1951 1956 2024 2045
25,Cc1ccc(C(=O)Nc2cccc(C#N)c2)cc1,102 184 191 235 305 486 650 674 703 790 807 875 1039 1057 1088 1136 1152 1255 1380 1384 1385 1665 1697 1722 1734 1750 1795 1816 1823 1873 1917 1920 1975 1978
26,CCn1c(=O)nc(C)ncc2ccccc2c(=O)[nH]c1=O,34 80 294 314 378 384 571 647 650 750 758 762 770 802 840 850 935 1057 1066 1087 1088 1114 1126 1199 1357 1380 1452 1469 1535 1573 1636 1722 1745 1750 1855 1873 1887 2026
27,Cc1cccc(S(=O)(=O)NC(=O)N2C(=O)N(C)C=Cc3ccccc32)c1,55 92 198 218 307 314 319 331 350 362 461 502 547 575 650 807 844 873 875 935 1013 1031 1039 1055 1057 1059 1088 1145 1152 1184 1199 1242 1295 1348 1380 1448 1476 1647 1722 1750 1805 1823 1824 1840 1873 1917 1920
28,COc1ccccc1C(=O)N(C(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,114 235 249 389 392 426 587 650 660 695 736 760 807 841 881 896 976 1057 1072 1088 1160 1199 1221 1380 1385 1410 1447 1521 1536 1697 1750 1791 1873 1917 1964 1970 1991
29,O=C(CN1CCCCC1)OCCOC(=O)c1ccccc1,2 13 80 145 147 277 389 606 650 695 807 857 926 935 1028 1034 1088 1199 1243 1312 1380 1385 1386 1422 1479 1480 1522 1592 1750 1791 1873 1917 1985 1998
30,CC(=O)Nc1ccc(C=C2c3ccccc3N=CN2C(=O)N2CCCC2)cc1,25 191 245 281 352 355 369 378 440 463 529 530 552 650 659 694 807 843 849 926 935 944 984 1017 1028 1057 1077 1088 1152 1199 1237 1380 1480 1481 1514 1665 1729 1750 1773 1816 1873 1882 1917 1940 1980 1998 2009 2033 2038
31,CN(Cc1ccc(C(=O)c2cccc3ccccc23)c([N+](=O)c2ccccc2)c1)C(=O)c1cccc2ccccc12,9 14 67 80 310 334 389 440 507 650 676 716 753 801 807 875 881 930 949 976 999 1023 1039 1057 1087 1088 1104 1160 1163 1199 1210 1221 1274 1337 1357 1380 1447 1541 1573 1610 1750 1754 1796 1855 1873 1917 1963 1991
32,COc1cc(C=C2C=CC(=O)c3ccc([N+](=O)[O-])cc32)c2ccccc2c1,281 314 322 352 500 535 547 650 680 694 695 715 747 753 781 833 835 836 838 841 859 875 961 963 1057 1087 1088 1154 1195 1199 1218 1223 1230 1257 1274 1357 1380 1531 1536 1573 1750 1797 1809 1814 1817 1855 1873 1940 1963
33,CC(=O)OC1(C(C)(C)C(=O)OCCOC(=O)c2cc(F)cc(F)c2)CCCCC1,2 13 70 80 114 145 147 269 293 309 329 392 430 650 660 695 699 762 767 807 875 926 1017 1028 1035 1057 1060 1153 1162 1243 1327 1380 1385 1502 1522 1534 1540 1592 1638 1670 1873 1917 1928 1971
34,C1=CN2CCN(CCCCCCN3c4cccnc43)CCOC1=CC=C2c1[nH]c2nc1S2,38 74 80 130 155 320 378 421 426 438 441 448 474 498 547 566 588 653 656 661 675 757 843 893 926 935 950 1043 1052 1088 1114 1143 1145 1167 1249 1257 1259 1295 1362 1380 1452 1470 1480 1482 1582 1610 1644 1647 1687 1719 1724 1745 1750 1791 1840 1849 1855 1866 1873 1911 1942 2038 2044
35,O=C(NCCOc1ccccc1C(F)(F)F)Nc1ccc(C(=O)O)cc1,13 80 106 114 191 197 262 312 389 419 425 456 490 650 667 695 807 809 843 904 915 1077 1088 1138 1152 1199 1380 1385 1410 1452 1453 1503 1518 1697 1750 1790 1816 1873 1917 1928 1970 1989 1990
