id,SMILES_input,fingerprints_input_ECFP4
1,OCCCCN1CCCC1,80 222 473 541 653 740 743 807 893 926 935 1028 1130 1145 1157 1220 1422 1480 1482 1791 1836 1911 1998
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 73 80 140 165 212 216 281 352 353 378 456 545 561 609 650 674 790 807 816 843 866 875 881 889 907 980 1043 1088 1164 1171 1190 1334 1367 1380 1384 1385 1443 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 2018 2023
3,Cc1cc[n+](C)cc1-c1ccccc1,222 263 350 352 389 391 463 482 673 691 736 1003 1057 1088 1160 1199 1299 1380 1391 1522 1530 1674 1717 1722 1750 1858 1860 1873 2002 2025
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 194 202 369 387 433 526 650 652 678 695 739 760 807 814 841 913 926 935 996 1009 1019 1028 1057 1152 1168 1267 1325 1480 1564 1634 1703 1758 1911 1917 1923 1998 2009
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 261 263 314 317 319 322 350 359 414 486 502 534 535 562 575 627 650 658 662 664 680 694 695 707 718 727 781 798 807 835 841 843 875 926 935 960 965 993 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1182 1249 1380 1386 1440 1452 1476 1480 1497 1536 1567 1626 1651 1738 1750 1766 1816 1832 1873 1917 1972 1978
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 76 80 102 122 212 283 294 305 307 366 460 561 591 650 667 674 721 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1262 1296 1380 1384 1676 1683 1714 1750 1873 1911 1917 1954 1975 2016 2018
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 216 219 233 295 314 371 464 531 547 650 699 732 811 872 875 888 918 926 935 985 1028 1089 1101 1145 1380 1395 1422 1441 1457 1480 1482 1539 1548 1701 1750 1755 1791 1825 1840 1873 1874 1928 1998
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 114 117 147 350 354 389 428 436 486 496 650 692 759 807 825 849 881 926 935 962 966 1019 1057 1088 1092 1102 1152 1183 1199 1257 1325 1380 1385 1393 1398 1417 1423 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1985 2005 2011 2017
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,48 80 193 197 210 255 290 314 322 374 389 486 504 562 638 650 695 805 807 813 868 875 903 926 935 1019 1066 1088 1152 1199 1236 1317 1380 1489 1496 1555 1573 1617 1670 1750 1754 1820 1873 1887 1917 1946 1991
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 192 218 222 277 314 369 562 639 650 656 695 750 764 782 796 801 802 807 845 926 935 941 1019 1028 1049 1088 1119 1126 1152 1380 1468 1480 1565 1722 1748 1758 1819 1917 1923 1950 1982 1998 2009
11,c1ccc(-c2ccnc(NC3CCC4CCC3C4)n2)cc1,130 155 300 378 389 585 712 736 787 926 980 1019 1085 1088 1152 1160 1199 1292 1325 1380 1403 1423 1446 1452 1568 1582 1589 1671 1750 1819 1855 1866 1873 1952 1964 1971 2036 2047
12,CN1C(=O)C2=CC=C(Br)CC(CC2)C1=O,5 118 231 296 314 358 368 406 425 456 650 690 728 762 798 879 926 935 936 987 1019 1057 1145 1249 1325 1380 1631 1737 1738 1764 1873 1953 1963 2000
13,CC(=O)Nc1ccc(N(C)C(=O)c2ccccc2)c(Nc2ccccc2O)n1,17 46 54 245 378 389 491 587 650 708 807 811 843 849 881 967 1017 1057 1088 1099 1152 1163 1199 1220 1221 1224 1367 1380 1385 1415 1493 1602 1607 1696 1726 1750 1758 1801 1816 1831 1855 1873 1905 1917 1929 1982 1985 2014 2018 2029
14,Nc1cccc2c(=O)n(CCCCCCN3CCCCC3)ncc12,2 43 80 90 138 158 275 313 314 378 464 494 504 527 543 650 653 804 879 893 910 926 935 1012 1028 1039 1088 1109 1143 1145 1171 1357 1367 1380 1422 1457 1480 1482 1492 1516 1535 1573 1750 1791 1873 1891 1911 1927 1998 2016
15,O=C(NCCc1cc2ccc1cc2)N1CCN(CCN2CCCC2)C1=O,80 92 197 198 203 218 295 302 314 358 371 389 650 667 772 807 828 875 926 935 961 1028 1089 1112 1145 1152 1226 1243 1328 1349 1380 1387 1422 1441 1480 1482 1538 1548 1635 1750 1762 1772 1791 1845 1855 1873 1917 1998 2008
16,O=C(c1cccc(Cl)c1)N1CCCC(c2cccs2)CC1,14 165 177 216 239 241 369 383 446 470 497 561 592 618 649 650 652 660 675 677 709 802 807 815 875 926 935 942 1019 1028 1039 1088 1215 1276 1325 1380 1385 1480 1504 1567 1683 1735 1750 1858 1873 1911 1917 1943 1985 2000 2009
17,CC(=CCCn1c(C)nc2ccccc2c1=O)c1ccc(C)cc1,47 57 65 80 107 235 289 314 378 389 401 479 485 504 650 652 694 802 807 935 1017 1029 1057 1088 1097 1145 1158 1199 1357 1380 1385 1492 1519 1573 1696 1697 1722 1750 1784 1823 1855 1873 1920 1932 1975
18,CC(=O)OCC(=O)NCCCN(CCN1C(=O)C2=Nc3nc2c(s3)C1=O)c1ccc(C)cc1,41 80 121 147 155 162 197 219 235 314 323 373 378 473 493 588 597 602 624 647 650 667 675 695 724 778 789 807 846 863 879 881 885 927 935 977 1017 1035 1057 1077 1096 1145 1152 1326 1380 1487 1499 1528 1610 1632 1687 1722 1750 1783 1823 1855 1873 1876 1878 1911 1917 1920 1951 1977 2004 2041
19,Cn1c(=O)[nH]c(=O)c2ccc3c(c2)c2ccc(c1c2)C(O)=C3,45 84 129 197 203 265 314 352 496 557 564 650 680 750 758 798 807 836 875 935 992 1057 1114 1145 1196 1259 1298 1357 1362 1380 1448 1469 1527 1602 1745 1750 1785 1848 1855 1873 1914
20,CC(C)(C)OC1OC2C3CCC(C)(C)C3C3C2OC1C3(C)C,21 114 205 214 221 392 460 497 549 559 564 622 656 695 831 926 946 1009 1019 1035 1044 1057 1060 1162 1232 1274 1323 1325 1373 1391 1406 1423 1435 1474 1545 1859 1896 1921
21,COc1ccccc1-c1cc(NC(=O)N2CCCC2)ccc1C,90 184 191 218 249 288 335 352 369 385 635 650 695 710 807 841 843 875 926 935 953 984 1028 1057 1088 1152 1199 1380 1381 1391 1399 1410 1468 1480 1530 1536 1691 1722 1750 1797 1816 1873 1917 1970 1998 2009
22,O=C(c1ccccc1)c1ccc(CCCCCCCC(=O)N2CCCCC2)cc1,2 9 80 105 310 369 389 447 526 535 548 650 700 760 807 926 935 978 996 1009 1028 1045 1088 1143 1184 1199 1243 1267 1380 1385 1480 1564 1697 1750 1754 1775 1873 1911 1917 1985 1998 2009 2035
23,C=CC=C(Br)C(=O)N1C(=O)NC(=O)C(O)C1CC,24 80 153 164 199 256 294 300 314 370 650 666 694 728 750 784 807 849 935 1019 1022 1034 1057 1060 1077 1110 1114 1126 1254 1257 1319 1366 1380 1397 1454 1535 1645 1834 1847 1917 1929
24,CN(CCN(c1ccccc1)S(=O)(=O)c1ccccc1)c1nn2c(nc3ccccc32)s1,45 64 66 80 162 254 288 289 319 350 357 378 389 412 483 531 552 565 575 650 657 675 804 815 881 935 964 1057 1088 1096 1097 1101 1163 1199 1260 1285 1333 1352 1380 1462 1476 1595 1684 1714 1750 1855 1873 1917 1946 1951 1956 2024 2045
25,Cc1ccc(C(=O)Nc2cccc(C#N)c2)cc1,102 184 191 235 305 486 650 674 703 790 807 861 875 1039 1057 1088 1136 1152 1255 1347 1380 1384 1385 1557 1665 1697 1722 1734 1750 1795 1816 1823 1873 1917 1920 1975 1978
