id,SMILES_input,fingerprints_input_ECFP4
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 80 94 114 118 227 283 351 392 404 444 486 644 655 658 695 807 841 875 1005 1057 1153 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1873 1911 1970 2007 2012 2038
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 114 136 561 1050 1434 1453 1928 2039
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,1 14 80 145 196 237 241 325 330 383 387 428 573 581 606 610 626 650 656 675 695 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1152 1199 1238 1256 1259 1325 1380 1385 1391 1567 1608 1634 1655 1661 1697 1715 1722 1750 1790 1802 1873 1917 1985 1999
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 145 147 162 191 216 219 233 235 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1683 1750 1765 1819 1866 1873 1917 1984 1990
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,324 347 366 378 389 456 491 540 561 563 650 708 807 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1357 1380 1385 1452 1535 1573 1683 1696 1750 1768 1855 1873 1905 1917 1990 2008
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 319 350 389 575 650 694 695 725 761 835 837 841 878 940 977 989 1057 1088 1115 1199 1308 1353 1380 1390 1422 1476 1624 1723 1750 1857 1858 1873 2033
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 112 314 650 1380 1680 1750 1873 1944 1963 2029
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,80 248 314 319 378 507 534 569 584 650 656 684 724 875 881 910 926 939 988 1000 1057 1060 1064 1101 1114 1163 1171 1184 1236 1380 1398 1457 1542 1557 1575 1646 1665 1689 1722 1738 1742 1873 1982 1997 2018
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 29 45 75 80 118 223 227 313 328 329 343 463 522 564 582 597 598 673 687 695 807 870 914 923 926 935 971 983 1019 1057 1088 1128 1136 1147 1199 1285 1325 1380 1427 1455 1475 1605 1750 1873 1922 1971 1992 2038
11,C C C C 1 = C ( C ( = C ( C ( = C 1 C C C ) O ) O ) [N+] ( = O ) [O-] ) C C C,39 80 81 202 294 599 612 650 715 753 794 807 838 873 1057 1195 1243 1380 1602 1626 1726 1781 1888 1963 2034 2037
12,C C 1 = C C ( = C ( C ( = C 1 ) Cl ) O C C O C 2 = C C = C ( C = C 2 ) C C ( C N ) C ( = O ) N 3 C C C C 4 = C 3 C = C C ( = C 4 ) F ) Cl,1 13 78 79 80 102 108 258 265 310 322 333 366 377 537 556 561 626 650 676 695 699 718 807 857 875 909 926 935 981 1028 1034 1057 1138 1171 1215 1236 1295 1352 1380 1384 1387 1410 1438 1452 1480 1487 1670 1683 1722 1738 1750 1754 1823 1873 1877 1888 1909 1915 1917 1928 1953 2045
13,C [C@H] ( C ( = O ) N C 1 = C C = C C = C 1 ) O C ( = O ) / C = C / C 2 = C C = C C = C 2 Br,1 31 57 69 176 180 191 283 389 441 472 573 650 694 695 703 728 807 833 835 961 1055 1057 1073 1077 1088 1117 1144 1152 1199 1269 1358 1380 1631 1664 1750 1784 1816 1873 1917
14,C C 1 ( C N ( C 1 ) N C ( = O ) N S ( = O ) ( = O ) C 2 = C C = C ( C = C 2 ) C C N C ( = O ) C 3 = C ( C = C C ( = C 3 ) Br ) O C ) C,8 15 80 94 166 197 235 249 307 310 319 324 331 350 486 502 602 650 667 695 715 728 766 807 828 836 841 875 883 909 926 935 1045 1057 1060 1152 1157 1217 1243 1274 1317 1380 1476 1487 1507 1536 1606 1631 1750 1754 1762 1796 1808 1873 1917 1970 1989 1991
15,C C 1 = N C = C ( C 2 = C 1 O C ( = O ) C ( = C 2 ) C 3 = N C ( = N O 3 ) C 4 = C C = C ( C = C 4 ) Br ) C O,40 80 92 133 156 168 222 248 284 314 352 378 426 520 650 656 677 728 807 837 875 896 907 909 1002 1047 1057 1157 1160 1289 1345 1349 1357 1380 1385 1452 1468 1535 1542 1573 1604 1631 1649 1700 1722 1750 1793 1855 1873 1910 2013
16,C O C 1 = C ( C ( = C ( C = C 1 ) C C N C C C C C C N C C C 2 = C C = C C = C 2 ) C C C 3 = C C ( = C C = C 3 ) O C ) O C,80 94 104 218 249 322 327 333 389 499 516 559 562 592 613 667 695 771 781 841 875 1004 1039 1045 1057 1066 1088 1143 1152 1169 1179 1199 1243 1322 1349 1380 1507 1536 1599 1741 1750 1754 1873 1911 1970 1972 2008 2034
17,C C ( C ) ( C ) C C ( C ) ( C C C C ( = O ) N O C ) C 1 = C ( C = C ( C ( = C 1 ) O ) C ( C ) ( C ) C ) O,41 80 114 392 419 630 650 695 697 778 789 807 841 875 957 980 997 1032 1057 1152 1171 1308 1339 1380 1415 1561 1564 1602 1607 1655 1706 1718 1873 1897 1911 1917 1929 1950 2011 2014
18,C C O C ( = O ) / C = C / [C@@H] ( C C C = C ) O,1 31 80 147 227 294 301 401 403 650 694 695 739 782 807 815 940 1057 1064 1073 1238 1366 1564 1588 1624 1645 1698 1722 1917 1987
19,C C 1 = C ( S C = C 1 ) C ( C 2 = C ( C = C ( C = C 2 ) O C ) Cl ) N C,1 14 173 237 322 366 553 554 561 675 695 703 718 781 805 841 875 1055 1057 1152 1191 1192 1363 1380 1391 1430 1454 1462 1536 1567 1643 1683 1722 1750 1873 1907 1949 1972
20,C C 1 = C C ( = C C = C 1 ) N ( C C 2 = C C = C ( C = C 2 ) C ( = O ) N C [C@H] 3 C C C O 3 ) S ( = O ) ( = O ) C,80 81 121 197 214 239 248 265 288 310 350 361 486 507 521 650 656 692 802 807 821 860 875 881 926 950 994 1013 1019 1028 1039 1055 1057 1088 1096 1147 1152 1241 1325 1380 1385 1391 1468 1476 1604 1665 1684 1695 1697 1722 1750 1754 1823 1873 1917
