id,SMILES_input,fingerprints_input_ECFP4
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 51 80 94 114 118 204 227 238 283 351 392 394 404 422 444 486 518 534 594 644 646 655 658 682 695 740 743 765 774 796 807 810 811 825 840 841 875 997 1005 1044 1057 1100 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1567 1616 1663 1665 1722 1724 1750 1836 1873 1910 1911 1928 1948 1951 1970 2007 2012 2022 2038
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 59 70 114 125 136 184 208 218 240 306 321 322 404 456 545 561 676 678 695 719 741 869 894 934 1050 1059 1081 1086 1109 1131 1208 1327 1354 1385 1434 1443 1453 1475 1497 1528 1565 1589 1825 1864 1916 1928 1945 1976 2023 2031 2039
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,1 14 80 101 106 145 196 237 238 241 288 307 308 325 330 349 383 387 391 428 440 447 500 522 548 573 581 606 610 626 650 656 675 680 695 730 745 766 807 812 841 881 890 906 911 926 960 1019 1022 1028 1057 1088 1096 1102 1112 1149 1152 1197 1199 1238 1256 1259 1280 1325 1380 1385 1391 1424 1493 1522 1527 1567 1604 1608 1625 1634 1643 1655 1661 1674 1697 1700 1715 1722 1750 1758 1772 1773 1789 1790 1802 1848 1858 1864 1873 1917 1922 1934 1948 1954 1985 1999 2002 2018 2020 2025
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 85 89 121 129 135 145 147 149 162 191 202 216 219 222 233 235 239 294 314 348 382 461 489 505 555 561 606 620 622 650 670 675 695 742 746 759 777 786 802 807 816 843 853 854 901 910 913 924 926 935 963 967 993 994 1006 1014 1019 1024 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1318 1330 1337 1348 1357 1362 1380 1385 1402 1440 1443 1453 1457 1464 1495 1522 1541 1623 1683 1686 1697 1703 1722 1750 1788 1798 1803 1816 1817 1823 1825 1873 1917 1920 1931 1935 1938 1951 1960 1965 1968
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 175 197 198 221 231 240 246 248 295 311 314 366 378 398 440 443 448 517 534 561 584 611 641 650 665 667 684 688 689 723 724 739 775 798 807 828 855 882 886 899 910 926 935 936 960 965 974 1012 1019 1028 1067 1088 1089 1133 1137 1152 1153 1155 1174 1193 1199 1243 1306 1307 1319 1344 1349 1380 1452 1478 1499 1521 1558 1597 1598 1606 1651 1669 1677 1683 1747 1750 1765 1781 1819 1820 1844 1866 1873 1917 1935 1971 1984 1990 2029 2030
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,31 47 122 191 193 239 324 347 366 378 387 389 419 430 441 456 491 540 561 563 586 640 650 669 698 701 708 721 807 812 875 924 1039 1087 1088 1104 1138 1152 1199 1207 1224 1245 1262 1296 1347 1357 1380 1385 1429 1445 1452 1458 1483 1513 1535 1573 1667 1676 1683 1696 1712 1714 1750 1768 1855 1873 1905 1917 1972 1978 1990 2008 2011
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 161 228 239 260 319 344 350 352 367 389 417 419 463 477 478 505 515 575 639 650 694 695 725 737 761 835 837 841 864 878 888 911 918 940 974 977 989 990 1010 1044 1057 1080 1088 1115 1163 1199 1205 1234 1279 1308 1353 1380 1390 1419 1422 1446 1476 1524 1552 1565 1568 1624 1681 1723 1726 1737 1750 1795 1857 1858 1873 1892 1909 1959 2027 2033
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 54 106 112 132 180 202 225 283 286 314 436 484 515 550 570 632 635 650 666 753 781 845 906 935 949 953 1018 1020 1021 1107 1153 1188 1209 1233 1259 1268 1275 1276 1307 1364 1380 1393 1398 1443 1490 1545 1568 1569 1617 1642 1680 1689 1750 1805 1873 1884 1944 1948 1963 1972 2029
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,23 27 80 210 229 248 278 285 290 314 319 326 341 378 403 410 505 507 512 528 534 569 584 631 636 650 656 684 724 793 841 868 875 881 896 910 916 926 937 939 972 988 1000 1019 1045 1057 1060 1064 1070 1101 1114 1163 1171 1184 1192 1212 1236 1272 1281 1338 1349 1350 1362 1380 1398 1404 1443 1457 1523 1531 1542 1557 1575 1623 1646 1665 1684 1689 1703 1722 1738 1742 1772 1785 1789 1851 1873 1910 1938 1982 1997 2011 2018 2042
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 16 29 45 75 80 84 113 118 166 171 185 192 223 227 277 313 328 329 343 383 435 463 522 564 579 582 597 598 601 649 668 673 687 695 796 801 806 807 815 835 870 897 914 923 926 935 971 983 1019 1057 1088 1103 1105 1128 1132 1136 1147 1159 1177 1199 1280 1285 1324 1325 1338 1380 1417 1427 1439 1455 1458 1464 1475 1487 1500 1576 1605 1653 1717 1731 1750 1754 1766 1798 1873 1876 1922 1940 1961 1971 1992 2015 2019 2023 2038
11,C C C C 1 = C ( C ( = C ( C ( = C 1 C C C ) O ) O ) [N+] ( = O ) [O-] ) C C C,39 43 44 78 80 81 122 138 176 199 202 233 276 294 325 340 380 388 445 597 599 612 639 650 681 715 719 725 753 794 807 838 868 873 874 928 1045 1057 1067 1158 1182 1195 1237 1243 1294 1380 1389 1489 1493 1500 1523 1559 1602 1626 1725 1726 1781 1786 1888 1889 1963 1984 2034 2037
12,C C 1 = C C ( = C ( C ( = C 1 ) Cl ) O C C O C 2 = C C = C ( C = C 2 ) C C ( C N ) C ( = O ) N 3 C C C C 4 = C 3 C = C C ( = C 4 ) F ) Cl,1 13 18 34 61 78 79 80 102 108 164 258 265 283 309 310 312 322 333 366 368 372 377 499 500 523 537 556 561 604 626 650 674 676 693 695 699 705 718 807 857 875 909 926 935 965 981 992 999 1023 1028 1034 1036 1039 1057 1138 1148 1171 1213 1215 1236 1287 1295 1299 1300 1332 1352 1357 1380 1384 1387 1410 1438 1452 1480 1487 1528 1535 1548 1581 1595 1670 1683 1694 1722 1738 1750 1754 1764 1774 1823 1873 1877 1881 1888 1909 1915 1917 1925 1928 1953 1995 2014 2026 2045
13,C [C@H] ( C ( = O ) N C 1 = C C = C C = C 1 ) O C ( = O ) / C = C / C 2 = C C = C C = C 2 Br,1 6 17 31 37 57 61 69 174 176 180 191 283 389 441 447 472 517 558 573 614 650 694 695 703 725 728 785 807 811 812 833 835 873 917 961 1015 1055 1057 1073 1077 1088 1110 1117 1129 1144 1152 1199 1201 1267 1269 1276 1331 1358 1367 1380 1415 1417 1493 1600 1631 1653 1664 1684 1712 1750 1784 1816 1818 1852 1873 1917 1919 1930
14,C C 1 ( C N ( C 1 ) N C ( = O ) N S ( = O ) ( = O ) C 2 = C C = C ( C = C 2 ) C C N C ( = O ) C 3 = C ( C = C C ( = C 3 ) Br ) O C ) C,8 15 50 65 80 94 100 138 156 166 168 197 221 235 249 261 293 307 310 319 324 331 350 415 428 463 464 486 501 502 527 543 545 557 559 602 650 667 670 682 695 715 728 735 766 807 813 817 823 825 828 836 841 867 874 875 879 883 891 909 926 935 941 994 1012 1045 1057 1060 1111 1152 1157 1189 1192 1217 1235 1238 1243 1274 1276 1317 1380 1476 1487 1492 1507 1516 1519 1536 1606 1631 1646 1690 1712 1739 1750 1754 1762 1764 1773 1796 1806 1808 1838 1873 1891 1917 1922 1942 1952 1970 1984 1989 1991
15,C C 1 = N C = C ( C 2 = C 1 O C ( = O ) C ( = C 2 ) C 3 = N C ( = N O 3 ) C 4 = C C = C ( C = C 4 ) Br ) C O,14 15 40 80 92 118 133 156 168 222 248 260 284 285 308 314 352 378 384 389 426 482 517 520 528 610 640 650 656 659 677 728 807 809 821 825 837 875 891 896 907 909 923 1002 1009 1028 1047 1057 1078 1097 1157 1159 1160 1226 1282 1289 1324 1328 1345 1349 1357 1380 1385 1452 1458 1468 1516 1535 1542 1557 1573 1604 1631 1649 1700 1722 1744 1750 1793 1855 1873 1886 1910 1921 1952 1987 2013
16,C O C 1 = C ( C ( = C ( C = C 1 ) C C N C C C C C C N C C C 2 = C C = C C = C 2 ) C C C 3 = C C ( = C C = C 3 ) O C ) O C,80 94 104 109 218 239 249 259 322 327 333 381 389 418 427 470 491 499 516 559 562 592 613 660 667 695 699 709 738 740 771 781 800 815 837 841 875 894 992 1004 1039 1045 1057 1066 1088 1117 1143 1152 1164 1169 1175 1179 1190 1199 1215 1243 1249 1276 1322 1349 1354 1380 1413 1421 1507 1521 1536 1552 1599 1661 1689 1726 1735 1741 1743 1750 1754 1775 1873 1892 1911 1952 1970 1972 2008 2034
17,C C ( C ) ( C ) C C ( C ) ( C C C C ( = O ) N O C ) C 1 = C ( C = C ( C ( = C 1 ) O ) C ( C ) ( C ) C ) O,41 57 80 114 251 272 278 300 378 392 419 457 568 623 630 650 652 654 695 697 778 789 790 807 840 841 875 876 957 958 980 997 1023 1032 1057 1076 1124 1152 1168 1171 1172 1217 1249 1308 1339 1345 1380 1415 1429 1433 1459 1492 1561 1564 1602 1607 1655 1691 1706 1718 1827 1873 1897 1911 1917 1929 1950 1980 1983 2011 2014
18,C C O C ( = O ) / C = C / [C@@H] ( C C C = C ) O,1 31 45 80 87 121 147 214 227 294 301 401 403 460 461 531 539 558 579 650 688 694 695 702 739 754 778 782 789 807 815 840 940 947 1057 1060 1064 1073 1082 1232 1238 1366 1392 1430 1448 1460 1463 1508 1564 1588 1624 1645 1662 1683 1698 1722 1783 1806 1917 1945 1987
19,C C 1 = C ( S C = C 1 ) C ( C 2 = C ( C = C ( C = C 2 ) O C ) Cl ) N C,1 14 57 139 173 180 209 237 264 305 316 322 365 366 404 499 553 554 557 561 611 675 695 703 706 718 781 805 813 841 875 955 992 1055 1057 1100 1152 1191 1192 1267 1316 1358 1359 1363 1380 1391 1430 1443 1454 1462 1536 1548 1567 1592 1632 1639 1643 1668 1683 1715 1722 1750 1757 1766 1873 1907 1949 1951 1972 1981 2025
20,C C 1 = C C ( = C C = C 1 ) N ( C C 2 = C C = C ( C = C 2 ) C ( = O ) N C [C@H] 3 C C C O 3 ) S ( = O ) ( = O ) C,4 11 31 80 81 99 121 152 178 179 197 214 222 239 248 265 273 288 310 335 350 361 421 422 486 507 521 536 573 592 593 650 656 692 802 807 821 844 860 870 875 881 882 926 950 964 994 1013 1019 1028 1039 1055 1057 1083 1084 1088 1096 1147 1152 1158 1184 1189 1239 1240 1241 1272 1325 1380 1385 1391 1406 1430 1448 1468 1476 1493 1505 1552 1604 1637 1658 1665 1674 1684 1695 1697 1713 1722 1750 1754 1779 1823 1851 1871 1873 1917
21,C C ( C ) C C ( = O ) N C 1 = C C = C ( C = C 1 ) N C ( = O ) C C 2 = C C ( = C ( C ( = C 2 ) O C ) O C ) O C,1 41 80 90 114 115 140 191 203 213 249 282 283 295 296 311 325 333 335 336 411 445 471 572 613 617 635 650 684 692 695 730 732 792 807 841 843 854 875 901 953 1027 1057 1062 1077 1121 1135 1139 1152 1226 1258 1290 1317 1380 1381 1452 1485 1510 1522 1536 1585 1599 1656 1750 1754 1756 1777 1816 1847 1873 1892 1902 1917 1970 1977 1988 1990 2002
22,C N 1 C 2 = C ( C ( = O ) N ( C 1 = O ) C ) [C@@] ( C ( = O ) N 2 ) ( C ( F ) ( F ) F ) N S ( = O ) ( = O ) C 3 = C C = C ( C = C 3 ) Cl,33 50 70 113 114 121 216 314 319 328 350 380 400 404 429 437 447 488 502 504 535 540 542 548 561 564 566 576 617 621 650 687 700 713 715 726 761 771 779 791 816 825 882 883 919 935 943 982 1039 1045 1057 1060 1070 1114 1116 1145 1152 1163 1167 1205 1257 1258 1298 1309 1332 1344 1380 1405 1426 1431 1449 1453 1476 1481 1532 1590 1605 1633 1683 1688 1750 1762 1800 1806 1815 1825 1829 1838 1873 1874 1912 1928 1948 1966 1999 2028 2035
23,C 1 C 2 C C 3 C C 1 C C ( C 2 ) ( O 3 ) C ( = O ) N,68 75 127 140 178 190 191 195 199 261 308 379 412 420 504 543 569 634 650 656 659 679 741 807 841 846 849 926 1019 1057 1060 1070 1095 1097 1102 1134 1155 1171 1190 1241 1292 1355 1411 1424 1435 1446 1448 1491 1504 1524 1536 1544 1559 1602 1624 1642 1679 1697 1699 1704 1823 1830 1834 1839 1917 1976
24,C C 1 = C C ( = C ( C 2 = C 1 C ( = O ) / C ( = C / C 3 = C C ( = C ( C = C 3 ) O C ) O C ) / O 2 ) C [NH+] 4 C C [NH+] ( C C 4 ) C ) O,25 32 48 80 94 104 118 126 140 221 249 271 281 306 314 317 319 428 460 469 547 552 615 635 650 656 674 694 695 786 804 807 820 841 875 881 924 926 958 969 1009 1024 1026 1051 1057 1141 1157 1183 1205 1212 1245 1252 1267 1294 1345 1352 1380 1382 1391 1438 1446 1452 1476 1536 1595 1602 1607 1608 1667 1690 1700 1714 1722 1729 1738 1741 1747 1750 1810 1819 1828 1860 1872 1873 1885 1886 1899 1904 1912 1926 1949 1970 2003 2021 2033 2034
