id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,CCCCCN(CCCCc1c2cc3sc2nn13)C(=O)c1ccc(OCC)c(Cl)c1,70 80 85 94 162 237 294 347 366 378 412 425 511 561 591 650 675 695 794 807 828 875 881 935 978 991 1057 1110 1184 1221 1238 1243 1272 1342 1344 1348 1357 1380 1385 1427 1444 1452 1525 1582 1669 1683 1697 1750 1767 1865 1873 1875 1911 1917 1951 1956 1970 1984,CCCCCC1=C2C=C3C=C(C(=NN3C(=C2C=C4N1N=C5N4N=C6C(=CC7=C(N6N=C7S5)CCCCC)CCCCC)CCCCC)Cl)OCC
2,O=C(Nc1n[nH]c2ccc(Br)cc12)N1CCCC1,74 91 119 122 218 328 369 378 650 708 728 766 807 875 892 909 926 935 1028 1114 1152 1157 1357 1380 1381 1468 1480 1592 1631 1730 1750 1816 1833 1873 1917 1939 1998 2004 2009,C1CCN(C1)C(=O)NC2=NNC3=C2C=C(C=C3)Br
3,CCN(C(=O)N(C)c1ccccc1OC)C(=Cc1ccc(OC)cc1)c1ccccc1C,25 54 80 249 252 294 322 376 431 650 694 695 718 748 781 807 831 841 881 917 927 932 1057 1078 1082 1088 1122 1163 1199 1362 1380 1391 1410 1447 1536 1648 1722 1746 1750 1844 1873 1884 1913 1917 1970 1991 1999 2018 2033,CCN(C1=CC=CC=C1OC)C(=O)N(C)C2=CC=CC=C2/C(=C/C3=CC=C(C=C3)OC)/C4=CC=CC=C4C
4,CC1(Cl)OC(=O)C1(C)Cl,99 113 314 650 656 667 1041 1057 1060 1135 1274 1282 1380 1502 1683 1863 2047,CC1(C2(C(C(=O)O1)(C(C(=O)O2)(Cl)Cl)Cl)C)C
5,CCc1cc(C=CC(C)=Cc2cc(OC)ccc2C)ccc1C,25 31 80 135 294 322 517 650 694 695 718 781 807 835 841 875 961 1017 1057 1230 1288 1308 1349 1380 1391 1501 1536 1587 1648 1691 1722 1742 1746 1750 1762 1799 1873 1945 1972 2033 2041,CCC1=C(C=CC(=C1)/C=C/C(=C/C2=C(C=CC(=C2)OC)C)/C)C
6,CCc1ccc2ccc3[nH]c(=O)n(C)c(=O)[nH]c(=O)c4ccc(c4c1)c2c1c2ccc(O)c1cc3o2,2 80 119 145 203 294 310 314 345 437 552 564 637 650 656 667 725 750 758 807 875 935 987 1001 1020 1057 1114 1145 1245 1357 1368 1380 1469 1475 1539 1593 1602 1604 1607 1733 1745 1750 1754 1799 1808 1810 1848 1855 1873 1912 1930 1939 1984 2026,CCC1=CC2=C(C=C1)NC3=C2C=CC4=C3C5=C(C=C4)C6=C(C=C5)OC(=O)N(C6=O)C
7,CC(C)(C)C1C2CC3(CCCCC3)C3C(N2)C(C)(C)C2CCCCC2N13,2 16 101 114 293 322 380 392 431 519 524 549 579 663 679 739 790 866 890 926 935 1019 1028 1057 1059 1060 1114 1162 1172 1250 1256 1274 1325 1380 1569 1618 1638 1681 1689 1967 2021 2040,CC1([C@@H]2CCCC[C@H]2N3[C@H]1[C@H]4C5(CCCCC5)C[C@@H]3N4)C
8,CC1(C)C(=O)NC(=O)N1c1ccc(C(F)(F)F)cc1Cl,114 228 314 366 379 561 650 713 809 875 935 947 1001 1057 1060 1114 1251 1260 1274 1295 1380 1417 1453 1522 1665 1683 1750 1783 1873 1901 1915 1928 2017 2026,CC1(C(=O)NC(=O)N1C2=C(C=C(C=C2)C(F)(F)F)Cl)C
9,c1ccc2c(c1)c(OCCN1CCCCC1)c1c3sc(nc32)S1,2 13 80 131 162 243 286 326 333 378 533 561 675 695 905 926 931 935 974 1028 1088 1145 1199 1288 1352 1357 1380 1385 1422 1452 1457 1478 1480 1482 1573 1724 1750 1791 1832 1855 1873 1877 1998 2044,C1CCN(CC1)CCOC2=C3C(=NC4=C2SC5=C4C=CC=C5C6=C(C7=CC=CC=C7C8=CC=CC=C86)OCCN9CCCCC9)C1=CC=CC=C1S3
10,COc1ccc(OCC2c3ccccc3C(=O)N2C(C)=O)cc1,58 80 102 123 314 322 352 371 460 650 666 695 718 749 765 781 807 831 841 879 935 984 1017 1019 1027 1057 1088 1118 1136 1199 1265 1300 1380 1452 1536 1750 1823 1873 1917 1984,CC(=O)N1C(C2=CC=CC=C2C1=O)COC3=CC=C(C=C3)OC
11,CN(c1nc(-c2ccccc2)nc2ccccc12)C(C)(C)C,114 168 259 289 342 378 389 392 426 466 685 736 881 1057 1088 1097 1160 1163 1199 1302 1312 1357 1380 1385 1386 1573 1716 1750 1855 1873,CC(C)(C)N(C)C1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3
12,O=c1nc(Br)nc2n1CC1CCCN2C1,82 314 336 378 407 419 440 446 650 678 680 728 739 926 935 1019 1028 1055 1145 1325 1365 1380 1446 1480 1496 1631 1635 1824 1855 1887 1976 1979,C1CC2CCN(C1)C3=NC(=NC(=O)N3C2)Br
13,COc1ccc(CCNC(=O)c2ccc(F)c(F)c2)nn1,8 80 101 160 197 216 265 378 486 526 531 650 667 695 699 724 807 828 841 875 997 1057 1073 1152 1164 1243 1360 1380 1385 1468 1518 1536 1539 1554 1570 1697 1750 1840 1873 1917 1928,COC1=NN=C(C=C1)CCNC(=O)C2=CC(=C(C=C2)F)F
14,COc1cc(Br)cc(-c2cc3ccc2OCCCCCN2CCN(C2=O)S3(=O)=O)c1,2 92 110 207 314 322 330 352 407 441 469 495 650 656 680 695 728 763 781 841 842 875 909 926 929 935 950 978 990 1028 1035 1057 1147 1160 1218 1249 1290 1355 1380 1459 1480 1508 1529 1536 1599 1631 1750 1777 1779 1873 1905 1932 1967 1998 2004,COC1=CC(=CC(=C1)C2=C3C=CC4=C(C=CC(=C4S3(=O)=O)OCCCCCOC5=C(C=C(C=C5)OC)C6=CC(=CC(=C6)Br)Br)OCCCCCC5)Br
15,O=C(NC1C(=O)NC(=O)C1Sc1ccc(-c2ccccc2)c2cc(Cl)ccc12)c1ccccc1,26 116 165 216 222 230 233 247 314 352 387 389 398 486 561 589 594 650 680 736 807 816 841 875 1019 1025 1033 1034 1060 1088 1114 1152 1160 1199 1249 1357 1380 1385 1584 1665 1683 1704 1731 1733 1750 1831 1873 1895 1917 1933 1985,C1=CC=C(C=C1)C2=C3C=C(C=CC3=C(C=C2)SC4C(C(=O)NC4=O)NC(=O)C5=CC=CC=C5)Cl
16,COc1ccc(Oc2ccc(C(=O)O)cc2)cc2c(cc(OCCCC(C)(C)C)c1OC)C(=O)C(=O)O2,13 80 94 106 114 193 249 282 314 322 333 352 389 392 456 613 650 652 656 685 695 718 778 807 841 875 997 1010 1057 1088 1138 1225 1252 1308 1370 1380 1385 1404 1429 1452 1476 1518 1536 1599 1617 1639 1697 1741 1750 1810 1868 1873 1905 1911 1917 1944 1970,CC(C)(C)CCCOC1=C(C=C2C(=C1)OC(=O)C2=O)OC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O
17,CCN(CCOC1=CC=C2C(OC)=CC=C12)C(=O)C(NC(C)=O)C1=CC=C1c1cc2c(ccn2C)c(=O)[nH]1,1 13 45 80 117 142 236 245 255 284 294 314 459 460 466 606 650 695 725 750 807 841 853 875 881 932 935 950 978 986 1008 1011 1017 1057 1101 1114 1145 1152 1167 1228 1249 1290 1293 1324 1357 1380 1394 1409 1452 1492 1536 1614 1617 1647 1697 1745 1750 1765 1786 1839 1864 1873 1898 1917 1951 2022 2026 2043,CCN(CC)C(=O)C(CNN(CC)CCOC1=CC=C(C(=O)N1)OC)NC(=O)C
18,CC(C)(C#N)N1CCCC1,114 392 667 674 790 926 935 1028 1057 1087 1111 1315 1366 1384 1406 1480 1697 1998,CC(C#N)(C(C)(C)N1CCCC1)N2CCCC2
19,CC(=NN1CCCC12CCCN(C(C)(C)C)C2)c1c2ccc3cccc(s2)c13,114 162 203 248 392 408 412 461 586 602 675 715 724 725 732 802 807 885 926 935 977 1017 1028 1039 1057 1060 1087 1088 1162 1181 1218 1259 1330 1380 1406 1480 1489 1520 1531 1633 1672 1750 1755 1828 1855 1873 1887 1984,C/C(=N\N1CCCC12CCN(C2)C(C)(C)C)/C3=C(SC4=C3C5=C(C=CC=C5S4)C=C4)/C(=N/N6CCCC7(C6)CCN(C7)C(C)(C)C)/C
20,CCCCCCCCCCCCn1c(=O)nc(NC(=O)CC)c2ccccc21,41 45 80 294 314 378 384 400 557 571 591 650 708 794 802 807 893 898 935 1057 1088 1108 1141 1143 1145 1152 1199 1239 1285 1357 1380 1444 1573 1620 1626 1750 1796 1816 1855 1873 1887 1911 1917,CCCCCCCCN1C2=CC=CC=C2C(=NC1=O)NC(=O)CC
21,COc1ccc(OC)c(C(=O)CCCOC(=O)c2ccc(C(C)=O)cc2)c1,13 80 94 145 147 235 249 322 329 606 617 650 670 695 718 777 781 787 807 841 875 1017 1057 1058 1071 1380 1385 1522 1536 1564 1592 1693 1697 1734 1750 1820 1873 1911 1917 1970 1972 1991,CC(=O)C1=CC=C(C=C1)C(=O)OCCCC(=O)C2=C(C=CC(=C2)OC)OC
22,O=c1c2ccccc2nc(N2CCCC2)n1CS(=O)(=O)c1ccccn1,24 80 107 197 267 289 314 350 378 389 407 448 450 501 504 643 650 680 789 802 926 935 1028 1083 1088 1097 1155 1174 1199 1357 1365 1380 1452 1476 1480 1573 1610 1696 1738 1750 1805 1855 1866 1873 1998,C1CCN(C1)C2=NC3=CC=CC=C3C(=O)N2CS(=O)(=O)C4=CC=CC=N4
23,CC1CN(Cc2ccccc2-c2nc3ccc2[nH]3)C1C,37 42 80 119 181 321 323 352 378 739 760 765 926 935 984 1007 1019 1020 1057 1076 1088 1114 1199 1224 1301 1309 1349 1380 1434 1479 1597 1745 1750 1765 1814 1855 1859 1873 1939 2002 2022,CC1CN(C1C)CC2=CC=CC=C2C3=C4C=CC5=C(N4)N=C6C(=C7C=CC=CC7=N6)N=C3N5
24,COc1ccc(S(=O)(=O)N(C)CCCOC(=O)c2ccc(Cl)cc2)cc1,13 80 145 147 213 216 319 322 350 561 606 650 695 715 718 781 807 815 816 831 841 881 1057 1070 1163 1380 1385 1476 1522 1536 1583 1592 1683 1697 1734 1750 1766 1873 1911 1917 1946 1951 1968 2027,CN(CCCOC(=O)C1=CC=C(C=C1)Cl)S(=O)(=O)C2=CC=C(C=C2)OC
25,O=C(CC(F)(F)F)Nc1cc(F)c(Cl)c(Cl)c1C(F)(F)F,41 80 114 213 363 561 650 675 689 699 807 809 875 945 984 1011 1061 1150 1152 1224 1246 1286 1365 1380 1453 1664 1683 1816 1840 1873 1878 1917 1928 1948,C1=C(C(=C(C(=C1F)C(F)(F)F)Cl)Cl)NC(=O)CC(F)(F)F
26,CC(C)(C)C(C)(C)CCn1c(=O)c2c3cccc2c2c4ccc(nc34)c21,37 64 80 114 231 233 248 308 314 346 378 392 504 650 802 915 935 961 1039 1057 1088 1097 1145 1184 1308 1357 1380 1384 1386 1440 1471 1494 1571 1573 1724 1733 1750 1761 1855 1873 1984 2007,CC(C)(C)C(C)(C)CCN1C2=C3C=CC=C4C3=C(C=CC2=NC1=O)N=C4C5=C6C(=CC=C5)C7=C8C(=NC9=C7C=C9)C=CC=C8C(=O)N6CCC(C)(C)C(C)(C)C
27,CCOc1c(N2CCCC2)nc(N2CCN3CCCC2C3)c2cc(F)ccc12,80 90 92 114 130 133 193 237 294 317 333 378 407 446 540 680 682 684 695 699 729 739 875 905 926 935 1019 1028 1057 1238 1310 1325 1357 1380 1410 1452 1472 1480 1487 1573 1628 1665 1670 1733 1750 1840 1855 1873 1910 1928 1993 1998,CCOC1=C(N=C(C2=C1C=CC(=C2)F)N3CCCC3)N4CCCC5C4CCCN5C6=CC=C(C=C6)F
28,CC1=NC=NN(N=c2c3cccc(Cl)c23)C(N2Cc3ccccc3N(C)C2=O)=N1,92 103 172 198 212 314 332 344 366 378 537 549 561 571 650 675 725 738 926 927 935 945 964 974 987 1039 1051 1057 1088 1145 1199 1211 1222 1236 1295 1332 1357 1380 1381 1442 1457 1462 1484 1573 1643 1647 1683 1708 1722 1750 1873 1946 1982 1984 2000 2012 2046,CC1=NC2=NC=NN2C3=NC(=O)N(C4=C3C(=CC=C4)N(C1)C5=CC=CC=C5Cl)C
29,COCOS(=O)(=O)c1c(C)ccc2c3ccc(c12)n1c(C)nnc31,22 45 80 91 186 350 378 486 548 650 695 771 823 841 917 935 1001 1005 1021 1029 1056 1057 1150 1164 1357 1380 1391 1472 1476 1599 1658 1691 1696 1722 1733 1750 1815 1832 1869 1873 1956 1984 2021 2044,CC1=C(C2=C(C=C1)C3=NN=C(N3C4=C2C=CC(=C4S(=O)(=O)OCOC)C)C)S(=O)(=O)OCOC
30,CC1CCN(C(C)c2cc3ccc2cc3)C(=O)N1,1 112 146 203 237 283 296 301 302 314 547 650 679 708 732 739 875 926 930 935 983 1019 1057 1085 1114 1309 1325 1380 1480 1606 1665 1750 1762 1845 1855 1873,CC1CCN(C(=O)N1)C(C)C2=CC3=C(C4=C2N(CC(N4)C)C(C)C5=CC(=C6C(=C5)C=CC(=O)N6)C(C)N7CCC(NC7=O)C)N(CC3)C(C)C
