id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,OCCCCN1CCCC1,80 222 422 473 541 646 653 740 743 774 807 810 893 926 935 997 1028 1145 1157 1220 1313 1322 1422 1480 1482 1616 1791 1836 1911 1998,C1CCN(C1)CCCCN2CCN(P2(=NCCCCN3CCCC3)N4CCCC4)CCCCN5CCN(CC5)CCO
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 73 80 140 165 212 216 218 281 322 352 353 378 456 545 561 609 650 674 676 790 807 816 843 866 875 881 889 907 980 1043 1059 1081 1086 1088 1131 1164 1171 1190 1334 1354 1367 1380 1384 1385 1443 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 1945 2018 2023 2031,C1=CC(=NN=C1)C2=C(C=CC(=C2)Cl)N(CN(C#N)N(CC(=O)N)C#N)C3=NN=CC=C3
3,Cc1cc[n+](C)cc1-c1ccccc1,106 222 263 350 352 389 391 440 463 482 522 673 691 736 766 1003 1057 1088 1149 1160 1199 1299 1380 1391 1493 1522 1530 1625 1674 1717 1722 1750 1758 1858 1860 1873 2002 2020 2025,CC1=C(C=[N+](C=C1)C)C2=C(C=[N+](C=C2)C)C3=C(C=[N+](C=C3)C)C4=C(C=[N+](C=C4)C)C5=CC=CC=C5
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 129 194 202 222 369 387 433 505 526 650 652 678 695 739 746 760 777 807 814 841 913 926 935 993 1009 1019 1028 1057 1152 1168 1267 1325 1402 1480 1564 1634 1703 1758 1911 1917 1923 1960 1968 1998 2009,COC(=O)N[C@H]1CCN(C1)C(=O)CCCCC(=O)N2CCC(C2)NNN3CCCCC3
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 261 263 314 317 319 322 350 359 398 414 440 486 502 534 535 562 575 627 650 658 662 664 680 694 695 707 718 723 727 781 798 807 835 841 843 875 882 899 926 935 960 965 993 1012 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1174 1182 1249 1306 1380 1386 1440 1452 1476 1480 1497 1499 1521 1536 1567 1606 1626 1651 1738 1750 1766 1816 1832 1873 1917 1971 1972 1978,CN1CCC(=C1/C=C/OC(=O)CNS(=O)(=O)C2=CC=CC(=C2)OC)C(=O)NC3=CC=C(C=C3)OCCN4CCCC4=O
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 47 76 80 102 122 212 283 294 305 307 366 430 441 460 561 591 650 667 674 721 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1262 1296 1380 1384 1676 1683 1714 1750 1873 1911 1917 1954 1972 1975 2011 2016 2018,CCCCNC(C)C(=O)N(CC)C1=C(C=C(C=C1)C#N)Cl
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 216 219 228 233 295 314 367 371 463 464 515 531 547 650 699 732 811 872 875 888 918 935 985 1010 1028 1044 1089 1101 1145 1380 1395 1422 1441 1446 1457 1480 1482 1539 1548 1565 1701 1726 1750 1755 1791 1795 1825 1840 1873 1874 1928 1998,C1CCN(C1)CCN2CCN(C2=O)[N+]3=C(C=CN3C4=CC(=C(C=C4)F)F)N5C=CC(=C5)N6C=CC(=C6)F
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 114 117 147 225 286 350 354 389 428 436 484 486 496 550 650 692 759 807 825 849 881 926 935 949 962 966 1019 1021 1057 1088 1092 1102 1152 1183 1199 1209 1257 1259 1325 1380 1385 1393 1398 1417 1423 1443 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1972 1985 2005 2011 2017,CS(=O)(=O)N1CC[C@@H]([C@H]1[C@H](CC(C2=CC=CC=C2)(F)F)NC(=O)C3=CC=CC=C3)O
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,48 80 193 197 210 255 285 290 314 322 374 389 410 486 504 562 636 638 650 695 793 805 807 813 868 875 903 926 935 972 1019 1066 1070 1088 1152 1199 1236 1317 1338 1380 1404 1489 1496 1531 1555 1573 1617 1670 1703 1750 1754 1820 1873 1887 1917 1938 1946 1991,C1C2=C(N(C(=O)N1OC(=O)NCC3=CC=CC=C3)OC4=CC=CC=C4)N5C(=O)C(=CC(=C5OC6=CC=CC=C6)C(=O)NCC7=CC=CC=C7)C(=O)N2
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 185 192 218 222 277 314 369 562 601 639 650 656 695 750 764 782 796 801 802 807 845 926 935 941 1019 1028 1049 1088 1103 1119 1126 1152 1159 1380 1417 1468 1480 1487 1500 1565 1717 1722 1748 1758 1766 1819 1917 1923 1950 1961 1982 1998 2009 2023,C1CCN(CC1)C(=O)NC(=O)O[C@@H]2[C@H]3CO[C@H]([C@@H]2OC(=O)NC(=O)N4CCCCC4)C(=O)O3
