id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,OCCCCN1CCCC1,51 80 222 422 473 541 594 646 653 740 743 765 774 807 810 893 926 935 997 1028 1100 1145 1157 1220 1313 1322 1422 1480 1482 1616 1791 1836 1911 1998,C1CCN(C1)CCCCN2CCN(P2(=NP3(=NP(=NP(=N3)(O)O)(O)O)N4CCCC4)N5CCCC5)CCO
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 59 73 80 140 165 184 212 216 218 281 322 352 353 378 456 545 561 609 650 674 676 678 790 807 816 843 866 869 875 881 889 894 907 934 980 1043 1059 1081 1086 1088 1131 1164 1171 1190 1327 1334 1354 1367 1380 1384 1385 1443 1493 1497 1546 1683 1750 1825 1838 1851 1866 1873 1898 1917 1945 2018 2023 2031,C1=CC(=NN=C1)C2=C(C=CC(=C2)Cl)N(CN(CN(C#N)C3=C(C=C(C=C3)Cl)C4=NN=CC=C4)C#N)C#N
3,Cc1cc[n+](C)cc1-c1ccccc1,101 106 222 238 263 307 349 350 352 389 391 440 463 482 522 548 673 691 730 736 766 812 1003 1022 1057 1088 1149 1160 1199 1299 1380 1391 1493 1522 1527 1530 1625 1643 1674 1717 1722 1750 1758 1858 1860 1873 1948 1954 2002 2018 2020 2025,CC1=C(C=[N+](C=C1)C)C2=CC=C(C=C2)[S+]3C=CC(=C3)C4=CC=CC=C4
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 129 194 202 222 348 369 387 433 505 526 650 652 678 695 739 742 746 760 777 807 814 841 853 910 913 926 935 993 1009 1019 1028 1057 1152 1168 1267 1325 1330 1348 1402 1480 1541 1564 1634 1703 1758 1798 1911 1917 1923 1951 1960 1968 1998 2009,COC(=O)NC1CCN(C1)C(=O)CCCCC(=O)N2CCC(C2)NON3CCCCC3
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 240 261 263 314 317 319 322 350 359 398 414 440 486 502 534 535 562 575 627 650 658 662 664 680 694 695 707 718 723 727 781 798 807 835 841 855 875 882 899 926 935 960 965 993 1012 1028 1034 1039 1057 1077 1088 1089 1099 1123 1133 1138 1145 1152 1174 1182 1249 1306 1380 1386 1440 1452 1476 1478 1480 1497 1499 1521 1536 1567 1606 1626 1651 1677 1738 1747 1750 1766 1816 1832 1873 1917 1935 1971 1972 1978,COC1=CC(=CC=C1)S(=O)(=O)NCC(=O)O/C=C/C2=C(C=C(N=C2)C(=O)NC3=CC=C(C=C3)OCCN4CCCC4=O)S(=O)(=O)CCN5CCCC5=O
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 47 76 80 102 122 212 283 294 305 307 366 430 441 460 561 591 650 667 669 674 721 782 783 790 794 807 812 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1262 1296 1347 1380 1384 1676 1683 1712 1714 1750 1873 1911 1917 1954 1972 1975 2011 2016 2018,B1(C=C1)C#CC2=CC(=C(C=C2)N(CC)C(=O)C(C)NCCCC)Cl
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 161 216 219 228 233 260 295 314 350 367 371 419 463 464 477 478 515 531 547 650 699 732 811 872 875 878 888 918 935 985 990 1010 1028 1044 1089 1101 1145 1205 1234 1380 1395 1422 1441 1446 1457 1480 1482 1524 1539 1548 1565 1701 1726 1737 1750 1755 1791 1795 1825 1840 1873 1874 1892 1909 1928 1998,C1CCN(C1)CCN2CCN(C2=O)[N+]3=CN(C=C3)C4=CN5C(=C4)C=CN(C5=O)C6=CC(=C(C=C6)F)F
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 106 114 117 147 225 286 350 354 389 428 436 484 486 496 515 550 650 692 759 781 807 825 849 881 926 935 949 953 962 966 1019 1021 1057 1088 1092 1102 1152 1153 1183 1199 1209 1257 1259 1276 1307 1325 1380 1385 1393 1398 1417 1423 1443 1453 1476 1480 1568 1642 1665 1742 1750 1782 1873 1917 1928 1972 1985 2005 2011 2017,[3H]C(N(C(CC(C1=CC=CC=C1)(F)F)NC(=O)C2=CC=CC=C2)S(=O)(=O)C)N(C(C(C3=CC=CC=C3)(F)F)(F)F)N4CCC(C4S(=O)(=O)C)O
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,27 48 80 193 197 210 255 285 290 314 322 341 374 389 410 486 504 505 562 636 638 650 695 793 805 807 813 868 875 903 926 935 937 972 1019 1066 1070 1088 1152 1192 1199 1212 1236 1317 1338 1362 1380 1404 1489 1496 1531 1555 1573 1617 1670 1684 1703 1750 1754 1820 1851 1873 1887 1910 1917 1938 1946 1991 2011,C1C2=C(N(N3N1C(=O)N(C3=O)OC4=CC=CC=C4)OC(=O)NCC5=CC=CC=C5)N(C(=O)C(=C2)C(=O)NCC6=CC=CC=C6)OC7=CC=CC=C7
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 16 84 171 185 192 218 222 277 314 369 435 562 601 639 650 656 695 750 764 782 796 801 802 807 835 845 926 935 941 1019 1028 1049 1088 1103 1105 1119 1126 1152 1159 1280 1338 1380 1417 1468 1480 1487 1500 1565 1717 1722 1748 1754 1758 1766 1819 1917 1923 1950 1961 1982 1998 2009 2023,C1CCN(CC1)C(=O)N/C(=C\2/C=C([C@H]3OC[C@H]([C@H]2OC(=O)NC(=O)N4CCCCC4)OC3=O)C)/[C@H]5[C@@H]([C@H]6[C@H](CO5)OC(=O)[C@H](O6)O7)OC(=O)N8CCCCC8
11,c1ccc(-c2ccnc(NC3CCC4CCC3C4)n2)cc1,44 78 122 130 155 199 233 276 300 378 380 388 389 585 639 712 719 736 787 874 926 980 1019 1045 1085 1088 1152 1158 1160 1199 1292 1294 1325 1380 1403 1423 1446 1452 1500 1568 1582 1589 1671 1725 1750 1786 1819 1855 1866 1873 1952 1964 1971 2036 2047,C1CC2CC1CCC2NC3=NC=CC(=N3)C4=CC=C(C=C4)C5=NC(=NC=C5)NC6CC7CCC6C7
12,CN1C(=O)C2=CC=C(Br)CC(CC2)C1=O,5 18 34 61 118 231 283 296 312 314 358 368 406 425 456 499 500 650 674 690 693 728 762 798 879 926 935 936 987 992 1019 1023 1036 1057 1145 1148 1213 1249 1299 1300 1325 1380 1528 1535 1631 1737 1738 1764 1873 1925 1953 1963 1995 2000 2014 2026,CN1C(=O)CC(C1=O)[N+](=C=C2CCC(=CC=C2Br)Br)N3C(=O)C(=O)N(N3C#CN4C(=O)CC5C4=CC=C(CC5)Br)C
13,CC(=O)Nc1ccc(N(C)C(=O)c2ccccc2)c(Nc2ccccc2O)n1,6 17 37 46 54 174 245 378 389 491 558 587 650 708 807 811 843 849 873 881 917 967 1017 1057 1088 1099 1129 1152 1163 1199 1201 1220 1224 1367 1380 1385 1415 1493 1600 1602 1607 1653 1664 1696 1712 1726 1750 1758 1801 1816 1818 1831 1852 1855 1873 1905 1917 1919 1929 1930 1982 1985 2014 2018 2029,CC(=O)NC1=NC(=C(C=C1)N(C)/C(=C/2\C=CC(=N2)NC3=CC=CC=C3O)/C4=CC=CC=C4)NC5=CC=CC=C5O
14,Nc1cccc2c(=O)n(CCCCCCN3CCCCC3)ncc12,2 43 65 80 90 100 138 158 168 221 261 275 293 313 314 378 428 464 494 504 527 543 557 650 653 682 804 813 817 825 879 893 910 926 935 994 1012 1028 1039 1088 1109 1111 1143 1145 1171 1192 1235 1357 1367 1380 1422 1457 1480 1482 1492 1516 1535 1573 1646 1739 1750 1764 1791 1806 1873 1891 1911 1922 1927 1952 1998 2016,C1CCN(CC1)CCCCCCN2C=C(C=N2)N3C(=C(C4=C(C3=O)C=CC=C4N)N)N5C(=O)C6=CC=CC7=C6C=NN(C7=O)CCN8CCCCC8
15,O=C(NCCc1cc2ccc1cc2)N1CCN(CCN2CCCC2)C1=O,15 80 92 197 198 203 218 260 295 302 308 358 371 384 389 482 640 650 667 772 807 809 821 825 828 875 926 935 961 1028 1078 1089 1112 1145 1152 1159 1226 1243 1328 1349 1380 1387 1422 1441 1480 1482 1516 1538 1548 1635 1744 1750 1762 1772 1791 1845 1855 1873 1886 1917 1952 1987 1998 2008,C1CCN(C1)CCN2CCN(C2=O)C(=O)NCCC3=C(C=C4C=CC(=C(O)O)C=C4C3)CCNC(=O)N5CCN(C5=O)CCN6CCCC6
16,O=C(c1cccc(Cl)c1)N1CCCC(c2cccs2)CC1,14 165 177 216 239 241 259 369 383 418 446 470 497 561 592 618 649 650 652 660 675 677 699 709 738 740 800 802 807 815 837 875 894 926 935 942 1019 1028 1039 1088 1175 1190 1215 1249 1276 1325 1380 1385 1413 1480 1504 1552 1567 1683 1735 1750 1858 1873 1892 1911 1917 1943 1985 2000 2009,C1CC(CCN(C1)C(=O)C2=CC(=CC=C2)Cl)C3=CC=C4C(N3Cl)CCN(N4C(=O)C5=CC(=CC=C5)Cl)C(=O)C6=CC(=CC=C6)Cl
17,CC(=CCCn1c(C)nc2ccccc2c1=O)c1ccc(C)cc1,47 57 65 80 107 235 272 278 289 314 378 389 401 479 485 504 568 623 650 652 654 694 802 807 935 958 1017 1029 1057 1076 1088 1097 1124 1145 1158 1199 1345 1357 1380 1385 1429 1433 1459 1492 1519 1573 1691 1696 1697 1722 1750 1784 1823 1855 1873 1920 1932 1975,CC1=CC=C(C=C1)/C(=C/CCN2C(=N)N=C3C4=CC=CC=C4C(=O)N(C3=NC2=N)O)/C
18,CC(=O)OCC(=O)NCCCN(CCN1C(=O)C2=Nc3nc2c(s3)C1=O)c1ccc(C)cc1,41 45 80 121 147 155 162 197 214 219 235 314 323 373 378 473 493 539 579 588 597 602 624 647 650 667 675 688 695 702 724 778 789 807 846 863 879 881 885 927 935 977 1017 1035 1057 1060 1077 1096 1145 1152 1232 1326 1380 1392 1460 1487 1499 1508 1528 1610 1632 1662 1687 1722 1750 1783 1823 1855 1873 1876 1878 1911 1917 1920 1951 1977 2004 2041,CC1=CC=C(C=C1)P(C2=NC3=C(S2)C(=O)N(C(=O)C3=NC(=O)N(CCCNC(=O)COC(=O)C)CCNC(=O)COC(=O)C)CCNC(=O)COC(=O)C)C4=CC=C(C=C4)C
19,Cn1c(=O)[nH]c(=O)c2ccc3c(c2)c2ccc(c1c2)C(O)=C3,45 84 129 139 197 203 264 265 305 314 352 365 496 557 564 650 680 750 758 781 798 807 836 875 935 955 992 1057 1100 1114 1145 1196 1259 1267 1298 1357 1358 1359 1362 1380 1443 1448 1469 1527 1602 1632 1668 1715 1745 1750 1766 1785 1848 1855 1873 1914 1981 2025,CN1C2=CC3=C(C=C2C(=O)NC1=O)N(C(=O)N3C)C4=C5C=C6C(=CC=C7C6=CC(=CC=C7C8=CC(=C(NC8=O)O)O)O)N(C5=CC4=O)C
20,CC(C)(C)OC1OC2C3CCC(C)(C)C3C3C2OC1C3(C)C,21 31 114 152 179 205 214 221 273 392 422 460 497 536 549 559 564 573 622 656 695 831 844 882 926 946 1009 1019 1035 1044 1057 1060 1084 1158 1162 1184 1232 1239 1240 1274 1323 1325 1373 1391 1406 1423 1435 1474 1493 1505 1545 1552 1713 1779 1823 1859 1871 1896 1921,C[C@@]12CC[C@@H]3[C@H]1[C@@H]4[C@H](O[C@H]3C([C@H]2OC(C)(C)C)(C)C)[C@]56CCC([C@@H]5[C@H]7[C@H](O7)[C@@H]8[C@H](O6)C([C@H]9[C@H](O8)[C@H]1[C@H](CCC9(C)C)[C@H](O1)OC(C)(C)C)(C)C)(C)C
21,COc1ccccc1-c1cc(NC(=O)N2CCCC2)ccc1C,90 114 140 184 191 203 218 249 288 295 335 336 352 369 385 617 635 650 692 695 710 792 807 841 843 854 875 926 935 953 984 1028 1057 1062 1088 1152 1199 1226 1380 1381 1391 1399 1410 1468 1480 1485 1530 1536 1691 1722 1750 1777 1797 1816 1873 1917 1970 1998 2009,CC1=C(C=C(C=C1)NC(=O)N2CCCC2)C3=C(C=C(C=C3)NC(=O)N4CCCC4)C(C(=O)N5CCCC5)(C(=O)OC)N6CCCC6
22,O=C(c1ccccc1)c1ccc(CCCCCCCC(=O)N2CCCCC2)cc1,2 9 50 80 105 121 310 328 369 389 429 447 526 535 540 542 548 576 621 650 700 760 791 807 926 935 943 978 996 1009 1028 1045 1088 1116 1143 1167 1184 1199 1205 1243 1267 1298 1332 1380 1385 1426 1431 1449 1480 1532 1564 1697 1750 1754 1775 1815 1825 1838 1873 1911 1917 1948 1985 1998 1999 2009 2028 2035,C1CCN(CC1)C(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCC2=C=C=C(C=C2)C(=C3C=CC(=C(O)O)C=C3)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5
23,C=CC=C(Br)C(=O)N1C(=O)NC(=O)C(O)C1CC,24 80 127 153 164 190 191 199 256 294 300 314 370 379 634 650 666 694 728 750 784 807 849 935 1019 1022 1034 1057 1060 1077 1095 1110 1114 1126 1190 1254 1257 1319 1355 1366 1380 1397 1435 1454 1491 1524 1535 1642 1645 1679 1834 1847 1917 1929,CCC1C(C(=O)NC(=O)N1C(=O)C(=C)Br)C(=O)N2C(C(C(=O)NC2=CC=C)O)CC
24,CN(CCN(c1ccccc1)S(=O)(=O)c1ccccc1)c1nn2c(nc3ccccc32)s1,45 64 66 80 126 162 254 288 289 317 319 350 357 378 389 412 460 483 531 552 565 575 635 650 657 675 804 815 881 924 935 958 964 1009 1026 1051 1057 1088 1096 1097 1101 1141 1163 1199 1260 1267 1285 1333 1352 1380 1438 1446 1452 1462 1476 1595 1684 1714 1750 1819 1855 1860 1872 1873 1917 1946 1956 2021 2024 2045,CN(CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2)C3=NN4C5=CC=CC=C5N=C4S3
25,Cc1ccc(C(=O)Nc2cccc(C#N)c2)cc1,22 100 102 154 184 191 235 286 305 486 650 674 703 790 807 861 875 1032 1039 1057 1088 1136 1152 1255 1272 1347 1380 1384 1385 1484 1557 1665 1680 1697 1721 1722 1734 1750 1795 1816 1823 1873 1882 1902 1917 1920 1975 1978 1989,CC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C#CNC(=O)NNC3=CC=C(C=C3)C(=O)NC4=CC=CC(=C4)C#N
26,CCn1c(=O)nc(C)ncc2ccccc2c(=O)[nH]c1=O,3 34 45 80 103 150 183 294 314 378 384 436 456 501 571 647 650 726 747 750 758 762 770 771 802 840 850 890 935 1043 1057 1066 1067 1087 1088 1114 1126 1133 1199 1316 1357 1380 1389 1452 1469 1535 1573 1599 1636 1677 1722 1730 1745 1750 1777 1816 1851 1855 1873 1887 1961 2026,CCN1C2=C(NC(=O)N(C1=O)CC)[N+](N3C(=N2)N=C4C=CC=CC4=NC3=O)(C)C5=CC=CC6=CC=CC=C65
27,Cc1cccc(S(=O)(=O)NC(=O)N2C(=O)N(C)C=Cc3ccccc32)c1,49 55 92 94 126 198 218 307 314 319 331 350 362 461 502 547 575 650 687 750 800 807 844 873 875 921 935 968 1013 1031 1039 1055 1057 1059 1088 1145 1150 1152 1184 1199 1242 1256 1295 1348 1380 1448 1476 1519 1582 1647 1722 1750 1758 1805 1823 1824 1840 1873 1917 1920 1987,CC1=CC(=CC=C1)S(=O)(=O)NC(=O)N2C3=CC=CC=C3C=CN(C2=O)C(=O)N4C5=CC=CC=C5C=CN(C4=O)C
28,COc1ccccc1C(=O)N(C(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,14 114 191 193 235 249 337 389 392 404 426 532 587 650 660 684 695 709 736 760 807 841 881 896 953 976 1001 1006 1057 1072 1088 1160 1199 1221 1239 1380 1385 1410 1447 1521 1536 1682 1723 1750 1784 1791 1873 1917 1964 1970 1991,[B-](N(C(=O)C1=CC=CC=C1OC)C(C)(C)C)(N(C(=O)C2=CC=C(C=C2)C3=CC=CC=C3)C(C)(C)C)(N(C(=O)C4=CC=CC=C4)C(C)(C)C)O
29,O=C(CN1CCCCC1)OCCOC(=O)c1ccccc1,2 13 80 145 147 160 234 274 277 345 389 450 457 500 544 606 642 649 650 695 709 761 795 807 821 857 926 928 935 953 1028 1034 1088 1154 1199 1219 1240 1243 1312 1380 1385 1386 1400 1422 1479 1480 1522 1523 1592 1612 1625 1645 1702 1750 1801 1873 1881 1889 1917 1918 1930 1985 1998,C1CCN(CC1)N2CN(CN2CC(=O)OCCOC(=O)C3=CC=CC=C3)CN4CCCCC4=C5N(CCCCC5)CC(=O)OCCOC(=O)C6=CC=CC=C6
30,CC(=O)Nc1ccc(C=C2c3ccccc3N=CN2C(=O)N2CCCC2)cc1,12 25 139 191 245 281 352 355 369 378 440 463 500 529 530 552 650 653 659 694 807 843 849 926 935 944 984 1017 1028 1057 1077 1088 1152 1199 1203 1237 1258 1280 1301 1380 1469 1480 1481 1514 1555 1665 1729 1750 1764 1770 1773 1816 1873 1882 1895 1900 1917 1932 1940 1943 1980 1998 2009 2033 2038 2041,CC(=O)NC1=CC=C(C=C1)/C=C\2/C3=CC=CC=C3N=CN2C(=O)N4CCCC4
