id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 94 114 118 283 351 392 404 486 644 655 658 695 807 875 1005 1057 1153 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1873 1911 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OCC(C)[Si]CCCOC
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 114 136 561 1050 1453 1928,C(C(C(C(F)(F)F)F)(F)F)(C(C(F)(F)F)F)C(C(C(F)(F)F)F)(C(F)(F)F)F
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,14 80 145 196 237 325 330 383 573 606 610 650 656 675 807 841 881 890 960 1019 1057 1088 1096 1102 1152 1199 1238 1259 1325 1380 1385 1391 1567 1634 1661 1697 1715 1722 1750 1802 1917 1985 1999,CC1=CC=CC=C1C(C(=O)NC)N(C2=CC=C(C=C2)C(=O)OC)C(=O)CC3=CC=CS3
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 145 147 162 191 216 219 233 235 294 314 555 606 622 650 670 675 695 759 802 807 816 843 901 924 926 935 994 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1443 1453 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1823 1825 1920 1935,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1089 1137 1152 1153 1155 1199 1344 1349 1380 1452 1597 1683 1750 1819 1866 1873 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,324 347 366 378 456 491 561 563 650 708 807 875 1039 1087 1088 1104 1138 1152 1207 1224 1357 1380 1385 1452 1535 1573 1683 1696 1750 1768 1855 1917 1990 2008,C1=CC2=C(C=CC=C2NC3=C(C=C(C=N3)C(=O)O)Cl)C(=C1)Cl
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,319 350 389 575 650 694 695 725 835 841 878 940 977 1088 1115 1199 1353 1380 1390 1422 1476 1624 1723 1750 1857 1858 1873 2033,C1=CC=C(C=C1)/C=C/C(=N/OC)/S(=O)(=O)C2=CC=CC=C2
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 112 314 650 1680 1750 1873 1944 1963 2029,C1=CC(=O)C2=C1C(=O)C=C2
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,80 248 314 319 378 507 534 569 584 650 684 724 875 881 910 926 939 1000 1064 1101 1114 1163 1184 1236 1380 1398 1457 1542 1575 1665 1689 1722 1738 1982 2018,C1CC2=CC(=C(C=C2NC1=O)N(C)CC3=NOC(=C3)N(C)CC4=NOC(=C4)N(C)CC5=NOC(=C5)N(C)CC6=NOC(=C6)CCC(=O)N7)N(C)CC8=O
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 29 45 75 80 118 223 227 313 328 463 522 564 582 597 598 673 687 695 870 914 923 926 971 983 1057 1088 1136 1199 1285 1325 1455 1475 1605 1750 1873 1971 1992 2038,C[N+]1=CN(C2=CC=CC=C21)COCC(COCC3CCC=CC3)O
11,C C C C 1 = C ( C ( = C ( C ( = C 1 C C C ) O ) O ) [N+] ( = O ) [O-] ) C C C,39 80 81 202 294 599 612 650 753 794 807 838 873 1057 1195 1243 1380 1602 1626 1726 1781 1888 2037,CCCC1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-]
12,C C 1 = C C ( = C ( C ( = C 1 ) Cl ) O C C O C 2 = C C = C ( C = C 2 ) C C ( C N ) C ( = O ) N 3 C C C C 4 = C 3 C = C C ( = C 4 ) F ) Cl,1 13 78 79 80 108 258 265 322 366 377 537 556 676 695 699 718 807 857 875 909 935 981 1028 1034 1057 1171 1236 1295 1352 1380 1384 1387 1410 1438 1452 1480 1487 1670 1683 1738 1750 1754 1823 1873 1877 1909 1915 1917 1928 1953 2045,CC1=CC(=CC(=C1)OCCOC2=CC=C(C=C2)CC(CN)C(=O)N3CCCC4=C3C=CC(=C4)F)CC(CN)C(=O)N5CCCC6=C5C=CC(=C6)F
13,C [C@H] ( C ( = O ) N C 1 = C C = C C = C 1 ) O C ( = O ) / C = C / C 2 = C C = C C = C 2 Br,1 31 57 69 191 283 441 472 573 650 694 728 807 833 835 961 1055 1057 1073 1088 1117 1144 1152 1269 1358 1380 1631 1750 1873,C[C@H](C(=O)NBr)OC(=O)/C=C/C1=CC=CC=C1Br
