id,SMILES_input,fingerprints_input_ECFP4,SMILES_out,SMILES_output_ECFP4
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 80 94 114 118 227 283 351 392 404 422 444 486 644 646 655 658 695 740 743 774 807 810 841 875 997 1005 1057 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1616 1663 1665 1722 1724 1750 1836 1873 1911 1970 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OC[C@@H](C[NH2+]CCCOC)O,CC1=C(C=CC(=C1)C(C)(C)C)OC[C@@H](C[NH2+]CCCOC)O
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 114 136 218 322 456 545 561 676 1050 1059 1081 1086 1131 1354 1385 1434 1443 1453 1928 1945 2023 2031 2039,C(C(C(C(C(C(F)(F)F)F)(F)F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)F)F)F,C(C(C(C(C(C(F)(F)F)F)(F)F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)F)F)F
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,1 14 80 106 145 196 237 241 325 330 383 387 391 428 440 522 573 581 606 610 626 650 656 675 695 766 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1149 1152 1199 1238 1256 1259 1325 1380 1385 1391 1493 1522 1567 1608 1625 1634 1655 1661 1674 1697 1715 1722 1750 1758 1790 1802 1858 1873 1917 1985 1999 2002 2020 2025,CC1=CC=CC=C1C(C(=O)NC2CCCC2)N(C3=CC=C(C=C3)C(=O)OC)C(=O)CC4=CC=CS4,CC1=CC=CC=C1C(C(=O)NC2CCCC2)N(C3=CC=C(C=C3)C(=O)OC)C(=O)CC4=CC=CS4
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 129 145 147 162 191 202 216 219 222 233 235 294 314 382 461 505 555 561 606 620 622 650 670 675 695 746 759 777 802 807 816 843 854 901 913 924 926 935 993 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1402 1443 1453 1457 1464 1522 1683 1686 1697 1703 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935 1960 1968,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 295 311 314 366 378 398 440 448 534 561 650 667 689 723 724 739 775 798 807 828 882 899 926 935 960 965 974 1012 1019 1028 1088 1089 1137 1152 1153 1155 1174 1199 1243 1306 1344 1349 1380 1452 1499 1521 1597 1598 1606 1651 1683 1750 1765 1819 1866 1873 1917 1971 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,47 122 324 347 366 378 389 430 441 456 491 540 561 563 650 708 721 807 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1262 1296 1357 1380 1385 1452 1535 1573 1676 1683 1696 1714 1750 1768 1855 1873 1905 1917 1972 1990 2008 2011,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=NC(=C(C=N4)Cl)NC5=CC=CC6=CC=CC=C65,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=NC(=C(C=N4)Cl)NC5=CC=CC6=CC=CC=C65
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 228 319 350 367 389 463 515 575 650 694 695 725 761 835 837 841 878 888 918 940 977 989 1010 1044 1057 1088 1115 1199 1308 1353 1380 1390 1422 1446 1476 1565 1624 1723 1726 1750 1795 1857 1858 1873 2033,CO/N=C/C(/C(=C/C(/C=C/C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2)/C(/C=N/OC)S(=O)(=O)C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4,CO/N=C/C(/C(=C/C(/C=C/C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2)/C(/C=N/OC)S(=O)(=O)C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 112 225 286 314 436 484 550 650 935 949 1021 1209 1259 1380 1393 1398 1443 1680 1750 1873 1944 1963 1972 2029,C1=CC2=C3C=CC(=O)C(=[N+]([N-]3)C4=CC=C(C=C4)C5=C6C=CC(=O)C(=C7C=CC(=O)C(=C2C=CC1=O)[N-]7)C=C6)C=C5,C1=CC2=C3C=CC(=O)C(=[N+]([N-]3)C4=CC=C(C=C4)C5=C6C=CC(=O)C(=C7C=CC(=O)C(=C2C=CC1=O)[N-]7)C=C6)C=C5
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,80 210 248 285 290 314 319 378 410 507 534 569 584 636 650 656 684 724 793 868 875 881 910 926 939 972 988 1000 1019 1057 1060 1064 1070 1101 1114 1163 1171 1184 1236 1338 1380 1398 1404 1457 1531 1542 1557 1575 1646 1665 1689 1703 1722 1738 1742 1873 1938 1982 1997 2018,CC1=CC(=NO1)CN(C)C2C3(O2)C(O3)N(C)C4=C(C=C5CCC(=O)NC5=C4)N,CC1=CC(=NO1)CN(C)C2C3(O2)C(O3)N(C)C4=C(C=C5CCC(=O)NC5=C4)N
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 29 45 75 80 118 185 192 223 227 277 313 328 329 343 463 522 564 582 597 598 601 673 687 695 796 801 807 870 914 923 926 935 971 983 1019 1057 1088 1103 1128 1136 1147 1159 1199 1285 1325 1380 1417 1427 1455 1475 1487 1500 1605 1717 1750 1766 1873 1922 1961 1971 1992 2023 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CCC=CC3)O,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CCC=CC3)O
