id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4
1,CCCC1=NN=C(C=C1)C2CCC(CC2)C(C=O)C3CCC(CC3)CCCCl,1 29 80 114 160 294 378 380 472 508 650 694 712 724 794 832 926 980 1004 1019 1057 1073 1109 1148 1164 1182 1212 1243 1317 1325 1380 1423 1452 1456 1468 1535 1636 1669 1671 1683 1726 1750 1813 1873 1911 1953 1978 2000,CCCC1=NN=C(C=C1)C2CCC(CC2)C(C=O)C3CCC(CC3)CCCCl
2,CC1=C(C(OC2=C1C=C(C=C2)O)C3=CC=C(C=C3)OC[C@H](C)N4CC[C@H](C4)CF)C5=CC=C(C=C5)C#N,1 29 34 38 80 102 118 245 249 283 305 322 352 381 567 629 656 661 674 695 718 738 739 745 750 790 800 807 875 896 926 935 1019 1035 1057 1093 1136 1160 1205 1209 1239 1265 1279 1308 1313 1325 1329 1364 1380 1384 1445 1452 1468 1480 1582 1602 1709 1722 1750 1803 1833 1873 1905 1922 1928 1934 1948 1954 1957,c1(ccc2c(c1)C(=C(C(O2)c1ccc(cc1)C#N)c1ccc(cc1)OC[C@H](N1CC(CC1)CF)C)C)O
3,CC(C)C1CCNC(=O)C1C(C)C,1 81 208 253 283 305 314 650 707 764 926 1019 1034 1057 1104 1114 1325 1351 1372 1380 1394 1461 1866 2008,CC(C)C1CCNC(=O)C1C(C)C2CCNC2=O
4,CSC1=NN(C=C1/C(=N\OC(=O)NC2=CC=CC=C2)/N)C3=CC=CC=C3,32 61 116 140 177 191 378 389 394 431 464 591 650 695 703 725 807 935 971 1049 1057 1077 1088 1152 1171 1199 1349 1378 1380 1455 1501 1656 1723 1750 1758 1816 1825 1843 1846 1868 1873 1917 1956 1991 1996 2014,CSC1=NN(C=C1/C(=N/OC(=O)NC2=CC=CC=C2)/N)C3=CC=CC=C3
5,CCC1=C(C(=NC(=N1)CC2=CC=CC=C2Br)CC)CCN,57 80 129 294 378 394 398 728 833 858 883 892 981 1057 1074 1088 1168 1171 1199 1228 1243 1349 1380 1430 1597 1631 1636 1750 1799 1840 1855 1873 1897 2034,CCC1=C(C(=NC(=N1)CC2=CC=CC=C2Br)CC)CCN
6,CN1C2=C(CN(CCC2)S(=O)(=O)CCCC=C)C=N1,31 43 60 80 192 267 350 378 401 481 539 585 650 694 890 926 935 940 1027 1028 1057 1064 1105 1138 1145 1236 1278 1366 1380 1422 1442 1476 1480 1535 1586 1645 1667 1738 1873 1911 1946 1948 1951 1971,CN1C2=C(CN(CCC2)S(=O)(=O)CCCC=C)C=N1
7,CN(CCCCCO)CCN1C=C(C=CC1=O)N,80 171 222 314 380 464 473 541 552 607 650 677 807 881 888 925 935 1057 1130 1141 1143 1145 1163 1168 1171 1236 1330 1380 1455 1457 1530 1669 1750 1791 1873 1911 1951,CN(CCCCCCO)CCN1C=C(C=CC1=O)N
8,CCC1=CC=C(S1)C(C)NCCN2C=CN=C2,1 80 162 283 287 294 306 378 494 504 656 667 675 747 782 843 932 935 1057 1064 1081 1101 1145 1152 1176 1219 1237 1373 1380 1402 1463 1603 1627 1654 1742 1750 1799 1804 1866 1873,CCC1=CC=C(S1)C(C)NCCN2C=CN=C2
9,CCN1C=C(C(=O)N(C1=O)CC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC)C#N,34 41 80 94 199 249 294 314 319 350 361 366 443 464 479 504 523 585 650 656 674 695 715 757 760 771 790 800 802 807 841 871 875 926 935 950 1002 1057 1058 1136 1152 1224 1284 1312 1380 1384 1405 1441 1453 1455 1476 1480 1536 1661 1729 1750 1816 1817 1853 1862 1873 1917 1948 1970 2030,CCN1C=C(C(=O)N(C1=O)CC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC)C#N
10,CN1CCC(C1)COC2=C(C=C(C=C2)C(=O)Cl)C#N,29 80 94 194 207 335 361 375 543 650 674 695 739 790 800 807 841 875 926 935 993 1019 1057 1136 1145 1292 1325 1380 1384 1385 1449 1452 1480 1621 1683 1697 1746 1750 1862 1873 1917 1930 1941 1970,CN1CCC(C1)COC2=C(C=C(C=C2)C(=O)Cl)C#N
