id,SMILES_input
1,O=C(NCCCCc1nc(-c2ccccn2)cs1)[C@@H]1COCCO1
2,O=C(NCCCCn1cnc([N+](=O)[O-])n1)c1ccc(OC(F)(F)F)cc1
3,O=C(O)C(=O)CC1CCCCC1
4,CC(C)c1ccc([N+](=O)[O-])c(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O
5,CC(=O)N1CCc2cc(S(=O)(=O)CCC(=O)N3CCN(c4cccc(C)c4C)CC3)ccc21
6,OCCCN=C(O)NC12CC3CC(CC(C3)C1)C2
7,CC(C)(C)c1ccc(S(=O)(=O)NCCCc2c[nH]cn2)cc1
8,COc1ccc(C2CNC(=O)N2C)cc1OC1CC2CCC(C2)C1
9,CCOc1ccccc1-c1nc(-c2cc(C)n(-c3c(C)n(C)n(-c4ccccc4)c3=O)c2C)cs1
10,COc1ccc(CN2CCN(C(=O)Cn3nc(C)n4cccc4c3=O)CC2)c(OC)c1OC
11,O=S(=O)(NCCc1ccncc1)c1cc(Br)ccc1F
12,C=C(C)C1CC2C3CCC(C3)C(CO)C2C1
13,CCCc1cc(Oc2ccccc2)ccc1OCCc1cc2cc(CC(=O)O)ccc2[nH]1
14,NS(=O)(=O)c1nonc1Oc1ccccc1
15,CCN1CCCC1CN
16,CCCc1nc2c(Cl)cccc2n1Cc1ccc(-c2ccccc2C(N)=O)cc1
17,NCCNCCC(O)=O
18,COCCOCCOc1ccc(/C=N/NC(N)=S)cc1
19,CC1(C)OC(c2ccccc2)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21
20,COc1ccccc1-c1cccc(S(=O)(=O)c2cc(C(=N)N)sc2SC)c1
21,Cc1nn(C)cc1CNC(=O)C[C@@H](c1cccc(O)c1)c1ccccc1Cl
22,CO/N=C(\c1ccccc1/C=N/OC(C)c1ccc(OC(F)(F)F)cc1)c1nccn1C
23,CCCCC1=NC(C)(C2CCCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2noc(O)n2)cc1
