id,SMILES_input
1,OCCCCN1CCCC1
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1
3,Cc1cc[n+](C)cc1-c1ccccc1
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2
11,c1ccc(-c2ccnc(NC3CCC4CCC3C4)n2)cc1
12,CN1C(=O)C2=CC=C(Br)CC(CC2)C1=O
13,CC(=O)Nc1ccc(N(C)C(=O)c2ccccc2)c(Nc2ccccc2O)n1
14,Nc1cccc2c(=O)n(CCCCCCN3CCCCC3)ncc12
15,O=C(NCCc1cc2ccc1cc2)N1CCN(CCN2CCCC2)C1=O
16,O=C(c1cccc(Cl)c1)N1CCCC(c2cccs2)CC1
17,CC(=CCCn1c(C)nc2ccccc2c1=O)c1ccc(C)cc1
18,CC(=O)OCC(=O)NCCCN(CCN1C(=O)C2=Nc3nc2c(s3)C1=O)c1ccc(C)cc1
19,Cn1c(=O)[nH]c(=O)c2ccc3c(c2)c2ccc(c1c2)C(O)=C3
20,CC(C)(C)OC1OC2C3CCC(C)(C)C3C3C2OC1C3(C)C
21,COc1ccccc1-c1cc(NC(=O)N2CCCC2)ccc1C
22,O=C(c1ccccc1)c1ccc(CCCCCCCC(=O)N2CCCCC2)cc1
23,C=CC=C(Br)C(=O)N1C(=O)NC(=O)C(O)C1CC
24,CN(CCN(c1ccccc1)S(=O)(=O)c1ccccc1)c1nn2c(nc3ccccc32)s1
25,Cc1ccc(C(=O)Nc2cccc(C#N)c2)cc1
26,CCn1c(=O)nc(C)ncc2ccccc2c(=O)[nH]c1=O
27,Cc1cccc(S(=O)(=O)NC(=O)N2C(=O)N(C)C=Cc3ccccc32)c1
28,COc1ccccc1C(=O)N(C(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C
29,O=C(CN1CCCCC1)OCCOC(=O)c1ccccc1
30,CC(=O)Nc1ccc(C=C2c3ccccc3N=CN2C(=O)N2CCCC2)cc1
31,CN(Cc1ccc(C(=O)c2cccc3ccccc23)c([N+](=O)c2ccccc2)c1)C(=O)c1cccc2ccccc12
32,COc1cc(C=C2C=CC(=O)c3ccc([N+](=O)[O-])cc32)c2ccccc2c1
33,CC(=O)OC1(C(C)(C)C(=O)OCCOC(=O)c2cc(F)cc(F)c2)CCCCC1
34,C1=CN2CCN(CCCCCCN3c4cccnc43)CCOC1=CC=C2c1[nH]c2nc1S2
35,O=C(NCCOc1ccccc1C(F)(F)F)Nc1ccc(C(=O)O)cc1
36,O=C(Nc1ccccc1)C1CCCCN1C1CCCN(C(=O)c2ccc(C=Cc3ccccc3)cc2)C1=O
37,CC(C)(C)OC1CCCCCCCC(N)C1O
38,Cc1cc(-c2n[nH]c3c(N=C4C=C(C(F)(F)F)C5=NCCCN5C4=O)ccc(F)c23)ccc1F
39,CC(C)(C)N(CCCCN1CCCCC1)Cc1ccc([N+](=O)[O-])nn1
40,O=C(CN1C(=O)CCCn2cc1n1c3ccccc3nc21)N1CCCCC1
41,COc1ccc(-c2c(C)n(CCCN3CCCCC3)c(=O)n2C)cc1
42,O=C(c1ccccn1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1CCN1CCCCC1
43,O=C(c1c(Br)ccoc1=O)C(c1cc(Cl)cc(Br)c1)S(=O)(=O)c1ccc(Cl)cc1
44,CN1CCNC1=Nc1cccs1
45,Cc1nc(NC(N)=O)c2cccnc2n1
46,OC1=Cc2cccn3c(ccc23)C=CSC=C1
47,O=C(c1ccccc1C(F)(F)F)n1c(-c2ccccc2)cn(Cc2cccc(Cl)c2)c1=O
48,CCCCC(=NC1=Nc2nc1cs2)c1ccc(C)cc1
49,O=C1OCCN1C(=O)c1cccc(C2=C3C(=O)N(CCCCCc4ccccc4S2)C(=O)c2cc[nH]c23)c1
50,C=CSc1cccc(C=Cc2c3cccc2c2cc3c2)c1C(=O)n1nnn(CCCC(=O)N(C)C)c1=O
51,COC(=O)c1ccc(F)cc1S(=O)(=O)c1cccc(N2CCCCC2=O)c1
52,CN(CCN1CCN2CCN(CCC(=O)NC3COC4=NC3=N4)CC2C1=O)C(=O)Nc1ccc(C#N)cc1
53,CCCCCC(OC(=O)c1ccc(C(C)=O)cc1)C(=O)OC1CCCC1
54,COc1ccc(C(=O)N(CCCCCCc2ccc(OC)c(OC)c2)C(=O)c2ccccc2)cc1
55,CC(C)(C)c1ccc(CCCCC2CCCCC2)cc1
56,CN(c1cc(I)c(-c2n[nH]c(=O)[nH]2)o1)C1C(N)C1O
57,CC(NC(=O)OC(Cl)(Cl)OP(=O)(O)OC(CCCN1CCCCC1=O)C(=O)NC1CC1)=C(F)Cl
58,COC(=O)N(N)Cc1cc(C)c2ccccc2c1
59,COc1cc(O)ccc1OC(=CC#Cc1ccc(C(=O)N2CCCC2)cc1F)[N+](=O)[O-]
60,COc1ccc(C(=O)OC2CCCCCC2)c2ccccc12
61,Cc1cccc(S(=O)(=O)c2cc(C(=O)N3CCN(c4ccccc4)C(=O)C3)ccc2O)c1
62,CC(=O)N(C(=O)c1ccc(Cl)cc1)c1ccc(F)cc1
63,CCOC1CCCC(C)(OC2=C(C)SC2=CC=C2N3CCCN(C3=O)S2(=O)=O)C1
64,CC(C)(C)CC1C(=O)OCN1S(=O)(=O)c1ccc(C(F)(F)F)cc1
65,O=C1N2CCN3CCC2C2CC(CN12)Oc1cccc(n1)S3(=O)=O
66,Cc1nnnc(NC(=S)Nc2ccccc2-c2cc(Cl)ccc2-c2ccc(Cl)cc2)n1
67,Cc1ccc(-c2scc(C#N)c2C(=O)N2CCN(C)CC2)cc1
68,COc1cc(F)ccc1-c1nc(NCC(=O)O)ncc1-c1ccccc1
69,CS(=O)(=O)N1C(=O)CCN(C(=O)c2ccccn2)C1=O
70,Brc1ccc2nnn-2c(SCCc2ccccc2)n1
71,CC(C)(C)C(=O)N1C(=O)CCCC1=O
72,CCN1C(=O)N(Cc2ccccc2OC)C=NC1c1ncc(Cl)cc1F
73,CN=C(c1ccccc1)N1N=c2[nH]c1nc2=CC=CC=C(C#N)CN(C)c1cccc(O)c1
74,COc1ccc(C=CC=CC(N)=NN=C(C)c2ccccc2)cc1
75,CN(CCSc1ccc2nc3sc2c1S3)CC(C)(C)C
76,Cc1nc(NC(=O)Nc2cc([N+](=O)[O-])ccc2OC(C)(C)C)oc1C
77,O=C(O)CCOCOCC(=O)O
78,CC(=O)OC(=O)C(OC(C)(C)C)C(O)C1OCC2OC(C(O)C3CCCCO3)OC2C1O
79,O=C(NC(CCN1CCCC1)C(=O)Nc1ccc(C(=O)N2CCCCC2)cc1)c1ccc(C(F)(F)F)cc1
80,COc1c(O)cccc1C(=O)Nc1cccc(C(F)(F)F)c1
81,O=C(C#CCCCN1CCCCC1)N1CCCCC1
82,BrCCCCCCCCCCC(Br)=C(Br)C(Br)=C(Br)Br
83,C=Cc1cc2cc(C(=O)OCCC(=O)O)ccc2c(=O)o1
84,COC(=O)CCCCOC(=O)OC(OC)=C(Br)C(Br)=C(Br)Br
85,CCCCN(CCCCn1cc2c3[nH]c1c2c1nc3-c2nc(NC(C)=O)ccc2-1)C(=O)NNC(C)=O
86,CCN(C(C)=O)C(=O)c1cc(-c2ccc(F)cc2)c2cccc(I)c2n1
87,COC(=CC=C(c1ccc(Cl)cn1)c1ccc(OC)c2ccccc12)c1ccccc1
88,CC1CCC2C(C1)NC(=O)C1=CC=C(S(=O)(=O)N(C)C(=O)CC(C)(C)C)C12
89,Cc1ccc(C(=O)N(C)c2nc(C)nc3cc(Cl)ccc23)cc1
90,CC(OC(=O)N1CCCCC1)C1=CC=C(C(=O)OC(C)(C)C)CC1
91,O=c1[nH]c(=C[N+](=O)[O-])ccc1=CC=Cc1ccc2cc[nH]c2n1
92,COC1=CC=C2N=C3N=C1N2CCCCN1CC(N3)c2ccccc21
93,COc1ccc(OC(C)(C)C(=O)[O-])cc1C=C(C)C
94,C1CCc2nnc([nH]2)C1
95,CCN(c1ccc(NC(=O)c2ccccc2)cc1)c1cccc(=O)[nH]c2c(Cl)cc1-2
96,CCCCCN(C)C(=O)c1c(OC)c2ccc(F)cc2c2ccc(cc2C#N)[nH]c1=O
97,C=CC=C1OCC2C3CN(CCOc4ccc(Cl)cc4C(F)(F)F)CCN3C(=O)N12
98,O=C1C2CCCN1CCN1C(=O)OCCN(C(=O)C2)C1=O
99,CN(C)c1nc2ccc3cc(O)ccc3c2n1COc1ccccc1Br
100,CN(C)CC1(F)c2cc(Cl)c3c1c[nH]c3c2C(=O)Nc1ccccc1
101,NC(=S)Nc1nc2ncc(-c3cccs3)c-2cn1CCO
102,C=CC=C1C(=O)NC(=O)c2cc(O)cc([N+](=O)[O-])c21
103,CCN(CC)CCCn1c(SC)nc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1=O
104,CCCCCCCCN(CCN1CCCC1)C(=O)NN=NN=C1CCCC1
105,COc1cccc2cc(CN(CCN(C)C(=O)C3=CC4=CC=CC4=C3)C(=O)C3=CC4=CC3=C4)ccc12
106,CN(C)c1ccc(N2CCN(Cc3ccccc3)C2=O)cc1
107,O=C(O)c1ccc(Br)cc1NC(=O)c1ccccc1C(Oc1ccc(O)cc1)=C(O)Br
108,CCCCCN(CCn1nnn2c(C)cnc12)CC(C)C
109,Cc1cccc(C(=O)NC(=O)C(N)c2ccccc2-c2ccc[nH]2)c1
110,COC(=O)c1c(-c2nn3c(=NC#N)c4ccccc4n3c3c(Cl)cccc23)c2n(c1O)CCC2
111,O=C1CCSC(=O)N(C(=O)C2CCCC2)C2CCCN1C2=O
112,O=c1ccsc2sc([nH]1)=NC(=Cc1cccc(C(F)(F)Oc3ccccc3)c1)N=2
113,N#Cc1ccc([N+](=O)[O-])c(Cl)c1N(CCCN1CCCNC1=O)Cc1ccc(F)cc1F
114,CC(=Nc1nc2ccccc2n1C)c1ccc(C)nc1
