id,SMILES_input
1,C C O C 1 = C ( C = C ( C = C 1 ) C ( C ( C ) ( C ) C ) N ) O C C
2,C 1 = C C = C ( C = C 1 ) C 2 C = C ( N C 3 = N C ( = S ) N C ( = O ) C 2 3 ) C 4 = C C = C ( C = C 4 ) Br
3,C O C 1 = C C = C ( C = C 1 ) C ( = O ) C 2 = C ( C ( = C 3 N 2 C 4 = C C = C C = C 4 C = C 3 ) C ( = O ) O C ) C ( = O ) O C
4,C 1 C N ( C C N 1 C C 2 = C C 3 = C ( C = C 2 ) O C O 3 ) C 4 = C C ( = N C ( = N 4 ) S C C 5 = C C ( = C C = C 5 ) C ( = O ) N C C 6 = C N = C C = C 6 ) Cl
5,C C 1 = C C = C ( C = C 1 ) S ( = O ) ( = O ) O C 2 = C ( C = C ( C = C 2 ) C 3 C ( C ( C 3 C ( = O ) O ) C 4 = C C ( = C ( C = C 4 ) O S ( = O ) ( = O ) C 5 = C C = C ( C = C 5 ) C ) O C ) C ( = O ) O ) O C
6,C C 1 C C C C N 1 S ( = O ) ( = O ) C 2 = C C = C ( C = C 2 ) C ( = O ) O C C O C 3 = C C = C C = C 3 C ( = O ) C
7,C 1 C N ( C C C 1 C C 2 = C C = C ( C = C 2 ) Cl ) C C C O C 3 = C C ( = C C = C 3 ) F
8,C O C 1 = C C = C C ( = C 1 ) C ( = O ) N 2 C C ( C C 2 C ( = O ) N 3 C C N C C 3 ) N ( C C 4 = C C = C ( C = C 4 ) [N+] ( = O ) [O-] ) C C 5 = C C = C S 5
9,C C 1 = C C = C C = C 1 N 2 C ( = O ) [C@@] 3 ( C 4 = C ( [C@@H] ( C N 3 C 2 = O ) C 5 = C C = C C = C 5 O C ) C 6 = C C = C C = C 6 N 4 ) C
10,C 1 = C C ( = C C = C 1 / C = N / N ) Cl
11,C ( N ( C c 1 c c c ( c ( c 1 ) C ( = O ) O ) C ( = O ) O ) C c 1 c c c c c 1 Br ) C C ( = O ) O
12,c 1 c ( c c ( c c 1 ) N c 1 n c ( n c c 1 F ) N c 1 c c c ( c c 1 ) O C C C S C ( = S ) N ( C ) C ) N C ( = O ) C = C
13,C C = C = C C ( C ) ( C ) C
14,C 1 C C [NH+] ( C C 1 ) C C N 2 C 3 = C ( C = C ( C = C 3 ) [N+] ( = O ) [O-] ) C 4 = C 2 C = C C ( = C 4 ) [N+] ( = O ) [O-]
15,C C 1 = C ( N C 2 = C 1 C ( = O ) C [C@H] ( C 2 ) C 3 = C C = C ( C = C 3 ) O C ) C ( = O ) O C C 4 = C C = C C = C 4
16,C C 1 ( C C 2 = C C ( = C ( C ( = C 2 C 1 = O ) Cl ) Cl ) O C C 3 = C C ( = C C = C 3 ) C 4 = C C ( = C ( C = C 4 ) Cl ) C ( = O ) O ) C 5 C C C C 5
17,Cl C ( Cl ) C ( N C ( = O ) N ( C c 1 c c c c c 1 ) C c 1 c c c c c 1 ) c 1 c c ( F ) c ( c c 1 ) C
18,C C C C C C C C C C C C C C C C O C C ( C O C C C C C C C C C C C C C C C C ) O C ( = O ) C Cl
19,C C ( C S ( = O ) ( = O ) C 1 = C C = C C = C 1 ) C ( = O ) O
20,C 1 = C S C ( = C 1 ) C ( = O ) N C ( = S ) N C 2 = N C 3 = C ( S 2 ) C = C ( C = C 3 ) F
21,C C ( C 1 = C C ( = C C ( = C 1 ) C ( F ) ( F ) F ) C ( F ) ( F ) F ) O C C 2 ( C C C ( C N 2 ) O C ( = O ) N 3 C C C C 3 ) C
22,C C C ( C C ( C 1 = C C ( = C ( C = C 1 ) O C ) O C C ) N 2 C ( = O ) C 3 = C ( C 2 = O ) C ( = C C = C 3 ) N C ( = O ) C ) O
23,C C O C ( = O ) C 1 = C ( N C ( = O ) N C 1 C ) C O C ( = O ) / C = C / C 2 = C C = C S 2
24,C C 1 = C C ( = C C = C 1 ) N 2 C ( = C ( N = N 2 ) C ( = O ) N C 3 = C C = C ( C = C 3 ) C ( = O ) C ) N
25,C [C@H] ( C [C@@H] ( [C@H] ( C C ( C ) C ) N C ( = O ) C 1 = C C ( = C C = C 1 ) N ( C ) S ( = O ) ( = O ) C 2 = C C = C S 2 ) O ) C ( = O ) N [C@@H] ( C ( C ) C ) C ( = O ) N C C 3 = C C = C C = C 3
26,C C 1 = C C = C C = C 1 N 2 C ( = O ) C ( = C ( C 2 = O ) Cl ) N C 3 = C C = C ( C = C 3 ) C ( = O ) N C 4 = C C = C ( C = C 4 ) O C
27,[C@H] 1 ( C [C@@H] ( [C@H] ( [C@@H] ( O 1 ) / C = C / [C@@H] 1 [C@H] ( [C@H] 1 C ) / C = C / [C@H] ( / C = C ( \ C ) / [C@@H] 1 O [C@@H] ( C ( = C C 1 ) C ) C C ) C ) O C ( = O ) C ) O C ( = O ) C ) C C ( = O ) N 1 C C C C C 1
28,C C 1 C C 2 = C C = C C = C 2 N ( C 1 ) C ( = O ) C
29,C C 1 = C ( C = C ( C = C 1 ) Cl ) S ( = O ) ( = O ) N C C 2 C C N ( C C 2 ) C C O C
30,C 1 C C C ( C C 1 ) N C ( = O ) N C ( = O ) C O C ( = O ) [C@H] 2 C C 3 = C ( C = C C ( = C 3 ) Cl ) O C 2
31,C C ( C 1 = C C = C C = C 1 ) N ( C C ( = O ) N 2 C C C N ( C C 2 ) C 3 = N N = C ( C = C 3 ) C 4 = C C = C C = C 4 ) C ( = O ) C 5 = C C = C ( C = C 5 ) O C
32,C C ( C ) N ( C C ( = O ) N 1 C C C C C 1 C 2 = N C ( = N O 2 ) C 3 = C C ( = C C = C 3 ) Cl ) C ( = O ) C 4 = C C = C ( C = C 4 ) C ( C ) ( C ) C
33,C 1 = C ( S C ( = C 1 ) C 2 = C S C ( = N 2 ) N S ( = O ) ( = O ) C ( F ) ( F ) F ) C N
34,c 1 ( c c c 2 c ( c 1 ) C ( = O ) C ( = O ) N 2 C c 1 c c c ( c ( c 1 ) Cl ) Cl ) N C ( = O ) C C C
35,C C O C ( = O ) C 1 = C ( S C 2 = C 1 C C C C 2 ) N C ( = O ) C 3 = C C ( = C ( C = C 3 ) Cl ) [N+] ( = O ) [O-]
36,C [Si] ( C ) ( C ) C 1 = C O C = C 1 C 2 = C C = C C = C 2
37,C C C C O C 1 = C C = C ( C = C 1 ) C 2 = N N 3 C ( = O ) / C ( = C / C 4 = C N ( N = C 4 C 5 = C ( C = C ( C = C 5 ) O C C C ) C ) C 6 = C C = C C = C 6 ) / S C 3 = N 2
38,C C C N C 1 C C C 2 C 1 ( C C C 3 C 2 C C C 4 C 3 ( C C = C C 4 ( C ) C ) C ) C
39,C 1 C C ( N C 1 ) / C = C / C 2 = C C = N O 2
40,C C 1 = C ( C ( = O ) N ( N 1 C ) C 2 = C C = C C = C 2 ) N C ( = O ) C ( C ) O C ( = O ) C C 3 = C ( C = C C = C 3 Cl ) F
41,C 1 C ( = O ) C ( = O ) C ( C ( O 1 ) C O ) O
42,C C 1 = N C ( = N N 1 C ) N C ( = O ) N 2 C C C N ( C C 2 ) C 3 = C C = C ( C = C 3 ) F
43,C O C 1 = C ( C = C ( C ( = C 1 ) C ( = O ) N C C 2 = C C = C ( C = C 2 ) N C ( = O ) C 3 = C C = C O 3 ) [N+] ( = O ) [O-] ) O C
44,C 1 = C C = C ( C = C 1 ) C ( = O ) N / C ( = C \ C 2 = C N C 3 = C C = C C = C 3 2 ) / C ( = O ) N C 4 = C C ( = C C = C 4 ) S C C ( = O ) N C 5 = C C = C C = C 5 C ( F ) ( F ) F
45,C 1 C N C C C 1 N 2 C ( = O ) C C 3 = C 2 C = C C ( = C 3 ) Cl
46,C N ( C C O C 1 = C C ( = C C = C 1 ) Cl ) S ( = O ) ( = O ) C 2 = C ( S C = C 2 ) C ( = O ) O C
47,C O C 1 = C C 2 = C ( C ( = C N = C 2 C = C 1 ) Cl ) [C@@H] ( C C C 3 ( C C N ( C C 3 ) C C S C 4 = C C = C C = N 4 ) C C ( = O ) O ) O
48,C C ( C ) ( C ) C ( = O ) N 1 C ( = N C ( = N 1 ) C 2 = C C = C O 2 ) N C C 3 = C C ( = C ( C = C 3 ) O C ) O C
49,C 1 = C N ( N = C 1 ) C N 2 C = C C ( = N 2 ) C ( = O ) N C 3 = C ( S C 4 = C 3 C ( = C C ( = N 4 ) C ( F ) ( F ) F ) C 5 = C C = C ( C = C 5 ) F ) C ( = O ) N
50,c 1 c ( c c c ( c 1 ) O [C@H] ( C ( = O ) O ) C C c 1 c c c c c 1 ) Cl
51,C [C@H] ( C ( = O ) N C 1 = C C = C ( C = C 1 ) F ) O C ( = O ) C 2 = C C 3 = C ( C = C 2 ) C ( = O ) N ( C 3 = O ) C C = C
52,C C 1 = C C ( = C C = C 1 ) N 2 C ( = O ) C S C 2 3 C C N ( C C 3 ) C ( = O ) N C 4 = C ( C ( = C C = C 4 ) Cl ) Cl
53,C C ( C ) C C ( = O ) O C [C@@H] 1 [C@H] ( [C@@H] ( [C@] ( O 1 ) ( C O C ( = O ) C C ( C ) C ) O [C@@H] 2 [C@@H] ( [C@H] ( [C@@H] ( [C@H] ( O 2 ) C O ) O ) O ) O C ( = O ) C C ( C ) C ) O C ( = O ) C C ( C ) C ) O
54,C C 1 = C C = C C = C 1 C ( = O ) N / N = C \ C 2 = C C ( = C ( C = C 2 ) O C ( F ) F ) O C
55,C C C N C ( = O ) C C N C ( = O ) [C@@H] 1 C C ( = N O 1 ) C 2 = C C = C ( C = C 2 ) Cl
56,C C ( C 1 = C C = C C = C 1 ) N C ( = O ) C ( C ) O C ( = O ) C 2 = C C ( = C ( C = C 2 ) O C ) S ( = O ) ( = O ) N 3 C C O C C 3
57,C 1 C C C N ( C C C 1 ) C C N = C ( N ) N
58,C 1 C C C N ( C C C 1 ) C ( C N ) C 2 = C ( C = C C = C 2 F ) F
59,C C 1 = C C = C ( C = C 1 ) C C N C ( = O ) C 2 = C O C ( = N 2 ) C N C
60,C C ( C N S ( = O ) ( = O ) C 1 = C N ( C = N 1 ) C ) C N 2 C C O C C 2
61,C C 1 = C ( O C = C 1 ) C ( = O ) O C C ( = O ) N C 2 = C ( C ( = C ( N 2 C 3 C C C C 3 ) C ) C ) C # N
62,C N ( C C 1 = C C = C ( C = C 1 ) C # N ) C ( = O ) C S ( = O ) ( = O ) C 2 = C C = C ( C = C 2 ) Cl
63,C C 1 = C C ( = C C = C 1 ) C ( = O ) N C 2 = C C = C ( C = C 2 ) N C ( = O ) C 3 = C C = C C ( = C 3 ) C
64,C C N 1 C = C ( C = N 1 ) C ( = O ) N C 2 = C C ( = C C ( = C 2 ) O C ) [N+] ( = O ) [O-]
65,C 1 C N ( C C N 1 C C 2 = N N = N N 2 C 3 = C C = C C = C 3 ) C ( = O ) N C 4 = C C = C S 4
66,C O C C O C 1 = C ( C = C ( C = C 1 ) C ( F ) ( F ) F ) N C ( = O ) C O C 2 = C C = C ( C = C 2 ) C ( F ) ( F ) F
67,C O C 1 = C C ( = C ( C = C 1 ) C 2 = C S C ( = N C 3 = C C = C C = C 3 [N+] ( = O ) [O-] ) N 2 C C 4 C C C O 4 ) O C
68,C N = C ( N ) S C C C C S C ( = N C ) N
