id,SMILES_input
1,CCCC1=NN=C(C=C1)C2CCC(CC2)C(C=O)C3CCC(CC3)CCCCl
2,CC1=C(C(OC2=C1C=C(C=C2)O)C3=CC=C(C=C3)OC[C@H](C)N4CC[C@H](C4)CF)C5=CC=C(C=C5)C#N
3,CC(C)C1CCNC(=O)C1C(C)C
4,CSC1=NN(C=C1/C(=N\OC(=O)NC2=CC=CC=C2)/N)C3=CC=CC=C3
5,CCC1=C(C(=NC(=N1)CC2=CC=CC=C2Br)CC)CCN
6,CN1C2=C(CN(CCC2)S(=O)(=O)CCCC=C)C=N1
7,CN(CCCCCO)CCN1C=C(C=CC1=O)N
8,CCC1=CC=C(S1)C(C)NCCN2C=CN=C2
9,CCN1C=C(C(=O)N(C1=O)CC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC)C#N
10,CN1CCC(C1)COC2=C(C=C(C=C2)C(=O)Cl)C#N
11,CC(=O)N(OCC1=CC=CC=C1)OC2=NC3=CC=CC=C3O2
12,CC(=O)/C(=C/C1=CC=CC=N1)/C(=O)OCC2=CC=CC=C2
13,C1CC(OC1)COCC2=CC(=CC=C2)Br
14,C1CN2CCC1[C@@H](C2)N3C=CC4=C(C3=O)C5=CC=CC=C5O4
15,CC1=CC(=C(C(=C1)C)OCCC[NH+](C)CC2=CC=CC=C2)C
16,CC1=CC(=NC2=C1N=C(N2C)CC3=C(C=CC(=C3Cl)C(=O)O)Cl)C(F)(F)F
17,CCCN1C(=NN=C1SCC(=O)NC2=C(OC3=CC=CC=C32)C#N)C4=CC=CC(=C4)C
18,CN1C=CN=C1CNCC(C2=CC=CC=C2)O
19,COC(=O)C1=C(N=C2C(=C1N)C(=NN2C3=CC=CC=C3)C4=CC=CC=C4)C(=O)OC
20,CCCCCOC1=CC=C(C=C1)CN[C@H](C)C(=O)N
21,CC1(OC[C@@H](O1)/C=C(\COCC2=CC=CC=C2)/F)C
22,C1CC(N(C1)C(=O)CNC2CC2)CC3=CC=CC=C3
23,CC1=C(C=C(C=C1)C2=CN=C(N=C2NC3=C(C=CC(=C3)NC(=O)C=C)F)NC(=CN)C=NC)F
24,C1=CC=NC(=C1)CCOCC2=C(C=CC(=C2)C(=S)N)F
25,CC1CC(C1)OC2=CC=C(C=C2)Br
26,CCCNC1=NC(=NC(=C1)C2=CC=CC=C2)NCCCC3=CC=CC=C3
27,CC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)CSC2=NC=NC3=C2C4=C(S3)CC(CC4)C(C)(C)C
28,CC1=C(C=C(C=C1OC)C(=O)NC(C)(CC(=O)O)COC)[N+](=O)[O-]
29,C1=CC=C2C(=C1)C(=O)N(C2=O)CC3=C(C(=CC=C3)C(F)(F)F)F
30,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=C/C(=O)OC3=CC=CC(=C3)/C=C(/C#N)\C4=CC=CC=C4
31,CCC1=NSC(=N1)N2CCN(CC2)C(=NC)NCCNC(C)(C)C
32,CSC1(CC1)CNC(C2CC2)C3CC3
33,C[C@H](C[S@@](=O)C)NC(=O)N[C@@H]1CCCOC2=C1C=CC=C2Cl
34,C1CC(=O)C2C1=NC3=C(C2C4=CC(=C(C=C4)F)Br)C(=O)N(C3)CCN5CCOCC5
35,CC(C)(C)N1C=C(C=N1)NC(=O)CCC2=NC3=C(N2C)C=CC(=C3)S(=O)(=O)N4CCCCC4
36,COC1=CC=C(C2=CC=CC=C21)C3=C(C(=NN=N3)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
37,CC1=C(C2=NC=CN2C(=N1)N3CCC4(CC3)CCOC4)C5=C(C(=CC=C5)Cl)Cl
38,CCC1=C(N(N=C1C)C2=NC=CC(=C2N)C)C
39,CC1=NC=CN1CC2=CC=C(C=C2)C=C
40,CCCCN1C(=C)C2(CCN(CC2)C(=O)N3CCOCC3)OC1=O
41,CC1C(CCN1)CN2CCC3C(C2)CCCN3C
42,C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2C(=O)N(C3=O)CC4=CC=C(C=C4)Cl
43,C1COCC1CC2=CC=CC=C2O
44,CC1=CC=CC=C1NC2=C3C=NN(C3=NC(=N2)N4CCOCC4)C5=CC=CC=C5
45,CC1=NC(=CC=C1)CNCC2=C(NN=C2)C3=CC=CC=C3
46,COC(=O)CC(C#N)C1=CCC(C=C1)O
47,CN1C=CN=C1CCNCC2=C3C(=C(C=C2)Cl)C=CC=N3
48,CC(=O)CCCCO[C@H]1C([C@H]([C@@H](C(O1)CNC(=O)C2=CC=C(C=C2)OC)O)O)O
49,C[C@H](C1=CC(=CC(=C1)N)C(F)(F)F)NC2=NC=NC3=NC(=C(C=C32)OCCOC)OC
50,COC(=O)CC(=C)C1=CC=C(O1)Br
51,CCC1=C(C=CC(=O)N1)C(=O)N(C)CC2=NC3=C(C(=O)N2)SC=C3
52,CC1=CC(=C(C(=C1)OC(=O)CCNC(=O)C)C(C)(C)CC(=O)O)C
53,CCCCCSC1=C(C=C(C=C1)CO)[N+](=O)[O-]
54,CCCN1C=CC(=O)N(C1=O)CC2=CC=C(S2)Cl
55,CCNC1=C(C=C(S1)Cl)S(=O)(=O)N
56,C=CC1=CC=C(C=C1)NC(=O)OCCCO
57,CCOC1=CC(=C(C=C1)C(=O)C2=CC=C(C=C2)N3CCCC3)C(=O)O
