id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN
1,O=C(NCCCCc1nc(-c2ccccn2)cs1)[C@@H]1COCCO1,2 80 193 197 221 282 378 422 448 523 552 592 626 650 656 667 675 689 749 802 807 813 926 950 980 1019 1088 1135 1152 1155 1184 1199 1243 1264 1370 1380 1424 1427 1452 1567 1578 1750 1810 1840 1851 1855 1866 1873 1876 1884 1911 1917 1923 1985,C1COC(CO1)C(=O)NCCCCC2=NC(=CS2)C3=CC=CC=N3,2 80 193 197 221 282 378 422 448 523 552 592 626 650 656 667 675 689 749 802 807 813 926 950 980 1019 1088 1135 1152 1155 1184 1199 1243 1264 1370 1380 1424 1427 1452 1567 1578 1750 1810 1840 1851 1855 1866 1873 1876 1884 1911 1917 1923 1985,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,O=C(NCCCCn1cnc([N+](=O)[O-])n1)c1ccc(OC(F)(F)F)cc1,8 80 114 145 197 207 265 317 322 378 486 548 592 650 667 695 715 718 747 753 807 820 838 893 908 932 935 1082 1145 1149 1152 1195 1253 1380 1385 1409 1452 1453 1487 1665 1689 1697 1750 1873 1876 1911 1917 1928 1931 1956 1963,C1=CC(=CC=C1C(=O)NCCCCN2C=NC(=N2)[N+](=O)[O-])OC(F)(F)F,8 80 114 145 197 207 265 317 322 378 486 548 592 650 667 695 715 718 747 753 807 820 838 893 908 932 935 1082 1145 1149 1152 1195 1253 1380 1385 1409 1452 1453 1487 1665 1689 1697 1750 1873 1876 1911 1917 1928 1931 1956 1963,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,O=C(O)C(=O)CC1CCCCC1,2 29 80 223 389 446 484 578 650 715 807 890 926 1004 1019 1028 1075 1325 1463 1917,C1CCC(CC1)CC(=O)C(=O)CC(=O)C(=O)CC(=O)C(=O)O,2 29 59 80 223 389 446 484 550 578 650 715 807 890 926 1004 1019 1028 1075 1152 1325 1469 1572 1917,90.47619047619048,90.47619047619048,50.72463768115942,50.72463768115942,95.45454545454545,95.45454545454545,92.3076923076923,92.3076923076923,37.9746835443038,37.9746835443038,50.0,50.0,50.0,50.0,54.54545454545454,54.54545454545454,54.54545454545454,54.54545454545454,53.333333333333336,53.333333333333336,54.54545454545454,54.54545454545454,53.333333333333336,53.333333333333336,54.54545454545454,54.54545454545454,92.85714285714286,92.85714285714286,76.0,76.0
4,CC(C)c1ccc([N+](=O)[O-])c(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,1 121 146 237 283 314 354 360 437 526 598 633 634 650 699 715 716 753 787 805 838 879 935 1019 1057 1086 1195 1260 1348 1380 1445 1626 1686 1747 1750 1848 1873 1928 1963,CC(C)C1=C(C(=C(C=C1)[N+](=O)[O-])C(C)C)N2C(=O)C3=C(C2=O)C(=C(C(=C3F)F)F)F,1 121 146 237 283 314 354 360 437 526 598 633 634 650 699 715 716 753 787 805 838 879 935 1019 1057 1086 1195 1260 1348 1380 1445 1626 1686 1747 1750 1848 1873 1928 1963,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,CC(=O)N1CCc2cc(S(=O)(=O)CCC(=O)N3CCN(c4cccc(C)c4C)CC3)ccc21,80 231 252 319 350 407 432 481 582 626 650 715 760 807 875 926 935 978 996 1009 1017 1039 1057 1088 1096 1174 1236 1295 1300 1312 1380 1384 1387 1391 1401 1407 1476 1479 1480 1508 1564 1589 1614 1647 1722 1738 1750 1873 1888 1915 1917 1968 1999 2007 2009,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)CCS(=O)(=O)C3=CC4=C(C=C3)N(CC4)C(=O)C)C,80 231 252 319 350 407 432 481 582 626 650 715 760 807 875 926 935 978 996 1009 1017 1039 1057 1088 1096 1174 1236 1295 1300 1312 1380 1384 1387 1391 1401 1407 1476 1479 1480 1508 1564 1589 1614 1647 1722 1738 1750 1873 1888 1915 1917 1968 1999 2007 2009,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,OCCCN=C(O)NC12CC3CC(CC(C3)C1)C2,80 144 172 222 344 389 473 516 572 585 679 725 807 926 1019 1060 1130 1152 1267 1292 1446 1663 1699 1744 1778 1901 1911 1976 2004,C1C2CC3CC1CC(C2)(C3)NC(=NCCCO)NC45CC6CC(C4)CC(C6)C5,80 137 144 172 222 344 369 473 516 679 725 807 926 1019 1060 1130 1152 1160 1267 1292 1446 1504 1699 1744 1901 1911 1976 2004,88.09523809523809,88.09523809523809,77.44360902255639,77.44360902255639,60.0,60.0,65.51724137931035,65.51724137931035,43.02325581395349,43.02325581395349,49.29577464788733,49.29577464788733,49.29577464788733,49.29577464788733,58.620689655172406,58.620689655172406,55.932203389830505,55.932203389830505,51.68539325842697,51.68539325842697,55.932203389830505,55.932203389830505,51.68539325842697,51.68539325842697,55.932203389830505,55.932203389830505,85.0,85.0,72.72727272727273,72.72727272727273
7,CC(C)(C)c1ccc(S(=O)(=O)NCCCc2c[nH]cn2)cc1,33 80 114 317 319 350 378 392 502 575 625 650 667 713 715 724 732 774 844 883 931 1057 1114 1145 1152 1243 1339 1380 1417 1452 1476 1556 1626 1665 1750 1758 1873 1879 1884 1886 1911,S(=O)(=O)(c1ccc(C(C)(C)C)cc1)NCCCc1nc[nH]c1,33 80 114 317 319 350 378 392 502 575 625 650 667 713 715 724 732 774 844 883 931 1057 1114 1145 1152 1243 1339 1380 1417 1452 1476 1556 1626 1665 1750 1758 1873 1879 1884 1886 1911,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,COc1ccc(C2CNC(=O)N2C)cc1OC1CC2CCC(C2)C1,94 96 119 130 140 227 233 249 314 373 428 470 483 524 650 695 724 841 875 878 926 935 964 1019 1050 1057 1114 1145 1279 1292 1312 1325 1380 1410 1446 1464 1536 1750 1803 1866 1873 1885 1970 1976,CN1[C@H](CNC1=O)C2=CC(=C(C=C2)OC)OC3CC4CCC(C4)C3,94 96 119 130 140 227 233 249 314 373 428 470 483 524 650 695 724 841 875 878 926 935 964 1019 1050 1057 1114 1145 1279 1292 1312 1325 1380 1410 1446 1464 1536 1750 1803 1866 1873 1885 1970 1976,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,CCOc1ccccc1-c1nc(-c2cc(C)n(-c3c(C)n(C)n(-c4ccccc4)c3=O)c2C)cs1,75 77 80 105 146 175 237 294 314 320 327 352 365 366 378 389 425 430 504 518 552 650 675 695 875 878 883 935 977 980 984 1049 1057 1088 1099 1145 1199 1235 1238 1264 1272 1380 1410 1452 1567 1722 1750 1766 1796 1825 1827 1855 1873 1934 1970 1993,CCOC1=CC=CC=C1C2=NC(=CS2)C3=C(N(C(=C3)C)C4=C(N(N(C4=O)C5=CC=CC=C5)C)C)C,75 77 80 105 146 175 237 294 314 320 327 352 365 366 378 389 425 430 504 518 552 650 675 695 875 878 883 935 977 980 984 1049 1057 1088 1099 1145 1199 1235 1238 1264 1272 1380 1410 1452 1567 1722 1750 1766 1796 1825 1827 1855 1873 1934 1970 1993,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,COc1ccc(CN2CCN(C(=O)Cn3nc(C)n4cccc4c3=O)CC2)c(OC)c1OC,45 74 80 94 95 139 158 249 314 333 378 504 600 613 650 695 760 784 788 807 841 899 917 926 935 1009 1057 1088 1101 1170 1205 1241 1285 1312 1313 1329 1349 1380 1480 1536 1589 1599 1722 1741 1750 1765 1791 1792 1873 1895 1917 1937 1956 1969 1970 2002 2009,CC1=NN(C(=O)C2=CC=CN12)CC(=O)N3CCN(CC3)CC4=C(C(=C(C=C4)OC)OC)OC,45 74 80 94 95 139 158 249 314 333 378 504 600 613 650 695 760 784 788 807 841 899 917 926 935 1009 1057 1088 1101 1170 1205 1241 1285 1312 1313 1329 1349 1380 1480 1536 1589 1599 1722 1741 1750 1765 1791 1792 1873 1895 1917 1937 1956 1969 1970 2002 2009,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
