id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN
1,OCCCCN1CCCC1,80 222 473 541 653 807 893 926 935 1028 1130 1145 1422 1480 1482 1791 1911 1998,C1CCN(C1)CCCCO,80 222 473 541 653 807 893 926 935 1028 1130 1145 1422 1480 1482 1791 1911 1998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 73 80 140 165 212 216 281 352 353 378 561 609 650 674 790 807 816 843 866 875 881 889 907 980 1043 1088 1164 1171 1190 1334 1367 1380 1384 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 2018,C1=CC(=NN=C1)C2=C(C=CC(=C2)Cl)N(CC(=O)N)C#N,46 73 80 140 165 212 216 281 352 353 378 561 609 650 674 790 807 816 843 866 875 881 889 907 980 1043 1088 1164 1171 1190 1334 1367 1380 1384 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 2018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,Cc1cc[n+](C)cc1-c1ccccc1,222 263 350 352 389 463 482 673 691 736 1003 1057 1088 1160 1199 1299 1380 1391 1530 1717 1722 1750 1860 1873,CC1=C(C=[N+](C=C1)C)C2=CC=CC=C2,222 263 350 352 389 463 482 673 691 736 1003 1057 1088 1160 1199 1299 1380 1391 1530 1717 1722 1750 1860 1873,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 194 369 387 433 526 650 652 678 695 739 760 807 814 841 926 935 996 1009 1019 1028 1057 1152 1168 1267 1325 1480 1564 1634 1758 1911 1917 1923 1998 2009,COC(=O)N[C@H]1CCN(C1)C(=O)CCCCC(=O)N2CCCCC2,2 16 80 194 369 387 433 526 650 652 678 695 739 760 807 814 841 926 935 996 1009 1019 1028 1057 1152 1168 1267 1325 1480 1564 1634 1758 1911 1917 1923 1998 2009,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 261 263 314 317 319 322 350 359 414 486 502 535 562 575 627 650 658 662 664 680 694 695 707 718 727 781 798 807 835 841 843 875 926 935 993 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1182 1249 1380 1386 1440 1452 1476 1480 1497 1536 1567 1626 1738 1750 1766 1816 1832 1873 1917 1972 1978,COC1=CC(=CC=C1)S(=O)(=O)NCC(=O)O/C=C/C2=CC=C(C=C2)OCCN3CCCC3=O,13 25 80 102 155 191 198 314 317 319 322 350 502 535 562 575 627 650 658 662 664 694 695 707 718 781 798 807 835 841 875 878 926 935 993 1028 1034 1039 1057 1088 1089 1099 1123 1138 1145 1152 1182 1380 1386 1440 1452 1476 1480 1497 1536 1626 1738 1750 1832 1848 1873 1917 1972 2033,92.3076923076923,92.3076923076923,79.58115183246073,79.58115183246073,61.76470588235294,61.76470588235294,61.0,61.0,73.3974358974359,73.3974358974359,72.0,72.0,72.0,72.0,82.5,82.5,80.24691358024691,80.24691358024691,74.78991596638656,74.78991596638656,78.04878048780488,78.04878048780488,71.900826446281,71.900826446281,80.24691358024691,80.24691358024691,84.0909090909091,84.0909090909091,76.92307692307693,76.92307692307693
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 76 80 102 212 283 294 305 307 366 460 561 591 650 667 674 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1380 1384 1683 1750 1873 1911 1917 1954 1975 2016 2018,CCCCNC(C)C(=O)N(CC)C1=C(C=C(C=C1)C#N)Cl,1 46 76 80 102 212 283 294 305 307 366 460 561 591 650 667 674 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1380 1384 1683 1750 1873 1911 1917 1954 1975 2016 2018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 216 219 233 295 314 371 464 531 547 650 699 732 811 872 875 926 935 985 1028 1089 1101 1145 1380 1395 1422 1441 1457 1480 1482 1539 1548 1701 1750 1755 1791 1825 1840 1873 1874 1928 1998,C1CCN(C1)CCN2CCN(C2=O)C3=CN(C=C3)C4=CC(=C(C=C4)F)F,80 92 139 216 219 233 295 314 371 464 531 547 650 699 732 811 872 875 926 935 985 1028 1089 1101 1145 1380 1395 1422 1441 1457 1480 1482 1539 1548 1701 1750 1755 1791 1825 1840 1873 1874 1928 1998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 114 117 147 350 354 389 428 486 496 650 692 759 807 825 849 881 926 935 962 966 1019 1057 1088 1092 1102 1152 1183 1199 1257 1325 1380 1385 1417 1423 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1985 2005 2011 2017,CS(=O)(=O)N1CC[C@@H]([C@H]1[C@@H](CC(C2=CC=CC=C2)(F)F)NC(=O)C3=CC=CC=C3)O,1 80 114 117 147 350 354 389 428 486 496 650 692 759 807 825 849 881 926 935 962 966 1019 1057 1088 1092 1102 1152 1183 1199 1257 1325 1380 1385 1417 1423 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1985 2005 2011 2017,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,48 80 193 197 255 314 322 374 389 486 504 562 638 650 695 805 807 813 875 903 926 935 1066 1088 1152 1199 1236 1317 1380 1489 1496 1555 1573 1617 1670 1750 1754 1820 1873 1887 1917 1946 1991,C1C2=CC(=C(N1C2=O)OC3=CC=CC=C3)C(=O)NCC4=CC=CC=C4,80 174 193 197 255 314 322 374 389 486 504 562 638 650 695 805 807 813 875 926 935 1066 1088 1152 1180 1199 1236 1317 1380 1496 1555 1573 1617 1670 1750 1752 1754 1873 1887 1917 1946 1950 1991,100.0,100.0,77.30263157894737,77.30263157894737,94.1747572815534,94.1747572815534,91.8918918918919,91.8918918918919,87.08133971291866,87.08133971291866,92.72727272727272,92.72727272727272,92.72727272727272,92.72727272727272,100.0,100.0,100.0,100.0,89.6103896103896,89.6103896103896,100.0,100.0,94.66666666666667,94.66666666666667,100.0,100.0,100.0,100.0,82.97872340425532,82.97872340425532
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 218 222 314 369 562 639 650 656 695 750 764 782 802 807 845 926 935 941 1019 1028 1049 1088 1119 1126 1152 1380 1468 1480 1565 1722 1748 1758 1819 1917 1923 1950 1982 1998 2009,C1CCN(CC1)C(=O)NC(=O)O[C@@H]2[C@H]3CO[C@H]2C(=O)O3,2 218 222 314 369 562 639 650 656 695 750 764 782 802 807 845 926 935 941 1019 1028 1049 1088 1119 1126 1152 1380 1468 1480 1565 1722 1748 1758 1819 1917 1923 1950 1982 1998 2009,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
