id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,OCCCCN1CCCC1,80 222 422 473 541 646 653 740 743 774 807 810 893 926 935 997 1028 1145 1157 1220 1313 1322 1422 1480 1482 1616 1791 1836 1911 1998,C1CCN(C1)CCCCN2CCN(P2(=NCCCCN3CCCC3)N4CCCC4)CCCCN5CCN(CC5)CCO,74 80 144 205 222 311 456 473 525 653 681 725 807 810 893 914 926 935 1028 1114 1145 1217 1379 1422 1480 1482 1523 1539 1739 1790 1791 1812 1911 1998 2025,60.416666666666664,60.416666666666664,25.675675675675674,25.675675675675674,27.27272727272727,27.27272727272727,31.25,31.25,11.370262390670554,11.370262390670554,13.580246913580247,13.580246913580247,13.580246913580247,13.580246913580247,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,21.25984251968504,21.25984251968504,23.809523809523807,23.809523809523807,21.25984251968504,21.25984251968504,23.809523809523807,23.809523809523807,61.111111111111114,61.111111111111114,43.24324324324324,43.24324324324324,OCCCCN1CCCC1,OCCN1CCN(CCCCN2CCN(CCCCN3CCCC3)P2(=NCCCCN2CCCC2)N2CCCC2)CC1,0,0.0
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 73 80 140 165 212 216 218 281 322 352 353 378 456 545 561 609 650 674 676 790 807 816 843 866 875 881 889 907 980 1043 1059 1081 1086 1088 1131 1164 1171 1190 1334 1354 1367 1380 1384 1385 1443 1493 1546 1683 1750 1838 1851 1866 1873 1898 1917 1945 2018 2023 2031,C1=CC(=NN=C1)C2=C(C=CC(=C2)Cl)N(CN(C#N)N(CC(=O)N)C#N)C3=NN=CC=C3,46 80 117 140 165 216 281 352 353 378 561 609 650 674 790 807 816 843 866 875 881 907 980 1012 1043 1088 1116 1164 1171 1190 1334 1362 1367 1372 1380 1384 1493 1534 1542 1683 1750 1753 1755 1788 1790 1851 1859 1866 1873 1898 1917 1918 2018,88.67924528301887,88.67924528301887,67.95580110497238,67.95580110497238,54.166666666666664,54.166666666666664,56.470588235294116,56.470588235294116,45.74132492113564,45.74132492113564,50.81967213114754,50.81967213114754,50.81967213114754,50.81967213114754,64.51612903225806,64.51612903225806,61.904761904761905,61.904761904761905,54.83870967741935,54.83870967741935,61.904761904761905,61.904761904761905,54.83870967741935,54.83870967741935,61.904761904761905,61.904761904761905,84.84848484848484,84.84848484848484,68.96551724137932,68.96551724137932,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,N#CN(CC(N)=O)N(C#N)CN(c1cccnn1)c1ccc(Cl)cc1-c1cccnn1,0,0.0
3,Cc1cc[n+](C)cc1-c1ccccc1,106 222 263 350 352 389 391 440 463 482 522 673 691 736 766 1003 1057 1088 1149 1160 1199 1299 1380 1391 1493 1522 1530 1625 1674 1717 1722 1750 1758 1858 1860 1873 2002 2020 2025,CC1=C(C=[N+](C=C1)C)C2=C(C=[N+](C=C2)C)C3=C(C=[N+](C=C3)C)C4=C(C=[N+](C=C4)C)C5=CC=CC=C5,222 263 294 350 352 389 463 579 673 691 736 890 1003 1057 1088 1160 1199 1299 1380 1391 1527 1530 1616 1717 1722 1750 1860 1873,88.0,88.0,78.57142857142857,78.57142857142857,90.0,90.0,89.65517241379311,89.65517241379311,23.978201634877383,23.978201634877383,32.89473684210527,32.89473684210527,32.89473684210527,32.89473684210527,40.0,40.0,40.0,40.0,38.613861386138616,38.613861386138616,40.0,40.0,40.0,40.0,40.0,40.0,100.0,100.0,79.3103448275862,79.3103448275862,Cc1cc[n+](C)cc1-c1ccccc1,Cc1cc[n+](C)cc1-c1cc[n+](C)cc1-c1cc[n+](C)cc1-c1cc[n+](C)cc1-c1ccccc1,0,0.0
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 129 194 202 222 369 387 433 505 526 650 652 678 695 739 746 760 777 807 814 841 913 926 935 993 1009 1019 1028 1057 1152 1168 1267 1325 1402 1480 1564 1634 1703 1758 1911 1917 1923 1960 1968 1998 2009,COC(=O)N[C@H]1CCN(C1)C(=O)CCCCC(=O)N2CCC(C2)NNN3CCCCC3,2 16 80 194 245 387 389 433 526 650 652 678 695 739 807 814 841 926 935 996 1009 1019 1028 1057 1152 1168 1238 1267 1325 1480 1524 1564 1634 1641 1758 1796 1874 1911 1917 1923 1998 2009 2046,84.7457627118644,84.7457627118644,80.15873015873017,80.15873015873017,76.92307692307693,76.92307692307693,77.14285714285715,77.14285714285715,68.91891891891892,68.91891891891892,69.81132075471697,69.81132075471697,73.07692307692307,73.07692307692307,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,70.65217391304348,70.65217391304348,77.41935483870968,77.41935483870968,70.65217391304348,70.65217391304348,77.41935483870968,77.41935483870968,88.0,88.0,77.77777777777779,77.77777777777779,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,COC(=O)N[C@H]1CCN(C(=O)CCCCC(=O)N2CCC(NNN3CCCCC3)C2)C1,0,0.0
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 261 263 314 317 319 322 350 359 398 414 440 486 502 534 535 562 575 627 650 658 662 664 680 694 695 707 718 723 727 781 798 807 835 841 843 875 882 899 926 935 960 965 993 1012 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1174 1182 1249 1306 1380 1386 1440 1452 1476 1480 1497 1499 1521 1536 1567 1606 1626 1651 1738 1750 1766 1816 1832 1873 1917 1971 1972 1978,CN1CCC(=C1/C=C/OC(=O)CNS(=O)(=O)C2=CC=CC(=C2)OC)C(=O)NC3=CC=C(C=C3)OCCN4CCCC4=O,13 80 102 155 184 191 198 286 314 317 319 322 350 417 486 502 535 562 575 627 650 658 662 664 694 695 707 718 781 798 807 835 841 843 855 875 926 935 990 993 1028 1034 1039 1057 1058 1077 1088 1089 1099 1123 1138 1145 1152 1168 1182 1213 1380 1386 1408 1440 1452 1476 1480 1497 1536 1626 1693 1738 1750 1816 1832 1873 1917 1972 1978,87.5,87.5,75.53648068669528,75.53648068669528,87.5,87.5,87.87878787878788,87.87878787878788,76.81564245810057,76.81564245810057,70.45454545454545,70.45454545454545,70.45454545454545,70.45454545454545,86.36363636363636,86.36363636363636,82.22222222222221,82.22222222222221,77.86259541984732,77.86259541984732,88.50574712643679,88.50574712643679,83.46456692913385,83.46456692913385,82.22222222222221,82.22222222222221,86.95652173913044,86.95652173913044,77.38095238095238,77.38095238095238,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,COc1cccc(S(=O)(=O)NCC(=O)O/C=C/C2=C(C(=O)Nc3ccc(OCCN4CCCC4=O)cc3)CCN2C)c1,0,0.0
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 47 76 80 102 122 212 283 294 305 307 366 430 441 460 561 591 650 667 674 721 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1262 1296 1380 1384 1676 1683 1714 1750 1873 1911 1917 1954 1972 1975 2011 2016 2018,CCCCNC(C)C(=O)N(CC)C1=C(C=C(C=C1)C#N)Cl,1 46 76 80 102 212 283 294 305 307 366 460 561 591 650 667 674 782 783 790 794 807 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1380 1384 1683 1750 1873 1911 1917 1954 1975 2016 2018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1,1.0
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 216 219 228 233 295 314 367 371 463 464 515 531 547 650 699 732 811 872 875 888 918 935 985 1010 1028 1044 1089 1101 1145 1380 1395 1422 1441 1446 1457 1480 1482 1539 1548 1565 1701 1726 1750 1755 1791 1795 1825 1840 1873 1874 1928 1998,C1CCN(C1)CCN2CCN(C2=O)[N+]3=C(C=CN3C4=CC(=C(C=C4)F)F)N5C=CC(=C5)N6C=CC(=C6)F,80 92 153 197 216 219 233 295 314 371 406 418 426 463 464 531 547 570 650 682 699 732 793 872 875 926 935 953 1028 1089 1101 1145 1228 1380 1422 1441 1480 1482 1539 1548 1634 1659 1670 1690 1750 1755 1791 1803 1823 1825 1835 1840 1873 1874 1928 1998 2003,84.21052631578947,84.21052631578947,61.5625,61.5625,35.625,35.625,38.18181818181819,38.18181818181819,51.52354570637119,51.52354570637119,48.93617021276596,48.93617021276596,48.93617021276596,48.93617021276596,70.27027027027027,70.27027027027027,68.0,68.0,61.06194690265486,61.06194690265486,65.78947368421053,65.78947368421053,56.896551724137936,56.896551724137936,68.0,68.0,78.57142857142857,78.57142857142857,60.317460317460316,60.317460317460316,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,O=C1N(CCN2CCCC2)CCN1[n+]1c(-n2ccc(-n3ccc(F)c3)c2)ccn1-c1ccc(F)c(F)c1,0,0.0
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 114 117 147 225 286 350 354 389 428 436 484 486 496 550 650 692 759 807 825 849 881 926 935 949 962 966 1019 1021 1057 1088 1092 1102 1152 1183 1199 1209 1257 1259 1325 1380 1385 1393 1398 1417 1423 1443 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1972 1985 2005 2011 2017,CS(=O)(=O)N1CC[C@@H]([C@H]1[C@H](CC(C2=CC=CC=C2)(F)F)NC(=O)C3=CC=CC=C3)O,1 80 114 117 147 350 354 389 428 486 496 650 692 759 807 825 849 881 926 935 962 966 1019 1057 1088 1092 1102 1152 1183 1199 1257 1325 1380 1385 1417 1423 1453 1476 1480 1665 1742 1750 1782 1873 1917 1928 1985 2005 2011 2017,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,CS(=O)(=O)N1CC[C@H](O)[C@H]1[C@H](CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,0,0.0
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,48 80 193 197 210 255 285 290 314 322 374 389 410 486 504 562 636 638 650 695 793 805 807 813 868 875 903 926 935 972 1019 1066 1070 1088 1152 1199 1236 1317 1338 1380 1404 1489 1496 1531 1555 1573 1617 1670 1703 1750 1754 1820 1873 1887 1917 1938 1946 1991,C1C2=C(N(C(=O)N1OC(=O)NCC3=CC=CC=C3)OC4=CC=CC=C4)N5C(=O)C(=CC(=C5OC6=CC=CC=C6)C(=O)NCC7=CC=CC=C7)C(=O)N2,80 92 174 193 197 236 255 257 290 307 314 322 339 352 374 388 389 407 419 449 486 504 562 570 638 650 673 695 700 718 773 777 807 813 875 926 935 1060 1066 1068 1082 1088 1114 1144 1152 1188 1199 1317 1334 1380 1498 1545 1555 1573 1578 1617 1633 1657 1750 1754 1758 1873 1917 1946 1991 1993,56.00000000000001,56.00000000000001,59.14786967418546,59.14786967418546,44.27860696517413,44.27860696517413,40.666666666666664,40.666666666666664,33.21364452423698,33.21364452423698,35.833333333333336,35.833333333333336,35.833333333333336,35.833333333333336,48.07692307692308,48.07692307692308,45.28301886792453,45.28301886792453,40.0,40.0,46.666666666666664,46.666666666666664,44.516129032258064,44.516129032258064,45.28301886792453,45.28301886792453,61.53846153846154,61.53846153846154,45.33333333333333,45.33333333333333,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,O=C(NCc1ccccc1)ON1CC2=C(N(Oc3ccccc3)C1=O)n1c(Oc3ccccc3)c(C(=O)NCc3ccccc3)cc(c1=O)C(=O)N2,0,0.0
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 185 192 218 222 277 314 369 562 601 639 650 656 695 750 764 782 796 801 802 807 845 926 935 941 1019 1028 1049 1088 1103 1119 1126 1152 1159 1380 1417 1468 1480 1487 1500 1565 1717 1722 1748 1758 1766 1819 1917 1923 1950 1961 1982 1998 2009 2023,C1CCN(CC1)C(=O)NC(=O)O[C@@H]2[C@H]3CO[C@H]([C@@H]2OC(=O)NC(=O)N4CCCCC4)C(=O)O3,2 23 218 222 314 369 562 639 650 656 695 750 764 782 802 807 845 926 935 941 1019 1028 1088 1119 1126 1152 1380 1468 1480 1565 1718 1722 1748 1758 1819 1917 1923 1950 1982 1998 2009,92.85714285714286,92.85714285714286,84.86842105263158,84.86842105263158,100.0,100.0,100.0,100.0,50.36231884057971,50.36231884057971,63.07692307692307,63.07692307692307,63.07692307692307,63.07692307692307,60.60606060606061,60.60606060606061,60.60606060606061,60.60606060606061,58.94736842105262,58.94736842105262,60.60606060606061,60.60606060606061,60.63829787234043,60.63829787234043,60.60606060606061,60.60606060606061,100.0,100.0,92.85714285714286,92.85714285714286,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,O=C(NC(=O)N1CCCCC1)O[C@@H]1[C@H](OC(=O)NC(=O)N2CCCCC2)[C@H]2CO[C@H]1C(=O)O2,0,0.0
