id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,OCCCCN1CCCC1,51 80 222 422 473 541 594 646 653 740 743 765 774 807 810 893 926 935 997 1028 1100 1145 1157 1220 1313 1322 1422 1480 1482 1616 1791 1836 1911 1998,C1CCN(C1)CCCCN2CCN(P2(=NP3(=NP(=NP(=N3)(O)O)(O)O)N4CCCC4)N5CCCC5)CCO,80 81 163 205 222 311 378 444 451 456 473 525 569 653 681 695 725 803 807 810 893 926 935 1001 1028 1088 1145 1379 1422 1465 1480 1482 1523 1539 1559 1788 1790 1791 1828 1892 1911 1998,46.03174603174603,46.03174603174603,13.175675675675674,13.175675675675674,18.181818181818183,18.181818181818183,22.727272727272727,22.727272727272727,9.97624703087886,9.97624703087886,12.941176470588237,12.941176470588237,12.941176470588237,12.941176470588237,26.31578947368421,26.31578947368421,26.31578947368421,26.31578947368421,24.324324324324326,24.324324324324326,26.31578947368421,26.31578947368421,25.454545454545453,25.454545454545453,26.31578947368421,26.31578947368421,50.0,50.0,36.36363636363637,36.36363636363637,OCCCCN1CCCC1,OCCN1CCN(CCCCN2CCCC2)P1(=NP1(N2CCCC2)=NP(O)(O)=NP(O)(O)=N1)N1CCCC1,0,0.0
2,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,46 59 73 80 140 165 184 212 216 218 281 322 352 353 378 456 545 561 609 650 674 676 678 790 807 816 843 866 869 875 881 889 894 907 934 980 1043 1059 1081 1086 1088 1131 1164 1171 1190 1327 1334 1354 1367 1380 1384 1385 1443 1493 1497 1546 1683 1750 1825 1838 1851 1866 1873 1898 1917 1945 2018 2023 2031,C1=CC(=NN=C1)C2=C(C=CC(=C2)Cl)N(CN(CN(C#N)C3=C(C=C(C=C3)Cl)C4=NN=CC=C4)C#N)C#N,46 80 165 212 216 281 352 353 378 561 609 674 790 807 816 843 853 861 866 875 881 889 980 1012 1043 1088 1127 1164 1334 1367 1380 1384 1493 1683 1719 1750 1838 1851 1866 1873 2018,68.62745098039215,68.62745098039215,66.23376623376623,66.23376623376623,67.81609195402298,67.81609195402298,66.12903225806451,66.12903225806451,36.41160949868074,36.41160949868074,40.78947368421053,40.78947368421053,40.78947368421053,40.78947368421053,42.5,42.5,40.74074074074074,40.74074074074074,40.869565217391305,40.869565217391305,44.303797468354425,44.303797468354425,43.36283185840708,43.36283185840708,40.74074074074074,40.74074074074074,70.96774193548387,70.96774193548387,72.0,72.0,N#CN(CC(N)=O)c1ccc(Cl)cc1-c1cccnn1,N#CN(CN(C#N)c1ccc(Cl)cc1-c1cccnn1)CN(C#N)c1ccc(Cl)cc1-c1cccnn1,0,0.0
3,Cc1cc[n+](C)cc1-c1ccccc1,101 106 222 238 263 307 349 350 352 389 391 440 463 482 522 548 673 691 730 736 766 812 1003 1022 1057 1088 1149 1160 1199 1299 1380 1391 1493 1522 1527 1530 1625 1643 1674 1717 1722 1750 1758 1858 1860 1873 1948 1954 2002 2018 2020 2025,CC1=C(C=[N+](C=C1)C)C2=CC=C(C=C2)[S+]3C=CC(=C3)C4=CC=CC=C4,163 222 238 263 276 350 352 389 463 482 673 691 736 739 896 1003 1022 1057 1088 1160 1199 1299 1380 1391 1412 1528 1530 1605 1637 1640 1713 1717 1722 1750 1821 1860 1873 1964,70.96774193548387,70.96774193548387,41.35338345864661,41.35338345864661,56.25,56.25,55.319148936170215,55.319148936170215,44.84536082474227,44.84536082474227,48.07692307692308,48.07692307692308,48.07692307692308,48.07692307692308,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,54.794520547945204,54.794520547945204,56.00000000000001,56.00000000000001,54.794520547945204,54.794520547945204,56.00000000000001,56.00000000000001,73.68421052631578,73.68421052631578,63.1578947368421,63.1578947368421,Cc1cc[n+](C)cc1-c1ccccc1,Cc1cc[n+](C)cc1-c1ccc(-[s+]2ccc(-c3ccccc3)c2)cc1,0,0.0
4,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,2 16 80 129 194 202 222 348 369 387 433 505 526 650 652 678 695 739 742 746 760 777 807 814 841 853 910 913 926 935 993 1009 1019 1028 1057 1152 1168 1267 1325 1330 1348 1402 1480 1541 1564 1634 1703 1758 1798 1911 1917 1923 1951 1960 1968 1998 2009,COC(=O)NC1CCN(C1)C(=O)CCCCC(=O)N2CCC(C2)NON3CCCCC3,2 16 80 194 387 433 526 650 652 661 678 695 739 754 807 811 814 832 841 926 935 996 1009 1019 1028 1057 1118 1152 1168 1267 1325 1480 1564 1587 1634 1758 1847 1911 1917 1923 1998 2009 2031,79.36507936507937,79.36507936507937,80.15873015873017,80.15873015873017,76.92307692307693,76.92307692307693,77.14285714285715,77.14285714285715,68.91891891891892,68.91891891891892,69.81132075471697,69.81132075471697,69.81132075471697,69.81132075471697,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,70.65217391304348,70.65217391304348,77.41935483870968,77.41935483870968,70.65217391304348,70.65217391304348,77.41935483870968,77.41935483870968,88.0,88.0,77.77777777777779,77.77777777777779,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCCCC2)C1,COC(=O)NC1CCN(C(=O)CCCCC(=O)N2CCC(NON3CCCCC3)C2)C1,0,0.0
5,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,13 80 102 155 191 198 240 261 263 314 317 319 322 350 359 398 414 440 486 502 534 535 562 575 627 650 658 662 664 680 694 695 707 718 723 727 781 798 807 835 841 855 875 882 899 926 935 960 965 993 1012 1028 1034 1039 1057 1077 1088 1089 1099 1123 1133 1138 1145 1152 1174 1182 1249 1306 1380 1386 1440 1452 1476 1478 1480 1497 1499 1521 1536 1567 1606 1626 1651 1677 1738 1747 1750 1766 1816 1832 1873 1917 1935 1971 1972 1978,COC1=CC(=CC=C1)S(=O)(=O)NCC(=O)O/C=C/C2=C(C=C(N=C2)C(=O)NC3=CC=C(C=C3)OCCN4CCCC4=O)S(=O)(=O)CCN5CCCC5=O,13 49 80 102 155 191 198 314 317 319 322 350 378 392 435 445 481 486 502 535 562 575 627 650 658 662 664 694 695 707 718 781 788 798 807 835 841 843 855 875 926 935 961 993 1028 1034 1039 1057 1077 1088 1089 1099 1123 1138 1145 1152 1174 1182 1380 1386 1388 1440 1452 1476 1480 1497 1535 1536 1540 1603 1626 1674 1683 1738 1750 1816 1832 1873 1895 1917 1972 1978,89.28571428571429,89.28571428571429,64.82213438735178,64.82213438735178,48.46938775510204,48.46938775510204,47.91666666666667,47.91666666666667,64.69298245614034,64.69298245614034,59.25925925925925,59.25925925925925,60.747663551401864,60.747663551401864,75.47169811320755,75.47169811320755,69.0909090909091,69.0909090909091,65.0,65.0,66.07142857142857,66.07142857142857,60.97560975609756,60.97560975609756,69.0909090909091,69.0909090909091,80.0,80.0,71.42857142857143,71.42857142857143,COc1cccc(S(=O)(=O)NCC(=O)OC=CC2=CC=C2C(=O)Nc2ccc(OCCN3CCCC3=O)cc2)c1,COc1cccc(S(=O)(=O)NCC(=O)O/C=C/c2cnc(C(=O)Nc3ccc(OCCN4CCCC4=O)cc3)cc2S(=O)(=O)CCN2CCCC2=O)c1,0,0.0
6,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,1 46 47 76 80 102 122 212 283 294 305 307 366 430 441 460 561 591 650 667 669 674 721 782 783 790 794 807 812 822 875 881 895 932 955 989 1044 1057 1100 1136 1152 1254 1262 1296 1347 1380 1384 1676 1683 1712 1714 1750 1873 1911 1917 1954 1972 1975 2011 2016 2018,B1(C=C1)C#CC2=CC(=C(C=C2)N(CC)C(=O)C(C)NCCCC)Cl,1 46 76 80 102 212 249 283 292 294 307 366 389 430 460 561 591 650 667 674 782 783 794 807 822 875 881 895 931 932 955 989 1044 1057 1100 1152 1194 1227 1251 1254 1380 1488 1683 1714 1750 1873 1911 1917 1954 2016 2018,84.61538461538461,84.61538461538461,71.23287671232876,71.23287671232876,74.69879518072288,74.69879518072288,71.9298245614035,71.9298245614035,77.08333333333334,77.08333333333334,76.19047619047619,76.19047619047619,76.19047619047619,76.19047619047619,80.0,80.0,76.47058823529412,76.47058823529412,73.23943661971832,73.23943661971832,76.47058823529412,76.47058823529412,73.23943661971832,73.23943661971832,76.47058823529412,76.47058823529412,77.77777777777779,77.77777777777779,73.21428571428571,73.21428571428571,CCCCNC(C)C(=O)N(CC)c1ccc(C#N)cc1Cl,CCCCNC(C)C(=O)N(CC)c1ccc(C#CB2C=C2)cc1Cl,0,0.0
7,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,80 92 139 161 216 219 228 233 260 295 314 350 367 371 419 463 464 477 478 515 531 547 650 699 732 811 872 875 878 888 918 935 985 990 1010 1028 1044 1089 1101 1145 1205 1234 1380 1395 1422 1441 1446 1457 1480 1482 1524 1539 1548 1565 1701 1726 1737 1750 1755 1791 1795 1825 1840 1873 1874 1892 1909 1928 1998,C1CCN(C1)CCN2CCN(C2=O)[N+]3=CN(C=C3)C4=CN5C(=C4)C=CN(C5=O)C6=CC(=C(C=C6)F)F,80 81 92 140 210 216 219 233 287 295 314 371 395 417 456 463 464 531 564 570 601 650 677 699 771 793 872 875 926 935 943 1003 1028 1043 1089 1101 1145 1184 1213 1294 1342 1380 1422 1441 1475 1480 1482 1539 1548 1581 1659 1669 1750 1759 1791 1825 1840 1873 1928 1969 1998,80.0,80.0,60.909090909090914,60.909090909090914,40.0,40.0,44.086021505376344,44.086021505376344,58.95061728395061,58.95061728395061,47.87234042553192,47.87234042553192,47.87234042553192,47.87234042553192,72.22222222222221,72.22222222222221,69.86301369863014,69.86301369863014,57.01754385964912,57.01754385964912,67.56756756756756,67.56756756756756,58.4070796460177,58.4070796460177,69.86301369863014,69.86301369863014,68.75,68.75,47.88732394366197,47.88732394366197,O=C1N(CCN2CCCC2)CCN1c1ccn(-c2ccc(F)c(F)c2)c1,O=C1N(CCN2CCCC2)CCN1[n+]1ccn(-c2cc3ccn(-c4ccc(F)c(F)c4)c(=O)n3c2)c1,0,0.0
8,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,1 80 106 114 117 147 225 286 350 354 389 428 436 484 486 496 515 550 650 692 759 781 807 825 849 881 926 935 949 953 962 966 1019 1021 1057 1088 1092 1102 1152 1153 1183 1199 1209 1257 1259 1276 1307 1325 1380 1385 1393 1398 1417 1423 1443 1453 1476 1480 1568 1642 1665 1742 1750 1782 1873 1917 1928 1972 1985 2005 2011 2017,[3H]C(N(C(CC(C1=CC=CC=C1)(F)F)NC(=O)C2=CC=CC=C2)S(=O)(=O)C)N(C(C(C3=CC=CC=C3)(F)F)(F)F)N4CCC(C4S(=O)(=O)C)O,1 7 59 80 81 114 117 243 350 389 428 431 473 486 493 501 611 632 650 692 797 807 825 842 849 881 905 917 926 935 962 986 1019 1057 1088 1094 1102 1152 1199 1214 1257 1325 1380 1383 1385 1417 1453 1476 1480 1599 1642 1665 1668 1750 1790 1796 1840 1873 1881 1917 1928 1985 2001 2005 2011 2017 2020,85.71428571428571,85.71428571428571,64.18439716312056,64.18439716312056,42.211055276381906,42.211055276381906,42.96875,42.96875,36.248012718600954,36.248012718600954,37.06896551724138,37.06896551724138,38.26086956521739,38.26086956521739,60.0,60.0,53.84615384615385,53.84615384615385,50.3448275862069,50.3448275862069,56.86274509803921,56.86274509803921,53.52112676056338,53.52112676056338,53.84615384615385,53.84615384615385,63.829787234042556,63.829787234042556,51.94805194805194,51.94805194805194,CS(=O)(=O)N1CCC(O)C1C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1,[3H]C(N(N1CCC(O)C1S(C)(=O)=O)C(F)(F)C(F)(F)c1ccccc1)N(C(CC(F)(F)c1ccccc1)NC(=O)c1ccccc1)S(C)(=O)=O,0,0.0
9,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,27 48 80 193 197 210 255 285 290 314 322 341 374 389 410 486 504 505 562 636 638 650 695 793 805 807 813 868 875 903 926 935 937 972 1019 1066 1070 1088 1152 1192 1199 1212 1236 1317 1338 1362 1380 1404 1489 1496 1531 1555 1573 1617 1670 1684 1703 1750 1754 1820 1851 1873 1887 1910 1917 1938 1946 1991 2011,C1C2=C(N(N3N1C(=O)N(C3=O)OC4=CC=CC=C4)OC(=O)NCC5=CC=CC=C5)N(C(=O)C(=C2)C(=O)NCC6=CC=CC=C6)OC7=CC=CC=C7,48 80 197 255 277 290 314 322 327 335 339 376 379 389 486 496 504 562 638 650 695 751 771 803 807 813 875 926 935 1066 1076 1088 1132 1144 1152 1153 1188 1199 1219 1236 1248 1317 1380 1449 1537 1573 1578 1590 1633 1679 1750 1754 1758 1873 1887 1917 1946 1991,57.74647887323944,57.74647887323944,57.356608478803,57.356608478803,27.848101265822784,27.848101265822784,29.239766081871345,29.239766081871345,35.68702290076336,35.68702290076336,34.710743801652896,34.710743801652896,34.710743801652896,34.710743801652896,49.01960784313725,49.01960784313725,44.761904761904766,44.761904761904766,39.87341772151899,39.87341772151899,46.15384615384615,46.15384615384615,41.66666666666667,41.66666666666667,44.761904761904766,44.761904761904766,65.71428571428571,65.71428571428571,48.529411764705884,48.529411764705884,O=C(NCc1ccccc1)c1cc2c(Oc3ccccc3)n(c1=O)C2,O=C(NCc1ccccc1)ON1c2c(cc(C(=O)NCc3ccccc3)c(=O)n2Oc2ccccc2)Cn2c(=O)n(Oc3ccccc3)c(=O)n21,0,0.0
10,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,2 16 84 171 185 192 218 222 277 314 369 435 562 601 639 650 656 695 750 764 782 796 801 802 807 835 845 926 935 941 1019 1028 1049 1088 1103 1105 1119 1126 1152 1159 1280 1338 1380 1417 1468 1480 1487 1500 1565 1717 1722 1748 1754 1758 1766 1819 1917 1923 1950 1961 1982 1998 2009 2023,C1CCN(CC1)C(=O)N/C(=C\2/C=C([C@H]3OC[C@H]([C@H]2OC(=O)NC(=O)N4CCCCC4)OC3=O)C)/[C@H]5[C@@H]([C@H]6[C@H](CO5)OC(=O)[C@H](O6)O7)OC(=O)N8CCCCC8,InvalidSMILE,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,O=C(NC(=O)N1CCCCC1)OC1C2COC1C(=O)O2,InvalidSMILE,0,
