%noise_0,%noise_1,Avg_Tc,Tc_exacts,Avg_Canonical_SMILES,%invalid
0.0,0.0,96.35182345875673,86.55000000000001,64.05,0.2
0.2,0.0,90.99038600417568,73.15,53.400000000000006,0.65
0.6,0.0,74.09312365802157,33.35,23.35,2.65
1.0,0.0,62.68071085964842,15.25,10.3,5.3
2.0,0.0,48.79807218160582,5.2,3.85,12.1
4.0,0.0,30.87821792668672,0.6,0.5,20.95
10.0,0.0,12.513107763251837,0.0,0.0,38.0
0.0,1.0,95.40077672337658,83.35000000000001,61.55,0.35
0.0,10.0,83.1471242430677,49.15,37.9,2.45
0.2,0.2,90.78371557661526,72.05,52.6,0.65
0.6,0.6,73.26759525851799,31.8,22.35,2.9000000000000004
1.0,1.0,61.927124176872745,14.15,9.75,5.65
