id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 80 94 114 118 227 283 351 392 404 444 486 644 655 658 695 740 743 807 841 875 1005 1057 1153 1157 1220 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1836 1873 1911 1970 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OC[C@H](C[NH2+]CCCOC)O,1 13 33 80 94 114 118 227 283 351 392 404 444 486 644 655 658 695 807 841 875 1005 1057 1153 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1873 1911 1970 2007 2012 2038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COCCC[NH2+]C[C@H](O)COc1ccc(C(C)(C)C)cc1C,COCCC[NH2+]C[C@H](O)COc1ccc(C(C)(C)C)cc1C,1,1.0
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 114 136 456 545 561 1050 1385 1434 1443 1453 1928 2023 2039,C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)F)(F)F)F,1 114 136 561 569 710 825 939 1050 1398 1434 1448 1453 1511 1833 1853 1928,100.0,100.0,54.90196078431373,54.90196078431373,72.22222222222221,72.22222222222221,66.66666666666666,66.66666666666666,10.022271714922049,10.022271714922049,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,24.390243902439025,24.390243902439025,24.390243902439025,24.390243902439025,22.448979591836736,22.448979591836736,24.390243902439025,24.390243902439025,22.448979591836736,22.448979591836736,24.390243902439025,24.390243902439025,70.0,70.0,44.44444444444444,44.44444444444444,FC(C(F)(F)F)C(F)(F)[18F],FC(C(F)(F)F)C(F)(F)C(F)C(F)(F)C(F)C(F)(F)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)(F)C(F)C(F)(F)F,0,0.0
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,1 14 80 145 196 237 241 325 330 383 387 391 428 573 581 606 610 626 650 656 675 695 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1152 1199 1238 1256 1259 1325 1380 1385 1391 1522 1567 1608 1634 1655 1661 1674 1697 1715 1722 1750 1790 1802 1858 1873 1917 1985 1999 2002 2025,CC1=CC=CC=C1C(C(=O)NC2CCCC2)N(C3=CC=C(C=C3)C(=O)OC)C(=O)CC4=CC=CS4,1 14 80 145 196 237 241 325 330 383 387 428 573 581 606 610 626 650 656 675 695 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1152 1199 1238 1256 1259 1325 1380 1385 1391 1567 1608 1634 1655 1661 1697 1715 1722 1750 1790 1802 1873 1917 1985 1999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,1,1.0
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 145 147 162 191 202 216 219 233 235 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 913 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1703 1722 1750 1788 1803 1816 1817 1823 1825 1917 1920 1935,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl,5 41 63 80 89 121 145 147 162 191 216 219 233 235 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.06576402321085,98.06576402321085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,CCOC(=O)c1ccc(NC(=O)Cn2c3c(sc2=O)C(c2ccc(Cl)cc2)C2C4CC(C2S3)C2C(=O)N(c3ccc(C)cc3)C(=O)C42)cc1,CCOC(=O)c1ccc(N2C(=O)C3C4CC(C3C2=O)C2C(c3ccc(Cl)cc3)c3sc(=O)n(CC(=O)Nc5ccc(C)cc5)c3SC42)cc1,0,0.0
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 295 311 314 366 378 448 534 561 650 667 689 724 739 775 798 807 828 926 935 960 965 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1651 1683 1750 1765 1819 1866 1873 1917 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1683 1750 1765 1819 1866 1873 1917 1984 1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,O=C(NCCc1ccccn1)[C@@H]1CC(=O)N(Cc2ccccc2Cl)C1,O=C(NCCc1ccccn1)C1CC(=O)N(Cc2ccccc2Cl)C1,0,0.0
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,122 324 347 366 378 389 456 491 540 561 563 650 708 721 807 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1262 1296 1357 1380 1385 1452 1535 1573 1676 1683 1696 1714 1750 1768 1855 1873 1905 1917 1990 2008,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=C(C=C(C=N4)C(=O)O)Cl,324 347 366 378 389 456 491 510 540 561 563 650 708 807 875 925 1039 1087 1088 1104 1138 1152 1199 1207 1224 1357 1380 1385 1452 1535 1573 1683 1696 1750 1768 1787 1855 1873 1905 1917 1990 2008,85.0,85.0,82.63888888888889,82.63888888888889,88.0,88.0,88.0,88.0,58.51851851851851,58.51851851851851,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,67.74193548387096,67.74193548387096,67.74193548387096,67.74193548387096,68.18181818181817,68.18181818181817,67.74193548387096,67.74193548387096,68.18181818181817,68.18181818181817,67.74193548387096,67.74193548387096,100.0,100.0,92.85714285714286,92.85714285714286,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Cl)c1,O=C(O)c1cnc(Nc2cc(C(=O)O)cnc2Nc2cccc3ccccc23)c(Cl)c1,0,0.0
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 319 350 389 575 650 694 695 725 761 835 837 841 878 888 918 940 977 989 1057 1088 1115 1199 1308 1353 1380 1390 1422 1476 1624 1723 1750 1857 1858 1873 2033,CO/N=C/C(/C=C/C1=CC=CC=C1)C(S(=O)(=O)C2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3,1 260 319 350 389 438 450 575 650 694 695 725 810 835 837 841 878 940 977 989 1057 1088 1199 1234 1308 1353 1380 1422 1476 1624 1723 1750 1787 1857 1873 1944 2033,92.3076923076923,92.3076923076923,52.11267605633802,52.11267605633802,63.095238095238095,63.095238095238095,67.24137931034483,67.24137931034483,42.05882352941177,42.05882352941177,42.028985507246375,42.028985507246375,42.028985507246375,42.028985507246375,68.75,68.75,66.15384615384615,66.15384615384615,62.10526315789474,62.10526315789474,68.75,68.75,67.3913043478261,67.3913043478261,66.15384615384615,66.15384615384615,87.5,87.5,73.17073170731707,73.17073170731707,CO/N=C\C(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1,CO/N=C/C(/C=C/c1ccccc1)C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,0,0.0
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 112 314 436 650 935 1380 1393 1398 1680 1750 1873 1944 1963 2029,C1=CC2=C3C=CC(=O)C(=O)C=C3N2C4=C1C(=O)C=C4,37 112 129 314 352 401 414 418 428 479 650 680 875 920 935 1064 1295 1380 1692 1710 1740 1750 1873 1915 1929 1944 1963 1993 2029,47.368421052631575,47.368421052631575,29.310344827586203,29.310344827586203,22.47191011235955,22.47191011235955,22.41379310344828,22.41379310344828,28.57142857142857,28.57142857142857,37.735849056603776,37.735849056603776,37.735849056603776,37.735849056603776,52.63157894736842,52.63157894736842,48.71794871794872,48.71794871794872,38.983050847457626,38.983050847457626,48.71794871794872,48.71794871794872,38.983050847457626,38.983050847457626,48.71794871794872,48.71794871794872,50.0,50.0,33.33333333333333,33.33333333333333,O=c1ccc2c(=O)ccc1=2,O=c1ccc2c3ccc4c(=O)ccc=4n-3c-2cc1=O,0,0.0
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,80 210 248 290 314 319 378 507 534 569 584 650 656 684 724 868 875 881 910 926 939 988 1000 1019 1057 1060 1064 1101 1114 1163 1171 1184 1236 1380 1398 1457 1542 1557 1575 1646 1665 1689 1722 1738 1742 1873 1982 1997 2018,CC1=CC(=NO1)CN(C)C2=C(C=C3CCC(=O)NC3=C2)N,80 248 314 319 378 507 534 569 584 650 656 684 724 875 881 910 926 939 988 1000 1057 1060 1064 1101 1114 1163 1171 1184 1236 1380 1398 1457 1542 1557 1575 1646 1665 1689 1722 1738 1742 1873 1982 1997 2018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Cc1cc(CN(C)c2cc3c(cc2N)CCC(=O)N3)no1,Cc1cc(CN(C)c2cc3c(cc2N)CCC(=O)N3)no1,1,1.0
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 29 45 75 80 118 192 223 227 277 313 328 329 343 463 522 564 582 597 598 673 687 695 796 801 807 870 914 923 926 935 971 983 1019 1057 1088 1128 1136 1147 1199 1285 1325 1380 1427 1455 1475 1605 1750 1873 1922 1971 1992 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CCC=CC3)O,1 29 45 75 80 118 223 227 313 328 329 343 463 522 564 582 597 598 673 687 695 807 870 914 923 926 935 971 983 1019 1057 1088 1128 1136 1147 1199 1285 1325 1380 1427 1455 1475 1605 1750 1873 1922 1971 1992 2038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,C[n+]1cn(C[C@H](O)COC[C@H]2CC=CCC2)c2ccccc21,C[n+]1cn(CC(O)COCC2CC=CCC2)c2ccccc21,0,0.0
