id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 80 94 114 118 227 283 351 392 404 422 444 486 644 646 655 658 695 740 743 774 807 810 841 875 997 1005 1057 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1616 1663 1665 1722 1724 1750 1836 1873 1911 1970 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OC[C@@H](C[NH2+]CCCOC)O,1 13 33 80 94 114 118 227 283 351 392 404 444 486 644 655 658 695 807 841 875 1005 1057 1153 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1873 1911 1970 2007 2012 2038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COCCC[NH2+]C[C@H](O)COc1ccc(C(C)(C)C)cc1C,COCCC[NH2+]C[C@@H](O)COc1ccc(C(C)(C)C)cc1C,0,0.0
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 114 136 218 322 456 545 561 676 1050 1059 1081 1086 1131 1354 1385 1434 1443 1453 1928 1945 2023 2031 2039,C(C(C(C(C(C(F)(F)F)F)(F)F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)F)F)F,1 114 119 136 340 561 569 588 710 719 825 939 972 1050 1286 1398 1434 1448 1453 1518 1795 1833 1928,83.33333333333334,83.33333333333334,17.94871794871795,17.94871794871795,59.09090909090909,59.09090909090909,66.66666666666666,66.66666666666666,8.395522388059701,8.395522388059701,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,23.25581395348837,23.25581395348837,23.25581395348837,23.25581395348837,21.568627450980397,21.568627450980397,23.25581395348837,23.25581395348837,21.568627450980397,21.568627450980397,23.25581395348837,23.25581395348837,63.63636363636363,63.63636363636363,33.33333333333333,33.33333333333333,FC(C(F)(F)F)C(F)(F)[18F],FC(C(F)(F)F)C(F)(F)C(F)C(F)(F)C(F)(C(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)(F)F,0,0.0
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,1 14 80 106 145 196 237 241 325 330 383 387 391 428 440 522 573 581 606 610 626 650 656 675 695 766 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1149 1152 1199 1238 1256 1259 1325 1380 1385 1391 1493 1522 1567 1608 1625 1634 1655 1661 1674 1697 1715 1722 1750 1758 1790 1802 1858 1873 1917 1985 1999 2002 2020 2025,CC1=CC=CC=C1C(C(=O)NC2CCCC2)N(C3=CC=C(C=C3)C(=O)OC)C(=O)CC4=CC=CS4,1 14 80 145 196 237 241 325 330 383 387 428 573 581 606 610 626 650 656 675 695 807 841 881 890 906 911 926 960 1019 1028 1057 1088 1096 1102 1152 1199 1238 1256 1259 1325 1380 1385 1391 1567 1608 1634 1655 1661 1697 1715 1722 1750 1790 1802 1873 1917 1985 1999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,1,1.0
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 129 145 147 162 191 202 216 219 222 233 235 294 314 382 461 505 555 561 606 620 622 650 670 675 695 746 759 777 802 807 816 843 854 901 913 924 926 935 993 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1402 1443 1453 1457 1464 1522 1683 1686 1697 1703 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935 1960 1968,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl,5 41 63 80 89 121 145 147 162 191 216 219 233 235 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.06576402321085,98.06576402321085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,CCOC(=O)c1ccc(NC(=O)Cn2c3c(sc2=O)C(c2ccc(Cl)cc2)C2C4CC(C2S3)C2C(=O)N(c3ccc(C)cc3)C(=O)C42)cc1,CCOC(=O)c1ccc(N2C(=O)C3C4CC(C3C2=O)C2C(c3ccc(Cl)cc3)c3sc(=O)n(CC(=O)Nc5ccc(C)cc5)c3SC42)cc1,0,0.0
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 295 311 314 366 378 398 440 448 534 561 650 667 689 723 724 739 775 798 807 828 882 899 926 935 960 965 974 1012 1019 1028 1088 1089 1137 1152 1153 1155 1174 1199 1243 1306 1344 1349 1380 1452 1499 1521 1597 1598 1606 1651 1683 1750 1765 1819 1866 1873 1917 1971 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1683 1750 1765 1819 1866 1873 1917 1984 1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,O=C(NCCc1ccccn1)[C@@H]1CC(=O)N(Cc2ccccc2Cl)C1,O=C(NCCc1ccccn1)C1CC(=O)N(Cc2ccccc2Cl)C1,0,0.0
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,47 122 324 347 366 378 389 430 441 456 491 540 561 563 650 708 721 807 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1262 1296 1357 1380 1385 1452 1535 1573 1676 1683 1696 1714 1750 1768 1855 1873 1905 1917 1972 1990 2008 2011,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=NC(=C(C=N4)Cl)NC5=CC=CC6=CC=CC=C65,233 366 378 389 456 458 491 510 540 544 555 561 563 601 650 708 721 807 875 925 1039 1087 1088 1104 1138 1152 1199 1224 1357 1366 1380 1385 1452 1535 1573 1582 1683 1696 1750 1768 1787 1855 1873 1905 1917 1990 2008,82.92682926829268,82.92682926829268,73.24840764331209,73.24840764331209,72.09302325581395,72.09302325581395,70.6896551724138,70.6896551724138,43.57541899441341,43.57541899441341,48.23529411764706,48.23529411764706,48.23529411764706,48.23529411764706,53.84615384615385,53.84615384615385,53.84615384615385,53.84615384615385,48.71794871794872,48.71794871794872,53.84615384615385,53.84615384615385,50.0,50.0,53.84615384615385,53.84615384615385,95.83333333333334,95.83333333333334,72.0,72.0,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Cl)c1,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Nc2ncc(Cl)c(Nc3cccc4ccccc34)n2)c1,0,0.0
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 228 319 350 367 389 463 515 575 650 694 695 725 761 835 837 841 878 888 918 940 977 989 1010 1044 1057 1088 1115 1199 1308 1353 1380 1390 1422 1446 1476 1565 1624 1723 1726 1750 1795 1857 1858 1873 2033,CO/N=C/C(/C(=C/C(/C=C/C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2)/C(/C=N/OC)S(=O)(=O)C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4,1 126 319 350 389 575 650 694 695 725 742 745 761 807 835 837 841 878 940 977 989 1057 1088 1175 1199 1254 1255 1308 1353 1380 1390 1422 1476 1561 1624 1723 1744 1750 1857 1873 1923 2033,88.09523809523809,88.09523809523809,70.67669172932331,70.67669172932331,79.26829268292683,79.26829268292683,79.66101694915254,79.66101694915254,31.59922928709056,31.59922928709056,38.297872340425535,38.297872340425535,38.297872340425535,38.297872340425535,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,44.20289855072464,44.20289855072464,45.83333333333333,45.83333333333333,45.25547445255474,45.25547445255474,45.83333333333333,45.83333333333333,84.61538461538461,84.61538461538461,72.72727272727273,72.72727272727273,CO/N=C\C(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1,CO/N=C/C(C(=CC(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1)C(/C=N/OC)S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,0,0.0
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 112 225 286 314 436 484 550 650 935 949 1021 1209 1259 1380 1393 1398 1443 1680 1750 1873 1944 1963 1972 2029,C1=CC2=C3C=CC(=O)C(=[N+]([N-]3)C4=CC=C(C=C4)C5=C6C=CC(=O)C(=C7C=CC(=O)C(=C2C=CC1=O)[N-]7)C=C6)C=C5,87 112 203 263 314 320 343 405 463 613 639 650 691 696 707 779 832 941 944 946 952 1000 1087 1104 1118 1159 1208 1247 1259 1357 1380 1599 1609 1658 1683 1733 1750 1796 1855 1872 1873 1944,30.0,30.0,23.39449541284404,23.39449541284404,16.666666666666664,16.666666666666664,21.428571428571427,21.428571428571427,9.01803607214429,9.01803607214429,22.68041237113402,22.68041237113402,22.68041237113402,22.68041237113402,25.0,25.0,21.951219512195124,21.951219512195124,16.129032258064516,16.129032258064516,21.951219512195124,21.951219512195124,16.129032258064516,16.129032258064516,21.951219512195124,21.951219512195124,31.57894736842105,31.57894736842105,15.217391304347828,15.217391304347828,O=c1ccc2c(=O)ccc1=2,O=c1ccc2c3ccc(=O)c4ccc(c5ccc(=O)c(cc5)c5ccc(=O)c([n-]5)c2cc1)c1ccc(cc1)[n+]4[n-]3,0,0.0
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,80 210 248 285 290 314 319 378 410 507 534 569 584 636 650 656 684 724 793 868 875 881 910 926 939 972 988 1000 1019 1057 1060 1064 1070 1101 1114 1163 1171 1184 1236 1338 1380 1398 1404 1457 1531 1542 1557 1575 1646 1665 1689 1703 1722 1738 1742 1873 1938 1982 1997 2018,CC1=CC(=NO1)CN(C)C2C3(O2)C(O3)N(C)C4=C(C=C5CCC(=O)NC5=C4)N,3 72 80 248 314 378 507 569 584 643 650 656 684 724 726 794 875 881 910 926 939 955 976 988 1000 1019 1057 1060 1064 1070 1114 1163 1171 1184 1236 1274 1278 1284 1350 1380 1398 1457 1542 1575 1646 1665 1689 1691 1722 1738 1742 1873 1982 1997 2018,84.72222222222221,84.72222222222221,77.60252365930599,77.60252365930599,62.5,62.5,66.34615384615384,66.34615384615384,46.99248120300752,46.99248120300752,54.929577464788736,54.929577464788736,54.929577464788736,54.929577464788736,75.0,75.0,71.9298245614035,71.9298245614035,66.26506024096386,66.26506024096386,71.9298245614035,71.9298245614035,66.26506024096386,66.26506024096386,71.9298245614035,71.9298245614035,80.0,80.0,69.49152542372882,69.49152542372882,Cc1cc(CN(C)c2cc3c(cc2N)CCC(=O)N3)no1,Cc1cc(CN(C)C2OC23OC3N(C)c2cc3c(cc2N)CCC(=O)N3)no1,0,0.0
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 29 45 75 80 118 185 192 223 227 277 313 328 329 343 463 522 564 582 597 598 601 673 687 695 796 801 807 870 914 923 926 935 971 983 1019 1057 1088 1103 1128 1136 1147 1159 1199 1285 1325 1380 1417 1427 1455 1475 1487 1500 1605 1717 1750 1766 1873 1922 1961 1971 1992 2023 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CCC=CC3)O,1 29 45 75 80 118 223 227 313 328 329 343 463 522 564 582 597 598 673 687 695 807 870 914 923 926 935 971 983 1019 1057 1088 1128 1136 1147 1199 1285 1325 1380 1427 1455 1475 1605 1750 1873 1922 1971 1992 2038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,C[n+]1cn(C[C@H](O)COC[C@H]2CC=CCC2)c2ccccc21,C[n+]1cn(CC(O)COCC2CC=CCC2)c2ccccc21,0,0.0
