id,SMILES_input,fingerprints_input_ECFP4,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 51 80 94 114 118 204 227 238 283 351 392 394 404 422 444 486 518 534 594 644 646 655 658 695 740 743 765 774 796 807 810 811 825 840 841 875 997 1005 1044 1057 1100 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1567 1616 1663 1665 1722 1724 1750 1836 1873 1910 1911 1928 1948 1951 1970 2007 2012 2022 2038,CC1=CC(=C(C=C1OCC(C[NH2+]CCCOC)O)C)OP2(=C(C=C(C=C2C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)CC(C)(C)C,1 13 51 80 84 114 118 131 223 227 273 283 351 392 404 422 425 444 486 644 646 648 658 695 760 790 807 810 825 841 875 905 969 972 997 1005 1057 1078 1131 1153 1229 1339 1353 1380 1391 1425 1452 1536 1663 1711 1722 1724 1778 1787 1865 1873 1911 1970 1982 2007 2027 2038,80.95238095238095,80.95238095238095,33.46153846153846,33.46153846153846,30.76923076923077,30.76923076923077,35.869565217391305,35.869565217391305,27.308447937131632,27.308447937131632,29.88505747126437,29.88505747126437,29.88505747126437,29.88505747126437,48.888888888888886,48.888888888888886,44.08602150537634,44.08602150537634,41.26984126984127,41.26984126984127,45.65217391304348,45.65217391304348,43.54838709677419,43.54838709677419,44.08602150537634,44.08602150537634,66.66666666666666,66.66666666666666,52.17391304347826,52.17391304347826,COCCC[NH2+]C[C@H](O)COc1ccc(C(C)(C)C)cc1C,COCCC[NH2+]CC(O)COc1cc(C)c(OP2(C(C)CC(C)(C)C)=C(C(C)(C)C)C=C(C(C)(C)C)C=C2C(C)(C)C)cc1C,0,0.0
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 59 70 114 125 136 184 208 218 240 306 321 322 404 545 561 676 678 695 719 741 869 894 934 1050 1059 1081 1086 1109 1131 1208 1327 1354 1385 1443 1453 1475 1497 1528 1565 1589 1825 1864 1916 1928 1945 1976 2023 2031 2039,C(C(C(F)(F)F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)OC(C(C(F)(F)F)(C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)C(CSCCl)F,1 28 58 59 80 114 116 136 185 216 266 278 324 380 424 476 524 573 695 737 897 953 1050 1093 1109 1124 1180 1189 1220 1347 1395 1399 1423 1453 1625 1683 1832 1928 1999,26.31578947368421,26.31578947368421,13.930348258706468,13.930348258706468,21.311475409836063,21.311475409836063,16.666666666666664,16.666666666666664,5.408653846153847,5.408653846153847,4.918032786885246,4.918032786885246,4.918032786885246,4.918032786885246,19.230769230769237,19.230769230769237,18.09523809523809,18.09523809523809,14.728682170542635,14.728682170542635,19.230769230769237,19.230769230769237,16.535433070866144,16.535433070866144,18.09523809523809,18.09523809523809,26.08695652173913,26.08695652173913,14.285714285714285,14.285714285714285,FC(C(F)(F)F)C(F)(F)[18F],FC(C(C(F)(F)F)C(OC(C(F)CSCCl)(C(F)(F)F)C(OC(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0,0.0
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,14 80 101 106 145 196 237 238 241 288 307 308 325 330 349 383 387 391 428 440 447 500 522 548 573 581 606 610 626 650 656 675 680 695 730 745 766 807 812 841 881 890 906 911 960 1019 1022 1028 1057 1088 1096 1102 1112 1149 1152 1197 1199 1238 1259 1280 1325 1380 1385 1391 1424 1493 1522 1527 1567 1604 1608 1625 1634 1643 1655 1661 1674 1697 1700 1715 1722 1750 1758 1772 1773 1789 1790 1802 1848 1858 1864 1873 1917 1922 1934 1948 1954 1985 1999 2002 2018 2020 2025,[S+]1(C(N(C(=O)Cc2oc(cc2)C)c2ccc(cc2)C(=O)OC)C([S+](C1)C)C(=O)NC1CCCC1)OCc1sccc1,14 80 145 172 196 241 250 325 346 383 387 428 442 606 650 656 675 689 695 705 745 750 807 830 841 881 890 906 926 960 1019 1022 1028 1048 1051 1057 1081 1085 1088 1096 1152 1156 1212 1238 1256 1300 1325 1380 1385 1446 1496 1540 1567 1580 1585 1602 1604 1634 1654 1655 1697 1712 1715 1722 1742 1750 1841 1873 1874 1890 1898 1917 1934 1976,63.013698630136986,63.013698630136986,58.42293906810036,58.42293906810036,40.68627450980392,40.68627450980392,40.13605442176871,40.13605442176871,43.604651162790695,43.604651162790695,42.99065420560748,42.99065420560748,44.33962264150944,44.33962264150944,72.72727272727273,72.72727272727273,65.21739130434783,65.21739130434783,53.90070921985816,53.90070921985816,70.78651685393258,70.78651685393258,63.1578947368421,63.1578947368421,65.21739130434783,65.21739130434783,59.18367346938776,59.18367346938776,44.56521739130434,44.56521739130434,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,COC(=O)c1ccc(N(C(=O)Cc2ccc(C)o2)C2C(C(=O)NC3CCCC3)[S+](C)C[S+]2OCc2cccs2)cc1,0,0.0
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 85 89 121 129 145 147 149 162 191 202 216 219 222 233 235 239 294 314 348 382 461 489 505 555 561 606 620 622 650 670 675 695 742 746 759 777 786 802 807 816 843 853 854 901 910 913 924 926 935 963 967 993 994 1006 1014 1019 1024 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1318 1330 1337 1348 1357 1362 1380 1402 1440 1443 1453 1457 1464 1495 1522 1541 1623 1683 1686 1697 1703 1722 1750 1788 1798 1803 1816 1817 1823 1825 1917 1920 1931 1935 1938 1951 1960 1965 1968,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)Cl)C8=CC=C(C=C8)Cl,5 41 63 80 89 121 145 147 162 191 216 219 233 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1825 1873 1917 1935,98.50746268656717,98.50746268656717,100.0,100.0,100.0,100.0,100.0,100.0,95.41984732824427,95.41984732824427,96.8503937007874,96.8503937007874,96.8503937007874,96.8503937007874,96.0,96.0,94.05940594059405,94.05940594059405,91.72413793103448,91.72413793103448,94.05940594059405,94.05940594059405,91.72413793103448,91.72413793103448,94.05940594059405,94.05940594059405,95.55555555555556,95.55555555555556,96.1038961038961,96.1038961038961,CCOC(=O)c1ccc(NC(=O)Cn2c3c(sc2=O)C(c2ccc(Cl)cc2)C2C4CC(C2S3)C2C(=O)N(c3ccc(C)cc3)C(=O)C42)cc1,CCOC(=O)c1ccc(N2C(=O)C3C4CC(C3C2=O)C2C(c3ccc(Cl)cc3)c3sc(=O)n(CC(=O)Nc5ccc(Cl)cc5)c3SC42)cc1,0,0.0
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 175 197 198 221 231 240 246 248 295 311 314 366 378 398 440 443 448 517 534 561 584 611 641 650 665 667 684 688 689 723 724 739 775 798 807 828 855 882 886 899 910 926 935 936 960 965 974 1012 1019 1028 1067 1088 1089 1133 1137 1152 1153 1155 1174 1193 1199 1243 1306 1307 1319 1344 1349 1380 1452 1478 1499 1521 1558 1597 1598 1606 1651 1669 1683 1747 1750 1765 1781 1819 1820 1844 1866 1873 1917 1935 1971 1984 1990 2029 2030,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1683 1750 1765 1819 1866 1873 1917 1984 1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,O=C(NCCc1ccccn1)[C@@H]1CC(=O)N(Cc2ccccc2Cl)C1,O=C(NCCc1ccccn1)C1CC(=O)N(Cc2ccccc2Cl)C1,0,0.0
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,31 47 122 191 193 239 324 347 366 378 387 389 419 430 441 456 491 540 561 563 586 650 669 698 701 708 721 807 812 875 924 1039 1087 1088 1104 1138 1152 1199 1207 1224 1245 1262 1296 1347 1357 1380 1385 1429 1445 1452 1458 1483 1513 1535 1573 1667 1676 1683 1696 1712 1714 1750 1768 1855 1873 1905 1917 1972 1978 1990 2008 2011,C1=CC=C2C(=C1)C=CC=C2NC3=CC(=NC=C3Cl)C4=NC(=C(C(=N4)NC5=CC=CC6=CC=CC=C65)C(=O)O)NC7=CC(=CN=C7)C(=O)O,90 142 170 191 266 366 378 389 456 491 500 530 540 561 563 586 650 708 721 807 875 888 933 955 980 1039 1064 1087 1088 1104 1138 1141 1152 1199 1224 1289 1357 1380 1385 1413 1452 1509 1535 1573 1588 1603 1683 1696 1750 1855 1873 1905 1917 1953 1962 2008,80.95238095238095,80.95238095238095,65.71428571428571,65.71428571428571,58.87850467289719,58.87850467289719,57.53424657534247,57.53424657534247,32.70042194092827,32.70042194092827,36.11111111111111,36.11111111111111,36.11111111111111,36.11111111111111,43.75,43.75,43.75,43.75,38.19444444444444,38.19444444444444,43.75,43.75,39.16083916083916,39.16083916083916,43.75,43.75,85.18518518518519,85.18518518518519,55.73770491803278,55.73770491803278,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Cl)c1,O=C(O)c1cncc(Nc2nc(-c3cc(Nc4cccc5ccccc45)c(Cl)cn3)nc(Nc3cccc4ccccc34)c2C(=O)O)c1,0,0.0
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 161 228 239 260 319 350 352 367 389 417 419 463 477 478 505 515 575 639 650 694 695 725 737 761 835 837 841 864 878 888 911 918 940 974 977 989 990 1010 1044 1057 1080 1088 1115 1163 1199 1205 1234 1279 1308 1353 1380 1390 1419 1422 1446 1476 1524 1552 1565 1568 1624 1681 1723 1726 1737 1750 1795 1857 1858 1873 1892 1909 1959 2027 2033,CO/N=C/C1=C(/C(=[N+](\C(/C=C/C2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3)/O/N=C/C4=CC=CC=C4)/C=C1)/C=N/OC,1 11 270 284 304 319 350 389 400 417 446 547 575 650 694 695 725 733 778 835 837 841 864 878 928 940 960 977 989 990 994 1041 1057 1077 1088 1199 1273 1299 1308 1353 1369 1380 1422 1476 1487 1530 1570 1624 1750 1826 1873 1963 2033,65.45454545454545,65.45454545454545,47.28260869565217,47.28260869565217,40.44117647058824,40.44117647058824,44.21052631578947,44.21052631578947,37.71712158808933,37.71712158808933,36.14457831325301,36.14457831325301,36.14457831325301,36.14457831325301,53.65853658536586,53.65853658536586,50.0,50.0,45.6,45.6,51.80722891566265,51.80722891566265,46.774193548387096,46.774193548387096,50.0,50.0,64.51612903225806,64.51612903225806,47.45762711864407,47.45762711864407,CO/N=C\C(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1,CO/N=C/C1=C(/C=N/OC)/C(=[N+](/O/N=C/c2ccccc2)C(/C=C/c2ccccc2)S(=O)(=O)c2ccccc2)C=C1,0,0.0
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 54 106 112 132 180 202 225 283 286 314 436 484 515 550 570 632 635 650 666 753 781 845 906 935 949 953 1018 1020 1021 1107 1188 1209 1233 1259 1268 1275 1276 1307 1364 1380 1393 1398 1443 1490 1545 1568 1569 1617 1642 1680 1689 1750 1805 1873 1884 1944 1948 1963 1972 2029,C1=CC2=C3C=CC(=O)C(=C4C=CC(=C5C=CC(=C6C=CC(=O)C(=C7C=CC(=C2C1=C[N-])C=C7)N65)C=C4)C=C3)[Sn](C8=CC=CC=C8)(C9=CC=C9)C=O,45 112 164 199 203 314 345 389 422 502 547 548 645 650 663 668 694 706 714 725 772 812 819 862 890 922 935 944 1004 1088 1104 1186 1188 1199 1214 1249 1251 1252 1276 1303 1333 1357 1380 1440 1449 1584 1637 1649 1701 1719 1733 1750 1855 1873 1940 1944 1984 2021,40.47619047619048,40.47619047619048,20.0,20.0,7.339449541284404,7.339449541284404,8.955223880597014,8.955223880597014,6.285714285714287,6.285714285714287,14.705882352941178,14.705882352941178,14.705882352941178,14.705882352941178,19.607843137254903,19.607843137254903,17.307692307692307,17.307692307692307,12.82051282051282,12.82051282051282,17.307692307692307,17.307692307692307,12.82051282051282,12.82051282051282,17.307692307692307,17.307692307692307,20.0,20.0,11.29032258064516,11.29032258064516,O=c1ccc2c(=O)ccc1=2,[N-]C=c1ccc2c3ccc(=O)[c]([Sn]([CH]=O)([C]4=CC=C4)[c]4ccccc4)c4ccc5ccc(c(cc4)cc3)n3c5ccc(=O)c3c3ccc(cc3)c12,0,0.0
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,23 27 80 210 229 248 278 285 290 314 319 326 341 378 410 505 507 512 528 534 569 584 631 636 650 656 684 724 793 841 868 875 881 896 910 916 926 937 939 972 988 1000 1019 1045 1057 1064 1070 1101 1114 1163 1171 1184 1192 1212 1236 1272 1281 1338 1349 1350 1362 1380 1398 1404 1443 1457 1523 1531 1542 1557 1575 1623 1646 1665 1684 1689 1703 1722 1738 1742 1772 1785 1789 1851 1873 1910 1938 1982 1997 2011 2018 2042,CC1=CC(=NO1)CN(C)C2=C(C=C3CCC(=O)NC3=C2)N(C)CC4=C(C=C5C(=C4)CCC(=O)N5)N(C)CC6=C(C=C7C(=C6)CCC(=O)N7)N,46 80 248 268 314 319 335 342 378 453 507 569 584 650 656 724 875 881 910 926 939 988 1057 1060 1064 1101 1114 1125 1163 1171 1181 1184 1236 1274 1349 1380 1398 1457 1542 1557 1575 1646 1665 1689 1722 1738 1742 1873 1882 1982 1997 2018,89.70588235294117,89.70588235294117,91.07806691449817,91.07806691449817,97.9381443298969,97.9381443298969,98.64864864864865,98.64864864864865,32.150313152400834,32.150313152400834,37.61467889908257,37.61467889908257,37.61467889908257,37.61467889908257,42.85714285714285,42.85714285714285,42.85714285714285,42.85714285714285,39.436619718309856,39.436619718309856,42.85714285714285,42.85714285714285,39.436619718309856,39.436619718309856,42.85714285714285,42.85714285714285,96.66666666666669,96.66666666666669,76.36363636363637,76.36363636363637,Cc1cc(CN(C)c2cc3c(cc2N)CCC(=O)N3)no1,Cc1cc(CN(C)c2cc3c(cc2N(C)Cc2cc4c(cc2N(C)Cc2cc5c(cc2N)NC(=O)CC5)NC(=O)CC4)CCC(=O)N3)no1,0,0.0
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 16 29 45 75 80 84 113 118 166 171 185 192 223 227 277 313 328 329 343 383 435 463 522 564 579 582 597 598 601 649 668 673 687 695 796 801 806 807 815 835 870 897 914 923 926 935 971 983 1019 1057 1088 1103 1105 1128 1132 1136 1159 1177 1199 1280 1285 1324 1325 1338 1380 1417 1427 1439 1455 1458 1464 1475 1487 1500 1576 1605 1653 1717 1731 1750 1754 1766 1798 1873 1876 1922 1940 1961 1971 1992 2015 2019 2023 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CCC(=C4C=CC(=P(CC5CC=CC5)(CC6CCC=CC6)CC7CC=CC7)C=C4)CC3)O,1 29 45 61 66 75 80 118 160 192 223 227 314 328 329 343 463 522 545 547 564 582 597 598 673 683 687 695 807 820 859 870 897 914 923 926 935 971 983 1005 1019 1057 1088 1128 1136 1147 1199 1285 1325 1380 1386 1427 1455 1475 1587 1605 1686 1693 1713 1738 1750 1803 1873 1922 1965 1971 1992 2038,89.28571428571429,89.28571428571429,82.06106870229007,82.06106870229007,68.13186813186813,68.13186813186813,74.60317460317461,74.60317460317461,33.4075723830735,33.4075723830735,41.0,41.0,41.0,41.0,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,44.05594405594406,44.05594405594406,45.83333333333333,45.83333333333333,45.07042253521127,45.07042253521127,45.83333333333333,45.83333333333333,78.94736842105263,78.94736842105263,69.56521739130434,69.56521739130434,C[n+]1cn(C[C@H](O)COC[C@H]2CC=CCC2)c2ccccc21,C[n+]1cn(CC(O)COCC2CCC(=C3C=CC(=P(CC4CC=CC4)(CC4CC=CC4)CC4CC=CCC4)C=C3)CC2)c2ccccc21,0,0.0
