id,SMILES_input,fingerprints_input_ECFP4,SMILES_out,SMILES_output_ECFP4,fingerprints_output_ECFP4,MACCS_Inv_0,MACCS_Inv_NaN,Avalon_Inv_0,Avalon_Inv_NaN,RDK4_Inv_0,RDK4_Inv_NaN,RDK4-L_Inv_0,RDK4-L_Inv_NaN,HashAP_Inv_0,HashAP_Inv_NaN,TT_Inv_0,TT_Inv_NaN,HashTT_Inv_0,HashTT_Inv_NaN,ECFP0_Inv_0,ECFP0_Inv_NaN,ECFP2_Inv_0,ECFP2_Inv_NaN,ECFP4_Inv_0,ECFP4_Inv_NaN,FCFP2_Inv_0,FCFP2_Inv_NaN,FCFP4_Inv_0,FCFP4_Inv_NaN,AEs_Inv_0,AEs_Inv_NaN,ECFP2*_Inv_0,ECFP2*_Inv_NaN,ECFP4*_Inv_0,ECFP4*_Inv_NaN,SMILES_input_canonical,SMILES_output_ECFP4_canonical,Canonical_SMILES_match_Inv_0,Canonical_SMILES_match_Inv_NaN
1,C C 1 = C ( C = C C ( = C 1 ) C ( C ) ( C ) C ) O C [C@H] ( C [NH2+] C C C O C ) O,1 13 33 51 80 94 114 118 227 283 351 392 404 422 444 486 594 644 646 655 658 695 740 743 765 774 807 810 841 875 997 1005 1057 1100 1153 1157 1220 1229 1313 1322 1339 1353 1380 1391 1417 1452 1536 1616 1663 1665 1722 1724 1750 1836 1873 1911 1970 2007 2012 2038,CC1=C(C=CC(=C1)C(C)(C)C)OCC(C[NH2+]CCCOC)O,CC1=C(C=CC(=C1)C(C)(C)C)OCC(C[NH2+]CCCOC)O,1 13 33 80 94 114 118 227 283 351 392 404 444 486 644 655 658 695 807 841 875 1005 1057 1153 1229 1339 1353 1380 1391 1417 1452 1536 1663 1665 1722 1724 1750 1873 1911 1970 2007 2012 2038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COCCC[NH2+]C[C@H](O)COc1ccc(C(C)(C)C)cc1C,COCCC[NH2+]CC(O)COc1ccc(C(C)(C)C)cc1C,0,0.0
2,C ( C ( F ) ( F ) F ) ( C ( F ) ( F ) [18F] ) F,1 59 114 136 184 218 322 456 545 561 676 678 869 894 934 1050 1059 1081 1086 1131 1327 1354 1385 1434 1443 1453 1497 1825 1928 1945 2023 2031 2039,C(C(C(C(F)(F)F)F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(F)F,C(C(C(C(F)(F)F)F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(F)F,1 59 114 136 382 461 561 565 676 753 869 886 977 1050 1398 1434 1448 1453 1497 1630 1724 1833 1928 1957 1979,83.33333333333334,83.33333333333334,19.310344827586206,19.310344827586206,59.09090909090909,59.09090909090909,66.66666666666666,66.66666666666666,5.0,5.0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,18.421052631578945,18.421052631578945,20.833333333333336,20.833333333333336,18.421052631578945,18.421052631578945,20.833333333333336,20.833333333333336,53.84615384615385,53.84615384615385,30.76923076923077,30.76923076923077,FC(C(F)(F)F)C(F)(F)[18F],FC(C(F)(F)F)C(F)(F)C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,0,0.0
3,C C 1 = C C = C C = C 1 C ( C ( = O ) N C 2 C C C C 2 ) N ( C 3 = C C = C ( C = C 3 ) C ( = O ) O C ) C ( = O ) C C 4 = C C = C S 4,14 80 101 106 145 196 237 238 241 307 325 330 349 383 387 391 428 440 522 548 573 581 606 610 626 650 656 675 695 730 766 807 812 841 881 890 906 911 960 1019 1022 1028 1057 1088 1096 1102 1149 1152 1199 1238 1256 1259 1325 1380 1385 1391 1493 1522 1527 1567 1608 1625 1634 1643 1655 1661 1674 1697 1715 1722 1750 1758 1790 1802 1858 1873 1917 1948 1954 1985 1999 2002 2018 2020 2025,[S+]1(OC(C(N(c2ccc(cc2)C(=O)OC)C(=O)Cc2sccc2)c2c(cccc2)C)C(=O)NC2CCCC2)C(CC1)C(=O)NC1CCCC1,[S+]1(OC(C(N(c2ccc(cc2)C(=O)OC)C(=O)Cc2sccc2)c2c(cccc2)C)C(=O)NC2CCCC2)C(CC1)C(=O)NC1CCCC1,1 14 80 145 159 196 237 241 325 383 387 428 573 581 606 610 626 650 656 675 689 695 705 750 807 841 879 881 890 906 911 924 926 939 960 996 1019 1022 1028 1057 1088 1096 1102 1107 1116 1152 1199 1208 1238 1256 1302 1325 1356 1380 1385 1391 1514 1567 1634 1655 1661 1697 1715 1722 1750 1868 1873 1917 1985 1988 1999 2000 2041,70.58823529411765,70.58823529411765,71.25,71.25,63.74269005847953,63.74269005847953,63.33333333333333,63.33333333333333,56.25,56.25,55.96330275229357,55.96330275229357,57.407407407407405,57.407407407407405,71.42857142857143,71.42857142857143,69.6969696969697,69.6969696969697,65.06849315068493,65.06849315068493,71.42857142857143,71.42857142857143,68.53146853146853,68.53146853146853,69.6969696969697,69.6969696969697,79.06976744186046,79.06976744186046,69.23076923076923,69.23076923076923,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(C(=O)NC2CCCC2)c2ccccc2C)cc1,COC(=O)c1ccc(N(C(=O)Cc2cccs2)C(c2ccccc2C)C(O[S+]2CCC2C(=O)NC2CCCC2)C(=O)NC2CCCC2)cc1,0,0.0
4,C C O C ( = O ) C 1 = C C = C ( C = C 1 ) N C ( = O ) C N 2 C 3 = C ( C ( C 4 C 5 C C ( C 4 S 3 ) C 6 C 5 C ( = O ) N ( C 6 = O ) C 7 = C C = C ( C = C 7 ) C ) C 8 = C C = C ( C = C 8 ) Cl ) S C 2 = O,5 41 63 80 89 121 129 145 147 162 191 202 216 219 222 233 235 294 314 348 382 461 505 555 561 606 620 622 650 670 675 695 742 746 759 777 802 807 816 843 853 854 901 910 913 924 926 935 993 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1330 1337 1348 1357 1362 1380 1385 1402 1443 1453 1457 1464 1522 1541 1683 1686 1697 1703 1722 1750 1788 1798 1803 1816 1817 1823 1825 1917 1920 1935 1951 1960 1968,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C5C4C(C6=C(S5)N(C(=O)S6)CC(=O)NC7=CC=C(C=C7)C)C8=CC=C(C=C8)Cl,5 41 63 80 89 121 145 147 162 191 216 219 233 235 294 314 382 461 555 561 606 620 622 650 670 675 695 759 802 807 816 843 854 901 924 926 935 994 1014 1019 1039 1057 1070 1077 1152 1157 1176 1238 1279 1284 1292 1312 1337 1357 1362 1380 1385 1443 1453 1457 1464 1522 1683 1686 1697 1722 1750 1788 1803 1816 1817 1823 1825 1873 1917 1920 1935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.06576402321083,98.06576402321083,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,CCOC(=O)c1ccc(NC(=O)Cn2c3c(sc2=O)C(c2ccc(Cl)cc2)C2C4CC(C2S3)C2C(=O)N(c3ccc(C)cc3)C(=O)C42)cc1,CCOC(=O)c1ccc(N2C(=O)C3C4CC(C3C2=O)C2C(c3ccc(Cl)cc3)c3sc(=O)n(CC(=O)Nc5ccc(C)cc5)c3SC42)cc1,0,0.0
5,C 1 [C@H] ( C N ( C 1 = O ) C C 2 = C C = C C = C 2 Cl ) C ( = O ) N C C C 3 = C C = C C = N 3,80 93 101 172 197 221 231 240 295 311 314 366 378 398 440 448 534 561 650 667 689 723 724 739 775 798 807 828 855 882 899 926 935 960 965 974 1012 1019 1028 1088 1089 1133 1137 1152 1153 1155 1174 1199 1243 1306 1344 1349 1380 1452 1478 1499 1521 1597 1598 1606 1651 1677 1683 1747 1750 1765 1819 1866 1873 1917 1935 1971 1984 1990,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,C1C(CN(C1=O)CC2=CC=CC=C2Cl)C(=O)NCCC3=CC=CC=N3,80 93 101 172 197 221 231 295 311 314 366 378 448 561 650 667 689 724 739 775 798 807 828 926 935 974 1019 1088 1089 1137 1152 1153 1155 1199 1243 1344 1349 1380 1452 1597 1598 1683 1750 1765 1819 1866 1873 1917 1984 1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,O=C(NCCc1ccccn1)[C@@H]1CC(=O)N(Cc2ccccc2Cl)C1,O=C(NCCc1ccccn1)C1CC(=O)N(Cc2ccccc2Cl)C1,0,0.0
6,C 1 = C C = C 2 C ( = C 1 ) C = C C = C 2 N C 3 = C ( C = C ( C = N 3 ) C ( = O ) O ) Cl,47 122 324 347 366 378 389 430 441 456 491 540 561 563 650 669 708 721 807 812 875 1039 1087 1088 1104 1138 1152 1199 1207 1224 1262 1296 1347 1357 1380 1385 1452 1535 1573 1676 1683 1696 1712 1714 1750 1768 1855 1873 1905 1917 1972 1990 2008 2011,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=CC(=NC=C4Cl)NC5=CC=CC6=CC=CC=C65,C1=CC=C2C(=C1)C=CC=C2NC3=C(C=C(C=N3)C(=O)O)NC4=CC(=NC=C4Cl)NC5=CC=CC6=CC=CC=C65,366 377 378 389 456 491 500 510 540 561 563 650 708 721 807 875 925 933 1039 1060 1087 1088 1099 1104 1138 1141 1152 1199 1224 1242 1357 1380 1385 1452 1535 1573 1683 1696 1750 1768 1787 1855 1873 1905 1917 1990 2008 2046,87.17948717948718,87.17948717948718,76.82119205298014,76.82119205298014,82.05128205128204,82.05128205128204,82.6923076923077,82.6923076923077,42.77777777777778,42.77777777777778,46.51162790697674,46.51162790697674,46.51162790697674,46.51162790697674,53.84615384615385,53.84615384615385,53.84615384615385,53.84615384615385,48.717948717948715,48.717948717948715,53.84615384615385,53.84615384615385,48.717948717948715,48.717948717948715,53.84615384615385,53.84615384615385,95.83333333333334,95.83333333333334,70.58823529411765,70.58823529411765,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Cl)c1,O=C(O)c1cnc(Nc2cccc3ccccc23)c(Nc2cc(Nc3cccc4ccccc34)ncc2Cl)c1,0,0.0
7,C O / N = C \ C ( / C = C / C 1 = C C = C C = C 1 ) S ( = O ) ( = O ) C 2 = C C = C C = C 2,1 161 228 260 319 350 367 389 419 463 477 478 515 575 650 694 695 725 761 835 837 841 878 888 918 940 977 989 990 1010 1044 1057 1088 1115 1199 1205 1234 1308 1353 1380 1390 1422 1446 1476 1524 1565 1624 1723 1726 1737 1750 1795 1857 1858 1873 1892 1909 2033,CO/N=C/C(/C=C/C1=CC=CC=C1)C(/C=C/C2=CC=CC=[N+]2C(/C=C/C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4)/C=N/OC,CO/N=C/C(/C=C/C1=CC=CC=C1)C(/C=C/C2=CC=CC=[N+]2C(/C=C/C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4)/C=N/OC,1 104 130 172 236 319 324 350 389 418 450 462 463 575 650 694 695 725 835 836 837 841 878 940 977 989 1003 1057 1088 1199 1308 1353 1364 1380 1422 1476 1477 1624 1677 1684 1723 1750 1787 1833 1857 1873 1944 2033,66.66666666666666,66.66666666666666,49.39759036144578,49.39759036144578,47.05882352941176,47.05882352941176,51.80722891566265,51.80722891566265,36.45083932853717,36.45083932853717,40.243902439024396,40.243902439024396,40.243902439024396,40.243902439024396,50.0,50.0,48.31460674157304,48.31460674157304,44.696969696969695,44.696969696969695,50.0,50.0,46.92307692307692,46.92307692307692,48.31460674157304,48.31460674157304,75.0,75.0,57.692307692307686,57.692307692307686,CO/N=C\C(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1,CO/N=C/C(/C=C/c1ccccc1)C(/C=C/c1cccc[n+]1C(/C=C/c1ccccc1)S(=O)(=O)c1ccccc1)/C=N/OC,0,0.0
8,C 1 = C C ( = O ) C 2 = C 1 C ( = O ) C = C 2,37 106 112 225 286 314 436 484 515 550 650 781 935 949 953 1021 1153 1209 1259 1276 1307 1380 1393 1398 1443 1568 1642 1680 1750 1873 1944 1963 1972 2029,C1=CC2=C3C=CC(=O)C(=C4C=CC(=[N+](C5=CC=C(C=C5)C6=C7C=CC(=O)C(=C7C=CC6=C2C=CC1=O)[N-]5)C8=CC=CC=C8)C=C4)[N-]3,C1=CC2=C3C=CC(=O)C(=C4C=CC(=[N+](C5=CC=C(C=C5)C6=C7C=CC(=O)C(=C7C=CC6=C2C=CC1=O)[N-]5)C8=CC=CC=C8)C=C4)[N-]3,InvalidSMILE,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,O=c1ccc2c(=O)ccc1=2,InvalidSMILE,0,
9,C C 1 = C C ( = N O 1 ) C N ( C ) C 2 = C ( C = C 3 C C C ( = O ) N C 3 = C 2 ) N,27 80 210 248 285 290 314 319 341 378 410 505 507 534 569 584 636 650 656 684 724 793 868 875 881 910 926 937 939 972 988 1000 1019 1057 1064 1070 1101 1114 1163 1171 1184 1192 1212 1236 1338 1362 1380 1398 1404 1457 1531 1542 1557 1575 1646 1665 1684 1689 1703 1722 1738 1742 1851 1873 1910 1938 1982 1997 2011 2018,CC1=CC(=NO1)CN(C)C2=C(C=C3CCC(=O)NC3=C2)N(C)C4=C(C=C5C(=C4)CCC(=O)N5)N(C)CC6=NOC(=C6)C,CC1=CC(=NO1)CN(C)C2=C(C=C3CCC(=O)NC3=C2)N(C)C4=C(C=C5C(=C4)CCC(=O)N5)N(C)CC6=NOC(=C6)C,80 248 314 319 378 507 539 569 584 650 656 724 875 881 926 932 939 988 1057 1060 1064 1101 1114 1163 1181 1184 1236 1380 1398 1542 1557 1575 1646 1665 1689 1719 1722 1738 1742 1873 1882 1982 1997 2018,89.55223880597015,89.55223880597015,90.8745247148289,90.8745247148289,92.23300970873787,92.23300970873787,93.58974358974359,93.58974358974359,35.14150943396226,35.14150943396226,41.05263157894737,41.05263157894737,41.05263157894737,41.05263157894737,46.51162790697674,46.51162790697674,44.827586206896555,44.827586206896555,42.4,42.4,44.827586206896555,44.827586206896555,42.4,42.4,44.827586206896555,44.827586206896555,86.66666666666667,86.66666666666667,78.0,78.0,Cc1cc(CN(C)c2cc3c(cc2N)CCC(=O)N3)no1,Cc1cc(CN(C)c2cc3c(cc2N(C)c2cc4c(cc2N(C)Cc2cc(C)on2)NC(=O)CC4)CCC(=O)N3)no1,0,0.0
10,C [N+] 1 = C N ( C 2 = C C = C C = C 2 1 ) C [C@@H] ( C O C [C@@H] 3 C C C = C C 3 ) O,1 16 29 45 75 80 84 118 171 185 192 223 227 277 313 328 329 343 435 463 522 564 582 597 598 601 673 687 695 796 801 807 835 870 914 923 926 935 971 983 1019 1057 1088 1103 1105 1128 1136 1159 1199 1280 1285 1325 1338 1380 1417 1427 1455 1475 1487 1500 1605 1717 1750 1754 1766 1873 1922 1961 1971 1992 2023 2038,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CC=CC3)O,C[N+]1=CN(C2=CC=CC=C21)CC(COCC3CC=CC3)O,1 29 45 75 80 118 223 227 329 343 463 522 564 597 598 673 687 695 807 870 897 914 923 926 935 983 1019 1057 1088 1128 1136 1199 1285 1380 1427 1455 1475 1605 1750 1873 1922 1971 1992 2038,94.0,94.0,92.0,92.0,100.0,100.0,100.0,100.0,89.74358974358975,89.74358974358975,84.0909090909091,84.0909090909091,84.0909090909091,84.0909090909091,95.45454545454545,95.45454545454545,91.11111111111111,91.11111111111111,83.82352941176471,83.82352941176471,95.45454545454545,95.45454545454545,92.3076923076923,92.3076923076923,91.11111111111111,91.11111111111111,93.33333333333333,93.33333333333333,86.0,86.0,C[n+]1cn(C[C@H](O)COC[C@H]2CC=CCC2)c2ccccc21,C[n+]1cn(CC(O)COCC2CC=CC2)c2ccccc21,0,0.0
